pert	cell	type	trend	WTCS	WTCS_Pval	WTCS_FDR	NCS	Tau	TauRefSize	NCSct	N_upset	N_downset	t_gn_sym	MOAss	PCIDss	clinical_phase
acitretin	PHH	trt_cp	up	0.3460582131212867	3.0158299740338346e-5	8.803066710283213e-5	1.074625258572259	82.62092238470191	1778	0.904563842996009	56	13	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
acitretin	PC3	trt_cp	down	-0.4472741790472543	2.4065713934209386e-5	8.753239035007712e-5	-1.1248484476196072	-79.2385484830458	6724	0.904563842996009	56	13	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
acitretin	NPC	trt_cp	up	0.33644879152989327	3.788282817310899e-5	1.0238433612816965e-4	0.954579992028942	53.24519230769231	3328	0.904563842996009	56	13	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
acitretin	SKB	trt_cp	up	0.3272880875068236	5.600827094634264e-5	1.421189387449684e-4	0.9878087366170005	65.73994867408041	2338	0.904563842996009	56	13	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
acitretin	FIBRNPC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	597	0.904563842996009	56	13	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
acitretin	VCAP	trt_cp	up	0.3077849173677214	2.4022195464165608e-4	5.455985048686343e-4	0.9030169517888048	33.6271629121776	6126	0.904563842996009	56	13	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
acyclovir	PC3	trt_cp	up	0.4010778066990264	2.606756355622319e-5	8.753239035007712e-5	1.1486722353471164	82.79298036882808	6724	-0.8869091079347131	56	13	DCK; PNP; SLC22A6; SLC22A7; SLC22A8	DNA polymerase inhibitor	2022	Launched
acyclovir	A549	trt_cp	down	-0.3374919530901238	3.6229126311445415e-5	9.85875017035046e-5	-0.8862358910489129	-40.99593495934959	4920	-0.8869091079347131	56	13	DCK; PNP; SLC22A6; SLC22A7; SLC22A8	DNA polymerase inhibitor	2022	Launched
acyclovir	VCAP	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6126	-0.8869091079347131	56	13	DCK; PNP; SLC22A6; SLC22A7; SLC22A8	DNA polymerase inhibitor	2022	Launched
acyclovir	MCF7	trt_cp	down	-0.3866711800293038	2.6676822136836084e-5	8.753239035007712e-5	-0.9535575796289387	-50.23270743058899	6231	-0.8869091079347131	56	13	DCK; PNP; SLC22A6; SLC22A7; SLC22A8	DNA polymerase inhibitor	2022	Launched
afatinib	MCF7	trt_cp	up	0.32289801124051776	7.195779021738738e-5	1.780387750204724e-4	0.9367555146762723	55.17573423206548	6231	0.3465995404302217	56	13	EGF; EGFR; ERBB2; ERBB4; GAK	EGFR inhibitor	22225683	Launched
afatinib	A549	trt_cp	down	-0.2737305461078584	0.004681303581844251	0.009289834502428294	-0.7188018328022839	-27.33739837398374	4920	0.3465995404302217	56	13	EGF; EGFR; ERBB2; ERBB4; GAK	EGFR inhibitor	22225683	Launched
afatinib	VCAP	trt_cp	up	0.3281998064406991	5.3136051923453277e-5	1.3577539072528322e-4	0.9629126447273967	53.803460659484166	6126	0.3465995404302217	56	13	EGF; EGFR; ERBB2; ERBB4; GAK	EGFR inhibitor	22225683	Launched
afatinib	SKB	trt_cp	down	-0.32551063778166106	5.9402711609757345e-5	1.4978113764611042e-4	-0.8719901525654834	-39.73481608212147	2338	0.3465995404302217	56	13	EGF; EGFR; ERBB2; ERBB4; GAK	EGFR inhibitor	22225683	Launched
afatinib	NEU	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2475	0.3465995404302217	56	13	EGF; EGFR; ERBB2; ERBB4; GAK	EGFR inhibitor	22225683	Launched
afatinib	PC3	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6724	0.3465995404302217	56	13	EGF; EGFR; ERBB2; ERBB4; GAK	EGFR inhibitor	22225683	Launched
afatinib	ASC	trt_cp	down	-0.3307606015635526	4.578143048605474e-5	1.1931107062590065e-4	-0.908721701558882	-43.66737739872068	2345	0.3465995404302217	56	13	EGF; EGFR; ERBB2; ERBB4; GAK	EGFR inhibitor	22225683	Launched
