,A375,A549,ASC,BT20,CD34,FIBRNPC,HA1E,HCC515,HEK293T,HEPG2,HL60,HS578T,HT29,HUH7,JURKAT,MCF10A,MCF7,MDAMB231,NEU,NKDBA,NOMO1,NPC,PC3,PHH,SKB,SKBR3,THP1,U266,U937,VCAP
HL60,0.74665946,0.72419614,0.63135064,0.67738765,0.8913,0.5861823,0.68507016,0.7071914,0.7421215,0.6970367,1.0,0.6471993,0.74513006,0.67466754,0.7849348,0.74970776,0.7195876,0.7074495,0.5942307,0.6343851,0.83138996,0.6712219,0.71722573,0.59452736,0.5607334,0.728567,0.86131877,0.7401134,0.88876414,0.7252961
HS578T,0.82939756,0.8466274,0.81222093,0.7794411,0.695495,0.89998263,0.8746729,0.7628803,0.597566,0.69215333,0.6471993,1.0,0.75967294,0.67282,0.62333274,0.80416757,0.7816788,0.841377,0.68604857,0.8184549,0.7256416,0.7296727,0.81471676,0.71674144,0.8336366,0.7703447,0.7379798,0.6940147,0.5870616,0.7318074
HT29,0.8600105,0.86180353,0.645345,0.7887164,0.71945584,0.67454904,0.7627178,0.79253954,0.6655747,0.75824887,0.74513006,0.75967294,1.0,0.7335444,0.70818585,0.8107501,0.83313525,0.77568674,0.6606193,0.6937614,0.77476716,0.69950646,0.8368111,0.6781741,0.62816375,0.8195948,0.75829977,0.7334477,0.6633061,0.7831222
HUH7,0.73005176,0.75134915,0.60456735,0.6945101,0.6398119,0.60691726,0.72880536,0.7472053,0.73886734,0.8757351,0.67466754,0.67282,0.7335444,1.0,0.67514056,0.70290536,0.7212697,0.72022384,0.5397293,0.598655,0.59581083,0.66900337,0.7192572,0.56708413,0.5565972,0.7006669,0.6510206,0.6387914,0.6628574,0.7048529
JURKAT,0.7357784,0.6997328,0.49518636,0.64772034,0.72442675,0.5483389,0.6513099,0.6579962,0.7353352,0.7084826,0.7849348,0.62333274,0.70818585,0.67514056,1.0,0.68847424,0.7037888,0.6486234,0.5937556,0.5329646,0.7183828,0.66920626,0.6788118,0.47832775,0.4582601,0.65903515,0.72788936,0.7927186,0.7657106,0.6717035
MCF10A,0.8457799,0.8483607,0.7447434,0.81083643,0.74434286,0.7536287,0.8083478,0.83692354,0.68864393,0.74993277,0.74970776,0.80416757,0.8107501,0.70290536,0.68847424,1.0,0.82759154,0.8585852,0.6544476,0.7621023,0.7775962,0.70321786,0.8656822,0.7052426,0.7241324,0.8165231,0.7918235,0.7079979,0.6866597,0.76329297
MCF7,0.82847786,0.86190665,0.7001107,0.82709956,0.71460164,0.70375824,0.7859897,0.7922285,0.72207767,0.75677544,0.7195876,0.7816788,0.83313525,0.7212697,0.7037888,0.82759154,1.0,0.77807385,0.6838458,0.7293366,0.76288325,0.733303,0.8279706,0.7056048,0.67141354,0.84835374,0.75646853,0.7203247,0.648529,0.8099309
MDAMB231,0.8333359,0.8307542,0.7505282,0.80574954,0.7295692,0.8063033,0.83976275,0.82646006,0.6600233,0.7525708,0.7074495,0.841377,0.77568674,0.72022384,0.6486234,0.8585852,0.77807385,1.0,0.5884718,0.75068283,0.6992074,0.68730414,0.84937805,0.6359012,0.72042227,0.79918057,0.7382524,0.6769931,0.659567,0.7280424
NEU,0.670629,0.66895324,0.6008226,0.61754555,0.6019658,0.602544,0.65000075,0.5954134,0.5240618,0.5388418,0.5942307,0.68604857,0.6606193,0.5397293,0.5937556,0.6544476,0.6838458,0.5884718,1.0,0.72283316,0.6924762,0.88379234,0.61592466,0.7019549,0.68977433,0.6292114,0.6444351,0.6046768,0.4785476,0.7049353
NKDBA,0.72625667,0.7620945,0.84160066,0.7114788,0.6911937,0.76788425,0.8505044,0.72887707,0.5813424,0.6347148,0.6343851,0.8184549,0.6937614,0.598655,0.5329646,0.7621023,0.7293366,0.75068283,0.72283316,1.0,0.70983845,0.75449467,0.7259814,0.76336324,0.8528163,0.7066512,0.71276397,0.58746976,0.5520421,0.70663595
NOMO1,0.78155065,0.7626794,0.66031176,0.68388224,0.83331037,0.6294336,0.69690764,0.690021,0.59908766,0.6317134,0.83138996,0.7256416,0.77476716,0.59581083,0.7183828,0.7775962,0.76288325,0.6992074,0.6924762,0.70983845,1.0,0.69250405,0.7415122,0.7024888,0.64183885,0.7336321,0.90724754,0.7452244,0.72559947,0.7282372
NPC,0.751061,0.73207456,0.6634546,0.67859524,0.65493333,0.65597683,0.7674615,0.6838713,0.68031764,0.6633083,0.6712219,0.7296727,0.69950646,0.66900337,0.66920626,0.70321786,0.733303,0.68730414,0.88379234,0.75449467,0.69250405,1.0,0.6895456,0.6352587,0.6945706,0.6773073,0.68336356,0.62415576,0.5947494,0.74121183
PC3,0.8588185,0.8591138,0.7248624,0.7928584,0.70436674,0.75016534,0.8203892,0.8223759,0.69369334,0.7483051,0.71722573,0.81471676,0.8368111,0.7192572,0.6788118,0.8656822,0.8279706,0.84937805,0.61592466,0.7259814,0.7415122,0.6895456,1.0,0.6731068,0.69209754,0.8030654,0.7413593,0.69554394,0.6639216,0.7718224
PHH,0.64866126,0.71777666,0.7396926,0.629477,0.61838466,0.6458211,0.6766963,0.6505522,0.46489903,0.59207594,0.59452736,0.71674144,0.6781741,0.56708413,0.47832775,0.7052426,0.7056048,0.6359012,0.7019549,0.76336324,0.7024888,0.6352587,0.6731068,1.0,0.7546937,0.6770444,0.65796083,0.58101743,0.47350246,0.6578439
SKB,0.6843556,0.7183844,0.8996483,0.6457125,0.6203729,0.8360337,0.77833295,0.6815689,0.50563127,0.5683163,0.5607334,0.8336366,0.62816375,0.5565972,0.4582601,0.7241324,0.67141354,0.72042227,0.68977433,0.8528163,0.64183885,0.6945706,0.69209754,0.7546937,1.0,0.6580296,0.6560127,0.5574218,0.49373543,0.6245516
SKBR3,0.78547394,0.8109098,0.6874777,0.8151221,0.7283897,0.69800276,0.76838946,0.80333763,0.6764045,0.7253163,0.728567,0.7703447,0.8195948,0.7006669,0.65903515,0.8165231,0.84835374,0.79918057,0.6292114,0.7066512,0.7336321,0.6773073,0.8030654,0.6770444,0.6580296,1.0,0.7365522,0.7077823,0.64521897,0.805354
THP1,0.77289414,0.75186485,0.68674344,0.7132124,0.838519,0.66796005,0.7169339,0.7151057,0.6479814,0.6730606,0.86131877,0.7379798,0.75829977,0.6510206,0.72788936,0.7918235,0.75646853,0.7382524,0.6444351,0.71276397,0.90724754,0.68336356,0.7413593,0.65796083,0.6560127,0.7365522,1.0,0.73129594,0.78237724,0.7294751
U266,0.75518125,0.7334975,0.5584058,0.66769934,0.72264457,0.6427757,0.65333915,0.680062,0.6280153,0.6666365,0.7401134,0.6940147,0.7334477,0.6387914,0.7927186,0.7079979,0.7203247,0.6769931,0.6046768,0.58746976,0.7452244,0.62415576,0.69554394,0.58101743,0.5574218,0.7077823,0.73129594,1.0,0.6725531,0.6691144
U937,0.6924884,0.66197956,0.58840483,0.63217473,0.8190189,0.5328867,0.6397725,0.6602134,0.7514655,0.67971843,0.88876414,0.5870616,0.6633061,0.6628574,0.7657106,0.6866597,0.648529,0.659567,0.4785476,0.5520421,0.72559947,0.5947494,0.6639216,0.47350246,0.49373543,0.64521897,0.78237724,0.6725531,1.0,0.64304566
VCAP,0.7519423,0.7682545,0.65714425,0.7561113,0.70812553,0.6618125,0.75047004,0.7423413,0.7004263,0.71010983,0.7252961,0.7318074,0.7831222,0.7048529,0.6717035,0.76329297,0.8099309,0.7280424,0.7049353,0.70663595,0.7282372,0.74121183,0.7718224,0.6578439,0.6245516,0.805354,0.7294751,0.6691144,0.64304566,1.0
