,A375,A549,ASC,BT20,CD34,FIBRNPC,HA1E,HCC515,HEK293T,HEPG2,HL60,HS578T,HT29,HUH7,JURKAT,MCF10A,MCF7,MDAMB231,NEU,NKDBA,NOMO1,NPC,PC3,PHH,SKB,SKBR3,THP1,U266,U937,VCAP
JURKAT,0.71810806,0.6813104,0.48600397,0.62820554,0.7153066,0.5507606,0.6525507,0.64650613,0.7184025,0.69318277,0.77490014,0.6132445,0.6875775,0.66861093,1.0,0.6752437,0.6843955,0.6406968,0.5866451,0.52951664,0.6971855,0.6612005,0.65965563,0.46406916,0.4555697,0.6477316,0.71318847,0.78254646,0.7446457,0.663368
MCF10A,0.8463043,0.8481036,0.7455315,0.80036503,0.7445283,0.756846,0.81098235,0.8331082,0.67132014,0.74337226,0.7397121,0.8024895,0.802291,0.6957398,0.6752437,1.0,0.81851065,0.8553496,0.63910323,0.7619074,0.7738143,0.6979639,0.8573189,0.6969211,0.72354364,0.80970967,0.78770757,0.6969864,0.6691615,0.7548952
MCF7,0.8165012,0.86143136,0.7008425,0.81586605,0.70994276,0.7075229,0.7900751,0.78577006,0.70549285,0.74684745,0.70170075,0.77822614,0.8255061,0.7099363,0.6843955,0.81851065,1.0,0.77077025,0.6722963,0.7330083,0.75373304,0.7310386,0.8198906,0.70119774,0.6690673,0.84237754,0.7482279,0.7021044,0.6217857,0.80584425
MDAMB231,0.8284193,0.8273989,0.75500613,0.7970801,0.7308857,0.80814976,0.84511364,0.8257519,0.65806025,0.7494186,0.70052075,0.83918464,0.76622266,0.7153153,0.6406968,0.8553496,0.77077025,1.0,0.5777559,0.7579673,0.69810754,0.68513703,0.8446916,0.6334779,0.7216805,0.7917798,0.7398079,0.66330487,0.647393,0.7277869
NEU,0.6556194,0.6633341,0.5925187,0.60202605,0.59359145,0.60399824,0.63713104,0.582267,0.508783,0.52472115,0.58217883,0.6773227,0.6465747,0.5258336,0.5866451,0.63910323,0.6722963,0.5777559,1.0,0.70747244,0.6786565,0.87507915,0.6022147,0.6835593,0.6744748,0.6156381,0.64106053,0.5965712,0.4640975,0.6953348
NKDBA,0.7267822,0.7679023,0.8430775,0.70601606,0.6946128,0.76694065,0.8456829,0.7204865,0.5704606,0.627995,0.6294649,0.8185023,0.6979789,0.5941638,0.52951664,0.7619074,0.7330083,0.7579673,0.70747244,1.0,0.71012086,0.74387705,0.7287083,0.75426924,0.84616166,0.7131879,0.7196849,0.5817528,0.54028094,0.7095965
NOMO1,0.77636147,0.75730425,0.6599545,0.669384,0.8253221,0.632166,0.6978437,0.68771386,0.5768189,0.61411387,0.82202643,0.720502,0.76652956,0.5851859,0.6971855,0.7738143,0.75373304,0.69810754,0.6786565,0.71012086,1.0,0.68187743,0.73597676,0.69574666,0.6402962,0.7320583,0.89904135,0.73396367,0.697539,0.7230391
NPC,0.7458648,0.7310802,0.65669733,0.66717106,0.6467149,0.6577657,0.76115733,0.6775813,0.6652573,0.6546153,0.6555009,0.7218964,0.6948872,0.6619541,0.6612005,0.6979639,0.7310386,0.68513703,0.87507915,0.74387705,0.68187743,1.0,0.6880158,0.6177826,0.6857027,0.67203045,0.6813424,0.61257505,0.5764051,0.7369751
PC3,0.84970945,0.8551899,0.7300229,0.7835744,0.70126444,0.75237036,0.8233836,0.8208938,0.6742948,0.7365283,0.7046253,0.8124732,0.8305798,0.71058863,0.65965563,0.8573189,0.8198906,0.8446916,0.6022147,0.7287083,0.73597676,0.6880158,1.0,0.6619839,0.695112,0.7979177,0.7373119,0.6801077,0.64424443,0.7647731
PHH,0.6409164,0.71647036,0.7365233,0.61636716,0.60757047,0.6411822,0.6685113,0.6409824,0.44553545,0.57950586,0.5826479,0.70682245,0.6683038,0.55549747,0.46406916,0.6969211,0.70119774,0.6334779,0.6835593,0.75426924,0.69574666,0.6177826,0.6619839,1.0,0.7518198,0.6718483,0.6534447,0.5637516,0.45078996,0.64379007
SKB,0.68044496,0.7234811,0.8964629,0.64036685,0.62278396,0.8355897,0.7653732,0.67614543,0.4958483,0.56097823,0.55977947,0.82841736,0.62872237,0.5516565,0.4555697,0.72354364,0.6690673,0.7216805,0.6744748,0.84616166,0.6402962,0.6857027,0.695112,0.7518198,1.0,0.6589401,0.6575851,0.5505862,0.48036215,0.62419385
SKBR3,0.7793643,0.80526143,0.6904414,0.8051335,0.7271592,0.6962766,0.76995456,0.7983117,0.66503114,0.7174975,0.7214608,0.7667495,0.81694216,0.6952301,0.6477316,0.80970967,0.84237754,0.7917798,0.6156381,0.7131879,0.7320583,0.67203045,0.7979177,0.6718483,0.6589401,1.0,0.73602396,0.6959332,0.6275006,0.8059196
THP1,0.7649478,0.744298,0.68742967,0.7066377,0.83646244,0.67134786,0.72452116,0.7138683,0.63095605,0.65862334,0.8530857,0.7359666,0.7479529,0.64133984,0.71318847,0.78770757,0.7482279,0.7398079,0.64106053,0.7196849,0.89904135,0.6813424,0.7373119,0.6534447,0.6575851,0.73602396,1.0,0.7199,0.76097584,0.72721887
U266,0.73858464,0.7194732,0.5484193,0.65318435,0.71293104,0.64013726,0.6508561,0.671907,0.6059199,0.6506386,0.7322085,0.68474734,0.71907365,0.62171435,0.78254646,0.6969864,0.7021044,0.66330487,0.5965712,0.5817528,0.73396367,0.61257505,0.6801077,0.5637516,0.5505862,0.6959332,0.7199,1.0,0.6499041,0.66032994
U937,0.6717353,0.63599217,0.57284737,0.6085388,0.803691,0.52562064,0.6313065,0.64262766,0.74040633,0.6633484,0.88001823,0.5669361,0.6347042,0.6518108,0.7446457,0.6691615,0.6217857,0.647393,0.4640975,0.54028094,0.697539,0.5764051,0.64424443,0.45078996,0.48036215,0.6275006,0.76097584,0.6499041,1.0,0.6255682
VCAP,0.7454171,0.7643496,0.6601868,0.75023663,0.7055018,0.6648471,0.7542285,0.73741794,0.69082385,0.70230454,0.7146866,0.7307633,0.7797409,0.6990586,0.663368,0.7548952,0.80584425,0.7277869,0.6953348,0.7095965,0.7230391,0.7369751,0.7647731,0.64379007,0.62419385,0.8059196,0.72721887,0.66032994,0.6255682,1.0
