GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0045821	positive regulation of glycolytic process	24	0.002355712603062426	24/16283	0.08333333333333333	1.598252846486062	0.687878841798309	0.35827806060896206	0.6224058556928286	0.5129955200742498	IFNG/HIF1A	2	13	-0.983944850141687	0.365632138130358
GO:0045822	negative regulation of heart contraction	5	0.0035335689045936395	21/16283	0.14285714285714285	2.7398620225475345	1.8711385650209214	0.09346455278236672	0.3269443326279551	0.26947204371190947	SPX/ZC3H12A/PDE4D	3	5	0.3770317029939138	1.171209738457911
GO:0045823	positive regulation of heart contraction	8	0.0035335689045936395	37/16283	0.08108108108108109	1.5550568236080604	0.7927450811576149	0.303540096603298	0.5906347468345721	0.4868093324556671	PDE4D/ADM/ADA	3	9	-0.2107549619082051	0.7404365559759806
GO:0045824	negative regulation of innate immune response	33	0.015312131919905771	86/16283	0.1511627906976744	2.8991563261840194	4.1415329542481745	4.8847433474084e-4	0.011814363126283693	0.009737561594062258	ACOD1/KLRC1/ISG15/TNFAIP3/OAS3/CEACAM1/DHX58/DUSP10/SERPINB9/LYAR/IFI16/ZDHHC18/PIM1	13	74	-0.8512584089827285	0.4148732466251086
GO:0045830	positive regulation of isotype switching	13	0.005889281507656066	29/16283	0.1724137931034483	3.3067300272125424	2.9159771238745726	0.015939438928334295	0.12046560425261366	0.09928941821384016	CLCF1/TNFSF4/NSD2/TP53BP1/RIF1	5	8	0.41785369751416906	1.2050907056133058
GO:0045833	negative regulation of lipid metabolic process	5	0.009422850412249705	99/16283	0.08080808080808081	1.5498209420470905	1.2869581140661508	0.1446446196918381	0.41977399232541723	0.3459835339545678	IL1B/DKK3/CEACAM1/PDGFB/NFKB1/GFI1/UBR4/ORMDL3	8	57	-1.0757523993948097	0.33475384208111686
GO:0045835	negative regulation of meiotic nuclear division	5	0	0	0	0	0	1	1	1		0	0	0	0
GO:0045836	positive regulation of meiotic nuclear division	6	0.002355712603062426	16/16283	0.125	2.397379269729093	1.3115626076059181	0.20179267662461034	0.5234756951514284	0.43145591260787786	WNT5A/NPR2	2	3	0.48239221865174003	1.2595070226474872
GO:0045838	positive regulation of membrane potential	5	0.001177856301531213	11/16283	0.09090909090909091	1.7435485598029767	0.5785670332597878	0.44524136146893467	0.6720929550848843	0.5539483150399002	ANK3	1	3	-0.21075496190820525	0.7404365559759805
GO:0045839	negative regulation of mitotic nuclear division	8	0.008244994110718492	58/16283	0.1206896551724138	2.31471101904878	2.3524500965367925	0.03043721618519736	0.1812474141303759	0.14938662710752584	DUSP1/USP44/CENPF/RAD21/KNTC1/TPR/IK	7	28	-0.49843703435998615	0.5752278302996636
