GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:0045136	development of secondary sexual characteristics	10	8.896797153024911e-4	10/16283	0.3	1.4486654804270462	0.7252814372350075	0.34367444640608147	0.6745471165155519	0.5817105730265437	AREG/WNT5A/STAT5B	3	0	0	1	0	0	0
GO:0045137	development of primary sexual characteristics	231	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0045141	meiotic telomere clustering	10	2.965599051008304e-4	9/16283	0.1111111111111111	0.5365427705285356	-0.7107248125305141	0.8761835771014346	0.9555294402470295	0.8240218727805011	UBE2B	1	0	0	1	0	0	0
GO:0045143	homologous chromosome segregation	66	0.0029655990510083037	60/16283	0.16666666666666666	0.8048141557928034	-0.774062585287475	0.8238961110353092	0.9433783454940892	0.8135431084087172	PSMC3IP/MND1/ESPL1/SYCP1/BRIP1/RNF212B/REC8/UBE2B/MLH3/FANCD2	10	c(""84057"", ""93426"", ""10734"", ""10609"", ""29893"")	5	2	1.1393591637313942	0.562681213289549	1.328560304300584
GO:0045161	neuronal ion channel clustering	12	2.965599051008304e-4	12/16283	0.08333333333333333	0.4024070778964017	-1.058294802324841	0.938305634174688	0.9786365110926475	0.843948764606833	AGRN	1	c(""375790"", ""4897"", ""30819"", ""9463"")	4	1	0.9114873309851153	0.09267758404381364	0.9484001276004542
GO:0045162	clustering of voltage-gated sodium channels	6	2.965599051008304e-4	6/16283	0.16666666666666666	0.8048141557928034	-0.24437370790435378	0.7515447178280136	0.9157014047632476	0.7896752885663825	AGRN	1	c(""4897"", ""375790"")	2	1	0.4557436654925576	0.7858247646037589	1.5272644090503633
GO:0045163	clustering of voltage-gated potassium channels	4	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0045165	cell fate commitment	279	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0045167	asymmetric protein localization involved in cell fate determination	1	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0045168	cell-cell signaling involved in cell fate commitment	3	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0045175	basal protein localization	1	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0045176	apical protein localization	15	8.896797153024911e-4	15/16283	0.2	0.9657769869513643	-0.0677664145443847	0.6281878763447941	0.8936668181564535	0.770673277161082	RDX/ARF4/ACTB	3	c(""60"", ""83700"", ""4118"", ""5205"")	4	1	0.9114873309851153	0.09267758404381364	0.9484001276004542
GO:0045184	establishment of protein localization	1687	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0045185	maintenance of protein location	93	0.0050415183867141165	93/16283	0.1827956989247312	0.882699396675978	-0.5797436672624982	0.7565664786529894	0.919556307095767	0.7929996485553404	FBN1/TXN/NBL1/NFKBIA/SRGN/SCIN/IL10/INSIG1/CAV1/PML/IGSF11/FKRP/VPS13A/G3BP2/MORC3/DAND5/SUPT7L	17	c(""64083"", ""23353"", ""55704"", ""10210"", ""3192"", ""4052"", ""3638"", ""129685"", ""11315"", ""3309"", ""11014"", ""64714"", ""5241"", ""6653"", ""585"", ""288"", ""6014"", ""9350"", ""6500"", ""4188"", ""143684"", ""9913"", ""51141"", ""10956"", ""580"", ""920"", ""25777"", ""5371"", ""23515"", ""6672"", ""5905"", ""23345"", ""23568"", ""65018"", ""402"", ""3099"", ""207"", ""3098"", ""83860"")	39	5	8.887001477104874	-0.5751517885318419	0.5365082946334393
GO:0045186	zonula adherens assembly	2	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0045187	regulation of circadian sleep/wake cycle, sleep	15	0.0011862396204033216	15/16283	0.26666666666666666	1.2877026492684855	0.569692007192308	0.3785155181996497	0.6909838711012977	0.5958851706116042	CSF2/ADORA2A/CHRNB2/FXR1	4	c(""51738"", ""2691"", ""153"", ""8863"")	4	0	0.9114873309851153	-Inf	0
GO:0045188	regulation of circadian sleep/wake cycle, non-REM sleep	5	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0045190	isotype switching	55	0.005634638196915777	55/16283	0.34545454545454546	1.6681602501887198	2.5365720230255056	0.011986014128644489	0.12947100664826988	0.11165217613965163	TNFSF4/CLCF1/NFKBIZ/TFRC/NBN/TBX21/IL10/CD40/SLC15A4/RIF1/APLF/SWAP70/BATF/AICDA/EXO1/LIG4/RNF168/TP53BP1/SUPT6H	19	3329	1	0	0.2278718327462788	-Inf	0
GO:0045191	regulation of isotype switching	38	0.003262158956109134	38/16283	0.2894736842105263	1.397835112692764	1.2547371859851293	0.1461876319945717	0.4664197953525093	0.4022273904704713	TNFSF4/CLCF1/TFRC/TBX21/IL10/CD40/SLC15A4/RIF1/APLF/TP53BP1/SUPT6H	11	c(""149840"", ""7037"", ""54537"", ""7040"", ""8741"", ""10459"", ""3565"", ""112441434"", ""7158"")	9	2	2.0508464947165095	-0.025105451612569912	0.8637332302385684
GO:0045196	establishment or maintenance of neuroblast polarity	3	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0045197	establishment or maintenance of epithelial cell apical/basal polarity	49	0.0029655990510083037	49/16283	0.20408163265306123	0.9854867213789431	-0.05199583053110071	0.5772700570016926	0.8508697219430287	0.7337662579883011	LHX2/CDX2/PATJ/PARD3B/ANK1/PARD6G/WNT5A/MSN/PALS1/ARF4	10	c(""57662"", ""9368"", ""2011"", ""56288"", ""998"", ""9948"", ""4983"", ""5911"", ""5584"", ""7430"", ""50855"", ""387"", ""4649"", ""4478"", ""23616"", ""286"")	16	4	3.645949323940461	0.09267758404381364	0.9484001276004542
GO:0045198	establishment of epithelial cell apical/basal polarity	17	5.931198102016608e-4	17/16283	0.11764705882352941	0.5681041099713906	-0.9105019192754662	0.8948236738310991	0.9623392460311119	0.8298944588873408	WNT5A/MSN	2	c(""9368"", ""998"", ""57662"", ""5911"", ""387"", ""4478"", ""23616"", ""4983"", ""7430"", ""4649"")	10	3	2.2787183274627885	0.27499914083776805	1.0884891966724626
