GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
""25896"", ""151636"", ""29980"", ""1386"", ""79791"", ""29997"", ""8525"", ""54584"", ""56658"", ""261726"", ""63967"", ""5883"")	72	7	8.949892057720714	-0.24573132256885674	0.718655078304961
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	77	0.0049800796812749	75/16283	0.06666666666666667	1.0812084993359894	0.1806927256446536	0.49530746366906575	0.6975165553693577	0.5595845346498798	HERC5/TNFAIP3/SERTAD1/GTPBP4/ADAM17	5	c(""2965"", ""8851"", ""1029"", ""11140"", ""26524"", ""56647"", ""5292"", ""7023"", ""1647"", ""8812"", ""9113"", ""29950"", ""4221"", ""990"", ""995"", ""388324"", ""1033"", ""1027"", ""641"", ""5716"", ""51191"", ""9088"", ""9134"", ""905"", ""900"", ""904"", ""8941"", ""993"", ""51654"", ""324"", ""9077"", ""219771"")	32	2	3.977729803431428	-0.6875640748478961	0.4837142460288195
GO:0000082	G1/S transition of mitotic cell cycle	228	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000086	G2/M transition of mitotic cell cycle	139	0.0069721115537848604	139/16283	0.050359712230215826	0.8167402333113589	-0.5562143909183138	0.7609442268655796	0.8573587382365303	0.6878183562396536	IER3/GPR132/PLK3/NBN/MASTL/CDK14/TAOK3	7	c(""890"", ""5347"", ""5243"", ""51400"", ""23326"", ""9088"", ""993"", ""5218"", ""7319"", ""332"", ""51451"", ""7164"", ""1263"", ""84930"", ""219771"", ""284001"", ""983"", ""11200"", ""79831"", ""994"", ""2305"", ""9113"", ""6873"", ""10776"", ""7465"", ""9024"", ""10083"", ""9833"", ""6790"", ""79176"", ""995"", ""84446"", ""10763"")	33	3	4.10203385978866	-0.31287062540648536	0.6781559386983681
GO:0000096	sulfur amino acid metabolic process	33	0.00199203187250996	33/16283	0.06060606060606061	0.9829168175781722	-0.02518096282913226	0.612347496987347	0.7657834622349275	0.6143518444954904	SLC7A11/GCLM	2	c(""58478"", ""1800"", ""6611"", ""2729"", ""55256"", ""50507"", ""1491"", ""51074"", ""7263"", ""4143"", ""4357"", ""4522"", ""1373"", ""4552"", ""4548"", ""875"", ""2326"", ""4482"", ""4524"", ""670"", ""23743"", ""4594"", ""189"", ""1036"", ""635"")	25	0	3.1076014089308037	-Inf	0
GO:0000097	sulfur amino acid biosynthetic process	16	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000098	sulfur amino acid catabolic process	10	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000101	sulfur amino acid transport	12	0.00597609561752988	12/16283	0.5	8.10906374501992	6.314939222528025	3.6249100056332365e-5	9.413538417283834e-4	7.552036541778048e-4	SLC1A2/SLC7A11/SLC43A2/SLC3A2/MFSD12/CTNS	6	c(""8140"", ""23657"", ""6505"", ""1497"", ""124935"", ""6509"", ""126321"", ""11136"", ""6520"", ""6519"")	10	5	1.2430405635723214	1.3918774668319398	2.1001298418065955
GO:0000103	sulfate assimilation	2	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000105	L-histidine biosynthetic process	1	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000122	negative regulation of transcription by RNA polymerase II	906	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000132	establishment of mitotic spindle orientation	36	9.9601593625498e-4	35/16283	0.02857142857142857	0.4633750711439954	-0.8146633468054473	0.8924591547236438	0.935895446249402	0.75082464170773755	DYNLT1	1	c(""10524"", ""4926"", ""3688"", ""285331"", ""8841"", ""10403"", ""29899"", ""2697"", ""9183"", ""5048"", ""1058"", ""22919"", ""56647"", ""84080"", ""137886"", ""55968"", ""5347"", ""4085"", ""3064"", ""126353"", ""54908"", ""1639"", ""54820"")	23	0	2.8589932962163394	-Inf	0
GO:0000154	rRNA modification	34	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000165	MAPK cascade	744	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000183	rDNA heterochromatin formation	9	0.00199203187250996	9/16283	0.2222222222222222	3.6040283311199643	2.003055902318967	0.10247751207787953	0.3281181224141162	0.26323364718428527	SMARCA5/BAZ2A	2	c(""6839"", ""57673"", ""23411"", ""23378"")	4	0	0.4972162254289285	-Inf	0
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	45	0.00398406374501992	44/16283	0.09090909090909091	1.4743752263672583	0.8076849006218295	0.2865402956612896	0.58089982564287	0.46602844922932396	ZC3H12A/PNRC1/DCP1A/DHX34	4	c(""26019"", ""9811"", ""55110"", ""84305"", ""23293"", ""55629"", ""10921"", ""3646"", ""23049"", ""65109"", ""80349"", ""5976"", ""2935"", ""56006"", ""9939"", ""4116"", ""65110"", ""55181"", ""4686"", ""9775"", ""23381"", ""9887"", ""9652"", ""6499"", ""22916"")	25	0	3.1076014089308037	-Inf	0
GO:0000209	protein polyubiquitination	258	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000212	meiotic spindle organization	22	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000226	microtubule cytoskeleton organization	660	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000244	spliceosomal tri-snRNP complex assembly	27	0.00199203187250996	27/16283	0.07407407407407407	1.201342777039988	0.2684011407363478	0.5025736481382774	0.6975165553693577	0.5595845346498798	PRPF3/PRP4K	2	c(""10078"", ""9733"", ""11218"", ""57819"", ""7375"", ""10594"", ""24148"", ""27339"", ""8899"", ""26121"", ""9129"")	11	2	1.3673446199295536	0.3802765551534599	1.1738870243542747
GO:0000245	spliceosomal complex assembly	92	9.9601593625498e-4	92/16283	0.010869565217391304	0.17628399445695478	-2.0309902954031993	0.9971829033720775	0.9999844367402426	0.8022402068924331	SRSF5	1	c(""8683"", ""4686"", ""10713"", ""11325"", ""10291"", ""9416"", ""51340"", ""6426"", ""7536"", ""8487"", ""22889"", ""6632"", ""27339"", ""23064"", ""57035"", ""10658"", ""135295"", ""9169"", ""10772"", ""6430"", ""91746"", ""27336"", ""7919"", ""6936"", ""8996"", ""10569"", ""10181"", ""10907"", ""10946"", ""6431"", ""6733"", ""23020"", ""6633"", ""8233"", ""10659"", ""11168"", ""9879"", ""6606"", ""8175"")	39	1	4.847858197932053	-1.5785369987377613	0.20484113358013742
GO:0000255	allantoin metabolic process	7	0.00199203187250996	7/16283	0.2857142857142857	4.633750711439954	2.464924238320203	0.06483826751080878	0.2448750270404998	0.19645164978381607	ADA/NT5C2	2	c(""7498"", ""4860"", ""84618"", ""22978"")	4	1	0.4972162254289285	0.6987302862719945	1.448631937506301
GO:0000256	allantoin catabolic process	0	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000266	mitochondrial fission	41	9.9601593625498e-4	41/16283	0.024390243902439025	0.39556408512292296	-0.9933349201981884	0.92665994837691	0.959521389736077	0.7697786184841806	STAT2	1	c(""4976"", ""54332"", ""51537"", ""10059"", ""56947"", ""54471"", ""79594"", ""91137"", ""51024"")	9	0	1.1187365072150892	-Inf	0
GO:0000270	peptidoglycan metabolic process	6	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000271	polysaccharide biosynthetic process	62	0.00199203187250996	62/16283	0.03225806451612903	0.523165402904511	-0.9642686718856973	0.9023252759163882	0.9423037445468474	0.7559657162715874	PDGFB/NFKB1	2	c(""7957"", ""2997"", ""2131"", ""378884"", ""7360"", ""2998"", ""2132"", ""8908"", ""2992"", ""2632"")	10	0	1.2430405635723214	-Inf	0
GO:0000272	polysaccharide catabolic process	29	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000278	mitotic cell cycle	892	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000280	nuclear division	442	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
