GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0002532	production of molecular mediator involved in inflammatory response	86	0.013095238095238096	85/16283	0.25882352941176473	2.50858543417367	4.729727818934071	3.5994681795822715e-5	5.52943021924144e-4	4.005179968481374e-4	LILRB4/DUSP10/GBP5/SIRPA/TICAM1/EPHB2/ALOX5AP/HIF1A/IL4R/IL6/LYN/MEFV/MYD88/SERPINE1/S100A9/NOD2/NCF1/STAT3/TLR3/TNF/IL1R2/ZC3H12A	22	3	2.0366748664879637	2.7340502124668213
GO:0002534	cytokine production involved in inflammatory response	59	0.008928571428571428	58/16283	0.25862068965517243	2.506619458128079	3.898636007584579	6.123381308575758e-4	0.005536962252040196	0.0040106357108800296	LILRB4/GBP5/SIRPA/TICAM1/EPHB2/HIF1A/IL6/MEFV/MYD88/NOD2/STAT3/TLR3/TNF/IL1R2/ZC3H12A	15	0	0	0
GO:0002536	respiratory burst involved in inflammatory response	10	0.0017857142857142857	10/16283	0.3	2.9076785714285713	2.046722022879572	0.07570458166755395	0.21626264951082275	0.15664739356639928	DUSP10/S100A9/NCF1	3	0	0	0
GO:0002537	nitric oxide production involved in inflammatory response	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002538	arachidonate metabolite production involved in inflammatory response	4	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002540	leukotriene production involved in inflammatory response	3	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002541	activation of plasma proteins involved in acute inflammatory response	3	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002542	Factor XII activation	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002543	activation of blood coagulation via clotting cascade	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002544	chronic inflammatory response	21	0.008333333333333333	21/16283	0.6666666666666666	6.461507936507936	8.494204481123973	8.499725389262255e-10	3.67747612411372e-8	2.6637380567015092e-8	CEBPB/CXCL13/SCN11A/IL10/IDO1/S100A8/S100A9/CCL5/NFKBIZ/THBS1/TNF/TNFAIP3/VCAM1/VNN1	14	2	1.9901548508530706	2.687939617269262
GO:0002545	chronic inflammatory response to non-antigenic stimulus	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002548	monocyte chemotaxis	51	0.01369047619047619	49/16283	0.46938775510204084	4.549429057337221	8.439782273310612	7.262193545270432e-11	3.87846524027099e-9	2.8093222398809303e-9	CCR1/DUSP1/FLT1/FPR2/GREM1/IL6/CXCL10/LYN/NBL1/NINJ1/CCN3/SERPINE1/PDGFB/LGMN/S100A12/CCL1/CCL2/CCL3/CCL5/CCL7/CCL8/CCL23/PLA2G7	23	23	0.04424470179775742	0.9130027512842391
GO:0002551	mast cell chemotaxis	12	5.952380952380953e-4	12/16283	0.08333333333333333	0.807688492063492	-0.2260352889857633	0.729423963784395	0.8470090396517962	0.6135213763853977	VEGFA	1	3	-1.0543675868703521	0.34172299684936613
GO:0002552	serotonin secretion by mast cell	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002553	histamine secretion by mast cell	9	5.952380952380953e-4	9/16283	0.1111111111111111	1.0769179894179894	0.07828697204661078	0.6248037780124613	0.7856410823701743	0.5690701936295924	LYN	1	1	0.04424470179775742	0.9130027512842391
GO:0002554	serotonin secretion by platelet	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus	72	0.006547619047619048	72/16283	0.1527777777777778	1.4807622354497356	1.3866893007096295	0.11932061835138713	0.28871943635461067	0.20913064405347676	BATF/SLC15A4/CLCF1/TBX21/IL10/NBN/BCL6/NFKBIZ/TFRC/TNFSF4/CD40	11	8	0.36269843291629206	1.1594169061878425
GO:0002566	somatic diversification of immune receptors via somatic mutation	14	5.952380952380953e-4	14/16283	0.07142857142857142	0.6923044217687074	-0.3906540372680458	0.7824155364551801	0.8792852991044836	0.6369003182820812	ADAR	1	3	-1.0543675868703521	0.34172299684936613
GO:0002568	somatic diversification of T cell receptor genes	4	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002572	pro-T cell differentiation	3	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002573	myeloid leukocyte differentiation	242	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002574	thrombocyte differentiation	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002575	basophil chemotaxis	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002576	platelet degranulation	7	0.0011904761904761906	7/16283	0.2857142857142857	2.7692176870748297	1.5879759666999165	0.1575938096061151	0.3468484489592411	0.25123573402486377	LYN/PLEK	2	3	-0.3612204063104069	0.6500638904699103
GO:0002577	regulation of antigen processing and presentation	20	0.0035714285714285713	20/16283	0.3	2.9076785714285713	2.895391810497156	0.01298138193169784	0.06124273767086711	0.04436048135317035	LILRB2/CCR7/CCL19/NOD2/THBS1/CD68	6	11	-0.5618911017725582	0.5430433305225528
GO:0002578	negative regulation of antigen processing and presentation	9	0.0017857142857142857	9/16283	0.3333333333333333	3.230753968253968	2.270456818710347	0.057263744795627916	0.1780959778994142	0.12900179853389865	LILRB2/THBS1/CD68	3	7	-0.8030531585894463	0.43418789442696304
GO:0002579	positive regulation of antigen processing and presentation	9	0.0017857142857142857	9/16283	0.3333333333333333	3.230753968253968	2.270456818710347	0.057263744795627916	0.1780959778994142	0.12900179853389865	CCR7/CCL19/NOD2	3	1	1.142856990465867	1.8605112329857407
GO:0002580	regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	5	5.952380952380953e-4	5/16283	0.2	1.9384523809523813	0.7118429596032776	0.41989364742360236	0.6655212088541029	0.4820627277339318	THBS1	1	4	-1.3420496593221332	0.25842353275861607
GO:0002581	negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	3	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002582	positive regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002583	regulation of antigen processing and presentation of peptide antigen	6	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002584	negative regulation of antigen processing and presentation of peptide antigen	4	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002585	positive regulation of antigen processing and presentation of peptide antigen	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002586	regulation of antigen processing and presentation of peptide antigen via MHC class II	4	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002587	negative regulation of antigen processing and presentation of peptide antigen via MHC class II	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002588	positive regulation of antigen processing and presentation of peptide antigen via MHC class II	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002589	regulation of antigen processing and presentation of peptide antigen via MHC class I	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002590	negative regulation of antigen processing and presentation of peptide antigen via MHC class I	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002604	regulation of dendritic cell antigen processing and presentation	11	0.002976190476190476	11/16283	0.45454545454545453	4.405573593073593	3.8322481029073554	0.003149432150616415	0.020426487838343273	0.01479569443373576	CCR7/CCL19/NOD2/THBS1/CD68	5	2	0.9605354336719124	1.6884337755467262
GO:0002605	negative regulation of dendritic cell antigen processing and presentation	4	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002606	positive regulation of dendritic cell antigen processing and presentation	7	0.0017857142857142857	7/16283	0.42857142857142855	4.153826530612244	2.8307430851164663	0.02790231766789006	0.10462986482594429	0.07578745405765791	CCR7/CCL19/NOD2	3	0	0	0
GO:0002616	regulation of macrophage antigen processing and presentation	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002617	negative regulation of macrophage antigen processing and presentation	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002622	regulation of B cell antigen processing and presentation	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002625	regulation of T cell antigen processing and presentation	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002634	regulation of germinal center formation	8	0.002380952380952381	8/16283	0.5	4.846130952380952	3.6905919938225953	0.005617734695789912	0.032627726746321015	0.02363352323838103	ADA/TNFSF13B/BCL6/TNFAIP3	4	0	0	0
GO:0002635	negative regulation of germinal center formation	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002636	positive regulation of germinal center formation	2	0	0	0	0	0	1	1	1		0	0	0	0
