GeneID	GSE16250_GPL570_MTB_control_blood_PBMC_up.tsv	GSE34151_GPL10558_MTB_control_blood_dendritic_cell_up.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_up.tsv	GSE83456_GPL10558_EPTB_control_blood_up.tsv	GSE83456_GPL10558_PTB_control_blood_up.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_up.tsv
10036	1.5174667890353537	0	0.054792939526709	0.013085353421520953	1.3049143720480172	0.3812671237940855
10038	0	0.0036717936082332793	0	0	0.4327145928719223	0
10039	0	0.010322130827296189	0	0	0.4683605920789704	0.02209842862090444
1004	0	0	0.017819074724670148	0	0	0.15184207076829231
10040	0	0.06509317016651717	0.08538422201386187	0.927521557520966	0	0
10042	0	0	0	0	0	0.09546936845709152
10043	0.10940259302832112	0.03841500337537685	0	0	0	0
10044	0	0.001184556205139714	0	0	0	0.08219354515714877
10045	0	0.6205364610006843	0.5629888529356633	0	0	0
10046	0	0	0.6760169672484264	0	0	0
10047	0	0.8609705637097638	0	0	0.48554514861663867	0.18683564018076648
10048	0	0.08990164659421535	0	0	0	0.13068803467656664
10049	0	0.19977225482061112	0	0	0.4650840962081578	0
1005	0.4811336818253773	0	0.02852289578340565	0.7510533321006365	0	0.04207955348720625
10050	4.863415854269973	0	0	1.091038855593995	0	0.07714169408177263
10051	2.649956222839963	3.945352064978917	0.07480210734444243	0.12814568870922738	0	0
10052	1.978584337990606	0	0.15721927949373915	0	1.4998372804736215	0
10053	0	0.08884455724979023	0.3224606542422266	0	0.48554514861663867	0
10054	0.8538011818554807	0.08913784568142624	0.3308445341940092	0	1.1328895963255206	0.056552557858321285
10055	0.834676976396561	0.11061363112364098	0.30987382811325404	0.5177027590522933	0.583849095572866	0
10056	0	0.02242969609119211	0	0.6936821931994737	0	0
10057	15.919793292082634	0	0.04834479290742216	0	0.3551053426404702	0
10058	0	0.4041919632501196	1.0500844151022162	8.014066890442251	15.412049719381278	0
10059	0	0.047250436511319216	0.2600546612413544	0.15116754199416693	0	0
1006	0	0	0.8851869078816077	1.6654354199191763	1.2367009095293802	0
10060	0	0	0.022732987551689288	3.6787082955791823	0	0.03695254849634192
10061	0	0.07682567470078468	0.006427877820310651	0	0	0
10062	0	0	1.6998037091037057	0	0	0.02738506473394109
10063	0	2.4422516164952333	4.500495032075904	3.7986252069127584	2.6660775440474054	0
10066	12.75417475889015	0	0	0.34279138017769684	0.4009592221902357	0
10067	13.73115443455582	0.3653943565797634	0.2920002776479041	0	0.48554514861663867	0.6053635100182069
10068	0	0	0.04140858168470617	0	0	0.7678821853528068
10069	0	0	0	0	0.48554514861663867	0.18481850415691925
1007	1.467504958430948	0	0.06228584591918346	1.6654354199191763	1.2367009095293802	0.04817661375625804
10071	0.4326823745751873	0.604721988211573	0	0.023387181042002325	0.291045505822503	0
10072	0	0.008469945745105484	0	3.5073505534377185	0	0
10073	0.7405361316044383	0	0.003360993533716161	4.367010953060026	2.9868141351278705	0.02348550520742987
