names	GSE100897_MTB_control_24h_THP-1_dn.tsv	GSE100897_MTB_control_6h_THP-1_dn.tsv	GSE110564_MTB_control_blood_lymphatic_endothelial_cell_dn.tsv	GSE112482_MTB_control_lung_ILC1_dn.tsv	GSE112482_MTB_control_lung_ILC2_dn.tsv	GSE112482_MTB_control_lung_ILC3neg_dn.tsv	GSE112482_MTB_control_lung_ILC3pos_dn.tsv	GSE112482_MTB_control_lung_NK_dn.tsv	GSE112482_MTB_control_lung_susp_dn.tsv	GSE112483_MTB_control_lung_AM_dn.tsv	GSE112483_MTB_control_lung_endo_dn.tsv	GSE112483_MTB_control_lung_epi_dn.tsv	GSE112483_MTB_control_lung_gd_dn.tsv	GSE112483_MTB_control_lung_mait_dn.tsv	GSE112483_MTB_control_lung_NK_dn.tsv	GSE112483_MTB_control_lung_NKT_dn.tsv	GSE132283_MTB_control_blood_macrophage_dn.tsv	GSE141656_MTB_control_blood_blood_dn.tsv	GSE143627_MTB_control_PBMC_macrophage_dn.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE148171_MTB_control_blood_PBMC_dn.tsv	GSE148731_MTB_control_blood_monocytes_dn.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_dn.tsv	GSE174566_MTB_control_blood_PBMC_dn.tsv	GSE183912_MTB_control_blood_marcophages_dn.tsv	GSE193777_MTB_control_blood_dn.tsv	GSE198557_MTB_control_blood_PBMC_dn.tsv	GSE211974_MTB_control_48h_blood_THP-1_dn.tsv	GSE211974_MTB_control_blood_THP-1_dn.tsv	GSE223863_MTB_control_24h_BALF_alveolar_macrophage_dn.tsv	GSE223863_MTB_control_2h_BALF_alveolar_macrophage_dn.tsv	GSE223863_MTB_control_72h_BALF_alveolar_macrophage_dn.tsv	GSE236156_MTB_control_BALF_alveolar_macrophage_dn.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv	GSE256184_MTB_control_HEPG2_HepG2_dn.tsv	GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	GSE84076_MTB_control_blood_dn.tsv
GSE148171_MTB_control_blood_PBMC_dn.tsv	0.03804347826086957	0.03804347826086957	0.0425531914893617	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017241379310344827	0.041666666666666664	0.018691588785046728	0	1	0.06363636363636363	0.00847457627118644	0	0	0	0.05737704918032787	0.16666666666666666	0.03488372093023256	0.03488372093023256	0	0	0	0.037383177570093455	0.037383177570093455	0.03571428571428571	0.05947955390334572	0.03260869565217391	0.030303030303030304
GSE148731_MTB_control_blood_monocytes_dn.tsv	0.125	0.125	0.009174311926605505	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05263157894736842	0.0673076923076923	0.20567375886524822	0.021739130434782608	0.06363636363636363	1	0.0650887573964497	0	0.1506849315068493	0.011111111111111112	0.09195402298850575	0.008620689655172414	0.10294117647058823	0.10294117647058823	0	0	0	0.3333333333333333	0.3333333333333333	0.06474820143884892	0.15719063545150502	0.17293233082706766	0
GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	0.09482758620689655	0.09482758620689655	0.01818181818181818	0.02197802197802198	0.02197802197802198	0.02197802197802198	0.02197802197802198	0.02197802197802198	0.02197802197802198	0	0	0	0	0	0	0	0.025210084033613446	0.008928571428571428	0.03614457831325301	0.02127659574468085	0.00847457627118644	0.0650887573964497	1	0	0.1564625850340136	0	0.026737967914438502	0.017094017094017096	0.04827586206896552	0.04827586206896552	0	0	0	0.06748466257668712	0.06748466257668712	0.0273972602739726	0.15614617940199335	0.07482993197278912	0
GSE165708_MTB_control_BAL_bronchoalveolar_lavage_dn.tsv	0.006134969325153374	0.006134969325153374	0.047619047619047616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045454545454545456	0.012345679012345678	0	0	0	0	1	0	0	0	0	0.01639344262295082	0.01639344262295082	0	0	0	0	0	0	0	0	0
GSE174566_MTB_control_blood_PBMC_dn.tsv	0.06140350877192982	0.06140350877192982	0.02040816326530612	0.0125	0.0125	0.0125	0.0125	0.0125	0.0125	0	0	0	0	0	0	0	0.06796116504854369	0.07446808510638298	0.05263157894736842	0.024390243902439025	0	0.1506849315068493	0.1564625850340136	0	1	0	0.07142857142857142	0.038834951456310676	0.06060606060606061	0.06060606060606061	0	0	0	0.1095890410958904	0.1095890410958904	0.05343511450381679	0.13513513513513514	0.2066115702479339	0
GSE183912_MTB_control_blood_marcophages_dn.tsv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012195121951219513	0	0	0.011111111111111112	0	0	0	1	0.00980392156862745	0	0.016129032258064516	0.016129032258064516	0	0	0	0.011904761904761904	0.011904761904761904	0	0	0	0
GSE193777_MTB_control_blood_dn.tsv	0.056	0.056	0.008264462809917356	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047619047619047616	0.01652892561983471	0.07058823529411765	0	0.05737704918032787	0.09195402298850575	0.026737967914438502	0	0.07142857142857142	0.00980392156862745	1	0.04878048780487805	0.04516129032258064	0.04516129032258064	0	0	0	0.05142857142857143	0.05142857142857143	0.06666666666666667	0.08814589665653495	0.05660377358490566	0.028846153846153848
GSE198557_MTB_control_blood_PBMC_dn.tsv	0.03804347826086957	0.03804347826086957	0.06521739130434782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041666666666666664	0.009259259259259259	0	0.16666666666666666	0.008620689655172414	0.017094017094017096	0	0.038834951456310676	0	0.04878048780487805	1	0.047058823529411764	0.047058823529411764	0	0	0	0	0	0.04819277108433735	0.021505376344086023	0.03260869565217391	0
GSE211974_MTB_control_48h_blood_THP-1_dn.tsv	0.15463917525773196	0.15463917525773196	0.10810810810810811	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022222222222222223	0.05063291139240506	0.06766917293233082	0.015384615384615385	0.03488372093023256	0.10294117647058823	0.04827586206896552	0.01639344262295082	0.06060606060606061	0.016129032258064516	0.04516129032258064	0.047058823529411764	1	1	0	0	0	0.02857142857142857	0.02857142857142857	0.05263157894736842	0.09278350515463918	0.0847457627118644	0.015151515151515152
GSE211974_MTB_control_blood_THP-1_dn.tsv	0.15463917525773196	0.15463917525773196	0.10810810810810811	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022222222222222223	0.05063291139240506	0.06766917293233082	0.015384615384615385	0.03488372093023256	0.10294117647058823	0.04827586206896552	0.01639344262295082	0.06060606060606061	0.016129032258064516	0.04516129032258064	0.047058823529411764	1	1	0	0	0	0.02857142857142857	0.02857142857142857	0.05263157894736842	0.09278350515463918	0.0847457627118644	0.015151515151515152
GSE223863_MTB_control_24h_BALF_alveolar_macrophage_dn.tsv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
GSE223863_MTB_control_2h_BALF_alveolar_macrophage_dn.tsv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
GSE223863_MTB_control_72h_BALF_alveolar_macrophage_dn.tsv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
GSE236156_MTB_control_BALF_alveolar_macrophage_dn.tsv	0.09333333333333334	0.09333333333333334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05555555555555555	0.06060606060606061	0.18840579710144928	0	0.037383177570093455	0.3333333333333333	0.06748466257668712	0	0.1095890410958904	0.011904761904761904	0.05142857142857143	0	0.02857142857142857	0.02857142857142857	0	0	0	1	1	0.05970149253731343	0.14093959731543623	0.08695652173913043	0.011363636363636364
GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv	0.09333333333333334	0.09333333333333334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05555555555555555	0.06060606060606061	0.18840579710144928	0	0.037383177570093455	0.3333333333333333	0.06748466257668712	0	0.1095890410958904	0.011904761904761904	0.05142857142857143	0	0.02857142857142857	0.02857142857142857	0	0	0	1	1	0.05970149253731343	0.14093959731543623	0.08695652173913043	0.011363636363636364
GSE256184_MTB_control_HEPG2_HepG2_dn.tsv	0.04225352112676056	0.04225352112676056	0.02564102564102564	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034482758620689655	0.0125	0.029411764705882353	0.015873015873015872	0.03571428571428571	0.06474820143884892	0.0273972602739726	0	0.05343511450381679	0	0.06666666666666667	0.04819277108433735	0.05263157894736842	0.05263157894736842	0	0	0	0.05970149253731343	0.05970149253731343	1	0.07482993197278912	0.024390243902439025	0
GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	0.18309859154929578	0.18309859154929578	0.025830258302583026	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054945054945054944	0.060836501901140684	0.08681672025723473	0.015503875968992248	0.05947955390334572	0.15719063545150502	0.15614617940199335	0	0.13513513513513514	0	0.08814589665653495	0.021505376344086023	0.09278350515463918	0.09278350515463918	0	0	0	0.14093959731543623	0.14093959731543623	0.07482993197278912	1	0.14487632508833923	0.003816793893129771
GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	0.09523809523809523	0.09523809523809523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06521739130434782	0.08536585365853659	0.13846153846153847	0.014084507042253521	0.03260869565217391	0.17293233082706766	0.07482993197278912	0	0.2066115702479339	0	0.05660377358490566	0.03260869565217391	0.0847457627118644	0.0847457627118644	0	0	0	0.08695652173913043	0.08695652173913043	0.024390243902439025	0.14487632508833923	1	0
GSE84076_MTB_control_blood_dn.tsv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030303030303030304	0	0	0	0	0	0.028846153846153848	0	0.015151515151515152	0.015151515151515152	0	0	0	0.011363636363636364	0.011363636363636364	0	0.003816793893129771	0	1
