GeneID	GSE84076_MTB_control_blood_up.tsv	GSE148171_MTB_control_blood_PBMC_up.tsv	GSE198557_MTB_control_blood_PBMC_up.tsv	GSE100897_MTB_control_24h_THP-1_up.tsv	GSE100897_MTB_control_6h_THP-1_up.tsv	GSE112482_MTB_control_lung_ILC1_up.tsv	GSE112482_MTB_control_lung_ILC2_up.tsv	GSE112482_MTB_control_lung_ILC3neg_up.tsv	GSE112482_MTB_control_lung_ILC3pos_up.tsv	GSE112482_MTB_control_lung_NK_up.tsv	GSE112482_MTB_control_lung_susp_up.tsv	GSE112483_MTB_control_lung_AM_up.tsv	GSE112483_MTB_control_lung_endo_up.tsv	GSE112483_MTB_control_lung_gd_up.tsv	GSE112483_MTB_control_lung_mait_up.tsv	GSE112483_MTB_control_lung_NK_up.tsv	GSE112483_MTB_control_lung_NKT_up.tsv	GSE112483_MTB_control_lung_epi_up.tsv	GSE132283_MTB_control_blood_macrophage_up.tsv	GSE143627_MTB_control_PBMC_macrophage_up.tsv	GSE148731_MTB_control_blood_monocytes_up.tsv	GSE174566_MTB_control_blood_PBMC_up.tsv	GSE193777_MTB_control_blood_up.tsv	GSE223863_MTB_control_2h_BALF_alveolar_macrophage_up.tsv	GSE223863_MTB_control_24h_BALF_alveolar_macrophage_up.tsv	GSE223863_MTB_control_72h_BALF_alveolar_macrophage_up.tsv	GSE256184_MTB_control_HEPG2_HepG2_up.tsv	GSE64179_MTB_control_blood_dendritic_cells_up.tsv	GSE64182_MTB_control_blood_dendritic_cells_up.tsv	GSE110564_MTB_control_blood_lymphatic_endothelial_cell_up.tsv	GSE141656_MTB_control_blood_blood_up.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_up.tsv	GSE183912_MTB_control_blood_marcophages_up.tsv	GSE211974_MTB_control_blood_THP-1_up.tsv	GSE211974_MTB_control_48h_blood_THP-1_up.tsv	GSE236156_MTB_control_BALF_alveolar_macrophage_up.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_up.tsv
10525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0470859812433286	2.046293365483776	0	0	0	0	0	0	0	0	0	0
10557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49394011330882137	0	0	0	0	0	0	0	0	0	0	0	0
10559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6682362752817926	0.4859083255085029	0.42772775481511344	0	0	0	0	0.8700059987727722	0	0	0	0	0	0	0	0	0.5188458799685851	0.5188458799685851	0	0
10606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0183852832131846	0	0	0	0	0	0.4527961815079721	0	0	0	0	0	0	0	0	0	0	0
10610	0	2.2591332841013645	2.1091721734898314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.013926065219876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3710291043251753	0	0	0	0	0	0	0	0	0	0	0	0
1062	0	0	1.3899111530285069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.136824968720353	0	0	0	0	0	0	0	0	0	0	1.1630014039563266	0	0	0	0	0	0
10641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10644	1.7531821517143986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8487747114718345	0	0	0	0	0	0	0	0	0	0	0	0
10652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8937993479879401	0	0	0	0	0	0	0	0	0	0
10668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3106547338072495	0	0	0	0	0	0	0	0	0	0	0	0
10670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3622345601347814	0	0.17766055841509193	0	0.4046572044640446	0	0	0	0.32182227641289685	0	0.6843413713087942	0	0.3741763292199222	0	0	0	0	0	0	0	0
10681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5441985827125656	0	0	0	0	0.5291226615219314	0	0	0	0	0	0	0	0	0	0	0	0
10695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6704623717937686	0	0	0	0	0	0	0	0	0	0	0	0
10730	0	1.531163655310304	1.382998075257815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6481753992206029	0.4305167997665389	0	0	0	0	0	0	0.7070874328354445	0	0	0	0	0	0	0	0.28370878034369795	0.28370878034369795	0.20593756793137247	0.20593756793137247
10732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4831593367865313	0	0	0	0	0.8646476300500903	0	0	0	0	0	0	0	0	0	0	0
10775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10776	0	0.9842783278791944	1.1291897397415949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27695024739347823	0	0	0	0	0	1.9521927742891936	1.1498262624277578	0	0	0	0	0	0	0	0	0	0
10782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2940091864872652	0	0	0	0	0	0.360173653414299	0	0	0	0	0	0	0	0	0	0	0	0
10797	0	0	1.376998933798644	1.2222082495091229	1.2222082495091229	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5606482564237918	0.6929846926670111	1.0950185768140908	0.9345959657120032	0.5413979240512087	0	0	0	0.41385409355234015	2.625266314022777	2.369068230132226	0	0	0	0	0	0	0	0	0.5917919308104856	0.5917919308104856
10810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.332168722011264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10818	0	1.0144596782219737	1.2722117693241948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6945680537320837	1.3890208284126535	0	0	0	0	0	0	0	0.2961185377634093	0.2961185377634093	0	0
10845	0	0	0.9912909684122512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8820235470385491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10892	0	0	0	2.6670364329609875	2.6670364329609875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4022537029161832	0	0	0.4469684519102693	0	0.9113083475718192	0	0	0.5560324007576718	0.5560324007576718	0	0
10898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1805196652696539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8349032627320009	0	0	0	0	0	0	0.39218748038753326	0.39218748038753326
10921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40417102556440015	0	0	0.28447791291210506	0	0	0	0	0	0	0.7892579693081524	0	0	0	0	0	0	0	0	0.22848846713201704	0.22848846713201704
10953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4498608975865154	0.6735815351783394	0	0	0	0	0	3.1251906832965437	3.898421522492624	0	0.7243206026811402	0	0.5685530477805465	0	0	0	0	0	0
10954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8532989483807204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0562836907249131	0	0	0	0	0	0	0	2.7748917716817254	1.4385267810806002	0	1.2333610139838342	0	2.3395035917350446	0	0	0	0	0	0
10969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6480345402880223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4397027814755428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11000	0.7265278246627428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7099414815059197	0	0	0	0	0	2.5206099150651804	1.5287007648690176	0	0	0	1.188704754904944	0	0	0	0	0	0
11007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11011	0	1.245276692037631	0.9521418696392092	0.8581173414099832	0.8581173414099832	0	0	0	0	0	0	0	0	0	0	0	0	0	0.779636106964671	0.8438844334402585	0.5757480429755035	0	0	0	0	0	0.4365930624226921	1.0189227690456528	0	0	0	0	0	0.33625414700303646	0	0.3948868994038881	0.3948868994038881	0	0
