GeneID	GSE16250_GPL570_MTB_control_blood_pmbc_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dcs_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv
11182	0	-0.09324851614246744	0	-0.1468522188350636	-0.06407453278186365
11188	-0.00476952146826836	0	-0.13180501244824955	-0.938734098484432	-0.8628039155314227
11200	-0.19386093932248988	0	0	0	0
1123	-0.2946349378693161	-0.03986499342975717	0	0	0
11230	-0.1632312653278143	-0.01026434148354174	-0.03473784073082545	-0.23418258783358736	-0.04880528837843201
11232	-1.142652933217156	-0.08689931982515908	-0.23285542397870465	0	-0.09426523544992949
11261	0	-0.3042582779929459	-0.05412491543066022	0	-0.4768177302983574
11284	-1.8349595949350987	-0.00284790519016575	0	-0.9183465892931107	-0.00377464296353727
11319	-0.30723139442174785	0	-0.23644521467788704	-2.228080641962839	0
11325	0	0	0	0	0
11344	-0.9764317656078524	0	-0.39261350655050486	-5.549235420718573	-0.00738905563080776
1153	0	-1.1314955676607994	0	0	0
116832	0	0	0	0	0
1212	0	-0.6561967934352531	0	-0.6690894641842704	0
1213	0	-0.3259668988998059	0	-0.7702242297353763	0
124583	0	0	0	0	0
1277	-0.3346019926809868	-1.4199331829867017	0	-0.1865100830114552	0
128	0	-0.18670936973923544	0	0	-0.02360784759522395
1282	0	-0.02956733418355817	-0.06755787352308362	-1.5320551754092937	-20.2957678659959
1385	-0.7382229345797672	0	-0.1735922265787737	0	0
1398	-0.90154230554102	-0.7132057261490534	-0.5290848242905435	0	-0.36905320081148085
1399	-0.6501655895814773	0	-0.22465544257160333	-0.42719455151935337	-0.36905320081148085
142	-0.0030324527385499	-1.1722673512134678	0	-1.2075671915623547	-0.1559192046547072
1429	-1.015308568921344	-0.17099971905066447	0	-0.007623505849776	0
1445	-35.253592935931266	0	0	0	-0.13735624345943354
1452	-0.09381937655978524	0	0	-1.7693194015255185	0
1454	-0.3242586307778681	0	0	-1.1177706782752843	-0.01151765559913126
1459	0	-0.36593952495261806	0	0	-0.05212749281142015
1465	-0.5723824582310396	-0.7044345350407673	-0.4798858650570841	0	0
147179	0	0	0	0	0
148022	0	0	0	0	0
1500	0	0	0	0	-0.04901971062386567
1509	-0.27641727774961783	-0.0410797937429255	-0.05167886742820135	0	-1.5862798830219358
1514	-0.7578997679090211	-0.3577536634063895	-0.2399224219534306	-0.8954945457429582	0
1534	0	-0.12523964235335217	-0.07114762111931014	0	0
154	-0.09271567201324138	0	0	-1.868949954908648	-0.4010157125708771
16	-0.06280118056472384	-0.5931299698985559	0	-0.02916799936034808	-11.726456440845846
1605	0	0	0	0	0
1616	-2.1013683375176733	-0.05087598984916039	0	-1.0150427933670776	-0.14095931952714374
1633	-0.2603253783323768	-3.174929076301485	0	0	-0.03165204893872827
1635	0	0	0	-1.3208137055187308e-6	0
1643	0	0	0	-0.2861441440311092	0
1647	0	0	0	0	-0.04470041012664505
1662	0	0	-0.06196013609540721	0	-0.4733853142076664
1666	-0.05494254469126014	0	-1.3688761411914951	0	-0.10712944325933584
1676	0	-0.32517075171176035	0	-0.12256418118538626	-0.16918083726988642
1677	-0.5650566796324523	0	-0.08386731590570479	0	-0.04550531910626096
1738	-0.08528403037688825	-0.07892146856916588	0	-1.049301077331035	-0.26727597695507344
1759	0	0	-0.3904738080251317	0	0
178	0	0	-0.2621819928085226	0	0
1786	0	0	-0.05793111328598044	-0.2300409660663008	0
1788	-24.277981286041623	-0.1951213839620174	0	-0.7723278098233712	0
1802	-13.092510116502249	-4.593706592696859	0	-0.02462290081192664	0
1829	0	-0.00372722938778651	0	-1.8117569457937424	0
1831	-0.2299384454196261	0	-0.18655689349178503	-1.6826249228294756	-0.0701084009059616
1845	0	0	-1.6357098541881885	0	0
1846	0	0	0	-1.0048535515107695	-0.3712421229876517
1848	0	0	-0.00575803125233548	-2.3615020632406907	-0.12561688445236635
1861	0	0	0	-1.809939165590548	-0.11169002882890576
1870	-1.6247749088905543	-2.185240143611806	0	0	-0.1493299876872316
1891	-0.0356578651691086	0	-0.3894716729272712	-0.0600394144201335	-0.7818739250506486
1906	-0.04079442158459923	0	-0.08790979860691617	-6.356001460520807	0
1950	0	0	0	0	0
1956	-0.39410763378376	0	0	0	-1.0642818820838942
1958	-0.3816923108335723	-0.34733719915717937	0	0	-1.0695721269385832
1978	0	0	0	-0.5370805772251075	-1.4050942549442669
1981	0	0	0	0	-0.08557930629179955
1983	-0.16637330471379674	-0.16450258829395104	0	0	0
1994	0	-1.2978501579906483	0	0	-0.16528110483329211
200081	0	0	0	0	0
200734	0	0	0	0	0
2017	0	-0.02828953947802671	0	0	-0.05120643112458328
2037	-0.00478165943493597	-0.15517902574382814	-0.07727077407106231	0	0
2042	-0.693119752439283	0	0	0	-0.5965539026040814
2048	0	0	0	-0.02641395586767525	-0.08315766478840336
2058	-0.1119272484595366	-0.23674883705836547	-0.5379473101965968	0	-0.1857971572171384
2063	-0.4797550113249745	-0.8087609628003465	-0.25713781695551496	0	0
2064	-0.18750770112298265	0	-0.06436059630997848	0	0
2065	0	0	-0.5711986103119349	0	0
207	-4.0680972595420535	-0.6849820541794185	0	0	0
2109	0	-0.1918276761283133	0	0	-0.4666811813999864
211	0	-0.02923884123197778	0	-1.44676222756369	0
2113	0	-4.467782600562101	0	-1.4528841190230948	0
2115	-1.8772192867161368	-0.7443344751143801	0	-0.30301407667500224	-0.0353279476755261
2131	0	-0.5631884147364787	0	-1.936756151861386	0
2146	0	0	-0.0084458135115939	-0.6640329100667721	0
2184	0	0	-0.00709227404392409	-1.859595126623985	-5.492596627827311
2185	-0.30836252588875945	0	-0.202755051235606	0	0
