,GSM484450,GSM484453,GSM484454,GSM484457,GSM484462,GSM484477,GSM484479,GSM409137,GSM409138,GSM409139,GSM4147990,GSM4147991,GSM4147992,GSM4147993,GSM4147994,GSM4147995,GSM4147996,GSM4147997,GSM4147998,GSM4147999,GSM4148000,GSM4148001,GSM4148002,GSM4148003,GSM1327541,GSM1327542,GSM1327544,GSM1327546,GSM1327549,GSM1327550,GSM435905,GSM435906,GSM435907,GSM435908,GSM484603,GSM484604,GSM484612,GSM484613,GSM484622,GSM484634,GSM484644,GSM484647,GSM484369,GSM484370,GSM484371,GSM484372,GSM484373,GSM484374,GSM484375,GSM484377,GSM484378,GSM484379
MCF10A,0.02864272,0.044925947,-0.024938049,0.030372227,-0.0060556876,0.011290908,-0.041322004,-0.025547802,0.05492292,0.09091471,0.068058945,0.078203715,0.076517716,0.09228303,0.10083083,0.10552158,0.087329865,0.08854358,0.07858474,0.09724067,0.06437565,0.09808097,0.13250352,0.08267971,0.05084395,0.08769315,0.09843122,0.08757466,0.08641954,0.08712562,0.15106894,0.16120198,0.13909204,0.11268887,0.055965345,0.0139325615,-0.021497883,0.0024446088,0.01272136,-0.0005720599,0.037954554,-0.011276815,-0.030459309,0.018371701,0.037463833,-0.023391437,0.046282765,-0.00088640174,0.014754872,-0.012875891,-0.02281569,0.016058018
HUES3,0.033018656,0.045900512,-0.03300432,0.04289739,0.03359342,0.017758304,-0.03691558,0.025109509,0.042148642,0.09630415,0.041534178,0.060278624,0.06564511,0.0760533,0.086816244,0.08490368,0.021715371,0.05802831,0.0518568,0.068712145,0.08379378,0.084827274,0.12088853,0.06819756,0.020860547,0.048331037,0.08473531,0.10229406,0.08001976,0.072680034,0.14004084,0.17280379,0.12072738,0.09847591,0.039834958,-0.008408846,-0.0041996487,-0.052587572,0.0067388625,-0.033726666,0.0119243115,-0.047373354,-0.0031995147,0.010660881,0.058403328,-0.055332594,0.028988127,0.0070090992,0.019045947,0.006456813,0.005754,0.03951117
MDAMB231,0.009487904,0.064817995,-0.022281744,0.025993457,-0.0075451666,-0.0024991476,-0.04242036,-0.027482515,0.038823985,0.09822114,0.057329126,0.088969015,0.08282657,0.08008955,0.12351354,0.089879766,0.07219012,0.088623345,0.06436027,0.09580298,0.0644153,0.09351718,0.12891865,0.08827215,0.044886757,0.08065468,0.13538647,0.08866315,0.08834946,0.054656554,0.15059644,0.15485801,0.1397971,0.104202874,0.030420635,0.022581354,-0.0062712496,0.007001757,0.019011797,-0.028422322,0.04778042,0.014148905,-0.016348507,-0.013030968,0.0085870065,-0.056005318,0.028024683,-0.008410895,0.032229405,-0.01033315,-0.03720665,-0.009110244
ASC,0.029607715,0.049691096,0.010375247,0.029961905,0.017068557,0.004206481,-0.052422214,-0.034099627,0.063866764,0.13211015,0.093656585,0.10668862,0.0945235,0.10848199,0.13503022,0.09238536,0.07050551,0.119535185,0.055500668,0.061826833,0.07159458,0.095857255,0.12191849,0.07706586,0.08247297,0.07739657,0.12806426,0.13581923,0.108055875,0.092028625,0.12251316,0.1421382,0.10601954,0.10532274,0.04757474,0.0402208,-0.021776814,0.021754676,0.006817855,0.018609954,0.049082696,0.015036239,-0.01974958,-0.0053722663,0.05894011,-0.04995469,0.051008582,-0.0151018575,0.035411455,-0.0055184914,-0.021648893,0.029054774
NEU,0.03927921,0.059934195,0.000469624,0.034757853,0.022921886,0.03978313,-0.022475999,0.0013219131,0.055671364,0.11094742,0.055294245,0.023829559,0.055238876,0.0928143,0.08436606,0.034997318,0.0143284155,0.0593838,0.026247285,0.08433726,0.036599644,0.07409497,0.10701364,0.07855862,0.06485182,0.061770257,0.13487561,0.0913324,0.10847178,0.059277736,0.07401136,0.10463552,0.066882074,0.018051082,0.07101818,0.053071573,-0.0005533167,0.044160023,0.043601997,0.046481133,0.044798143,0.01140454,-0.02732767,0.011458558,0.07827149,-0.010470618,0.043362062,0.012193809,0.0319199,0.01890334,0.019960595,0.052089624
HUVEC,0.030408038,0.058742993,0.0042214263,0.04780082,0.008105937,0.035455327,-0.032066274,-0.01367675,0.059990007,0.11920953,0.08865664,0.06698331,0.08474471,0.103580415,0.119104594,0.094980605,0.05431014,0.09698063,0.058200374,0.087333106,0.056181215,0.09623328,0.108113416,0.07221349,0.06964762,0.08773638,0.1819312,0.15856484,0.110509716,0.09473493,0.11677881,0.1280131,0.11020181,0.06331327,0.044845384,0.02374089,0.014815975,0.043789424,0.042253368,0.011744721,0.05021778,0.014318131,-0.016406948,0.020399317,0.031935018,-0.047026027,0.06737556,0.012403571,0.051071253,0.022824459,-0.011876098,0.009184543
NPC,0.01912832,0.06826861,-0.018603561,0.022188315,0.026353285,0.029517768,-0.033407826,0.003824484,0.060190007,0.08400941,0.046161905,0.042506356,0.053807016,0.08776899,0.08448568,0.05818293,0.0085301045,0.052890982,0.037397288,0.060702853,0.052205563,0.054309174,0.12762406,0.08053279,0.042554952,0.05644591,0.1326682,0.090225175,0.06535562,0.038612004,0.12801634,0.15429482,0.12962447,0.05811787,0.049643543,0.019063447,-0.02711705,-0.0068233334,0.017443962,-0.022399267,0.042623825,-0.001749374,-0.012369419,0.01050668,0.04164582,-0.08306886,0.03714599,0.013284725,0.02017362,0.0037742483,0.0071068397,0.046210498
ASC.C,0.036697045,0.053184878,0.002584412,0.029336236,0.01948499,-0.0038130435,-0.051573493,-0.033859923,0.061417818,0.13274164,0.0860934,0.11198329,0.09408686,0.10256043,0.14016591,0.09622894,0.073805526,0.12993771,0.0623855,0.066665635,0.081249,0.10493582,0.13103914,0.07496552,0.09348593,0.077445745,0.12801589,0.13878521,0.109489664,0.08589778,0.12776281,0.14774182,0.099252716,0.09363341,0.05731511,0.041633748,-0.01591556,0.019254653,0.010576058,0.025334356,0.048345573,0.012439442,-0.016653497,-0.00033197415,0.05438242,-0.0473992,0.04953764,-0.018862676,0.040726066,-0.0027678483,-0.019767672,0.023835791
A375,0.03251099,0.071849,0.0006520785,0.07065394,0.048605405,0.023789804,-0.0058713504,-0.029263692,0.063224494,0.14241706,0.054266177,0.06660756,0.08432651,0.08026375,0.07522308,0.08945808,0.06583367,0.09035239,0.049025964,0.083305135,0.065303676,0.09065585,0.13221109,0.07662604,0.090731464,0.09672004,0.14793889,0.12688811,0.09738242,0.100167796,0.14985709,0.17594182,0.15677366,0.10324465,0.028080927,0.025127735,0.004428757,-0.007987494,0.0064140167,0.0120554175,0.03698672,0.002525541,-0.033478297,0.0049923356,0.03223495,-0.048828002,0.07363929,-0.0013709355,0.0030818041,0.023794698,0.0057592536,0.022274153
JURKAT,0.0695825,0.09502998,0.017138138,0.054873586,0.04655494,0.057708565,0.010533407,-0.069233194,0.12814525,0.14345619,0.09441929,0.11068417,0.113962896,0.14941308,0.106757335,0.1258053,0.04162042,0.098074496,0.12278018,0.11644938,0.06393406,0.10341442,0.14045236,0.11268482,0.15066099,0.1447377,0.14163455,0.15930109,0.1794919,0.11458137,0.1762372,0.20602882,0.20024076,0.15800026,0.062717356,0.038227417,0.03195937,-0.003047411,0.04068129,0.0029657276,-0.0019115009,-0.002977208,0.012307737,0.040288407,0.041014586,-0.008854051,0.07605864,0.02702119,0.009644362,0.023679879,-0.012953249,0.03731238
PC3,0.018006202,0.08830847,-0.0037501615,0.07439564,0.05181497,0.013648386,-0.03625072,-0.017334975,0.05044994,0.1249519,0.042011607,0.057972465,0.051821653,0.06256559,0.083625875,0.07636382,0.041103803,0.07256966,0.038963888,0.062371936,0.020009242,0.066391036,0.09777079,0.048087712,0.08801405,0.07996659,0.101745255,0.11671163,0.0944311,0.08613509,0.1563549,0.15550806,0.16101684,0.09574262,0.036947735,0.03155273,-0.0032784438,0.014082393,0.017368875,0.015218896,0.04009097,0.009034639,-0.02803602,0.012514006,0.048035633,-0.02250758,0.047917116,0.024173532,0.029877827,0.021322934,-0.019382989,0.024265995
HELA,0.0067874375,0.06798302,0.011367085,0.06879211,0.032912035,0.011560541,-0.017193325,-0.026955696,0.077887416,0.14575256,0.040197354,0.049223218,0.06002677,0.081285454,0.0775829,0.080454715,0.030758163,0.07656914,0.033311754,0.06344017,0.04190786,0.0632346,0.103407405,0.043145735,0.066395134,0.0825783,0.10856902,0.121417634,0.10550892,0.08467585,0.12717174,0.16100548,0.13669328,0.12398405,0.04574186,0.026156968,-0.001079344,0.029812451,0.03565051,0.03699501,0.007674573,-0.016684193,-0.046575222,0.02516125,0.057797063,-0.042226985,0.07615989,-0.008610304,-0.003451413,-0.0018141888,-0.00083557604,0.019535325
SKL,0.067057766,0.07137332,0.03159586,0.045565706,0.025762962,0.043980256,-0.016486753,-0.007540223,0.0750672,0.14605655,0.08563473,0.10880001,0.085627176,0.105769,0.14175735,0.102165155,0.07568627,0.12049359,0.081814736,0.08617105,0.08249018,0.11048918,0.13566306,0.09912321,0.08862743,0.08562592,0.16759783,0.14720164,0.09339932,0.09152337,0.11731183,0.12713113,0.10721196,0.07238007,0.055511124,0.04794981,0.028057467,0.037092462,0.015420941,0.037832513,0.05744038,0.018916003,-0.012718994,-0.00018981047,0.05484147,-0.031582627,0.083056785,-0.0005079445,0.07047526,0.014492258,8.118272e-05,0.022316199
LNCAP,0.023339542,0.016351722,-0.018618667,0.0068031014,-0.019119956,-0.010991613,-0.07003649,-0.024084065,0.04718805,0.06965154,0.07437502,0.10516959,0.0999395,0.123364225,0.087293744,0.12536651,0.04303589,0.08518419,0.09432295,0.102475844,0.056264564,0.11345139,0.13016945,0.08280778,0.047611013,0.07161696,0.07603419,0.11335559,0.10871046,0.09548762,0.119381316,0.15521076,0.16057737,0.12571074,0.04203778,0.018393857,-0.033284258,-0.030296998,-0.02683764,-0.004336761,0.011656095,-0.026358778,-0.029363448,-0.030022075,0.037263766,-0.039017934,0.00044607092,-0.048102006,-0.018475994,-0.029003203,-0.025017656,-0.012254535
SKL.C,0.06677589,0.076761134,0.027108463,0.050028626,0.026657732,0.043747053,-0.007913371,-0.0091074165,0.062486332,0.13910544,0.07860157,0.102659,0.08511908,0.09705728,0.13300218,0.09674194,0.06729378,0.11759471,0.07618056,0.08818858,0.079365455,0.10832856,0.1317001,0.094217256,0.076544814,0.08050323,0.16164967,0.14116624,0.08882826,0.08729933,0.1141846,0.120940946,0.10813535,0.07054262,0.06336116,0.054547053,0.02926984,0.03911926,0.019113982,0.045792542,0.057430886,0.017381279,-0.014881995,0.005136673,0.0542184,-0.026677439,0.08437321,0.009293584,0.06738824,0.018225094,0.0041619027,0.021949546
HA1E,0.028836701,0.08127118,0.013118753,0.050298747,0.03643822,0.03301313,-0.016538225,-0.01398997,0.048646856,0.13339883,0.0327401,0.05066598,0.05530143,0.06061078,0.07489677,0.05956493,0.027751073,0.07025031,0.027351873,0.03947401,0.02944639,0.06270701,0.100865744,0.062633485,0.06067175,0.053933144,0.09913157,0.08531012,0.07273698,0.06409558,0.12525073,0.14629391,0.1217008,0.0975255,0.046362575,0.021576833,-0.0033786765,0.025040839,0.032339834,0.012164111,0.03366239,0.010525096,-0.010380597,0.009229367,0.06125232,-0.030390797,0.08171229,0.008356542,0.014427849,0.01705105,0.008931251,0.02626
HME1,0.023726571,0.032048583,-0.03938786,0.03188615,0.0012670326,0.011095902,-0.017154653,-0.008735051,0.0592638,0.10697097,0.08471563,0.09163975,0.07497503,0.08730522,0.10663899,0.10439634,0.0892768,0.12442091,0.07895361,0.09918472,0.06981218,0.10134687,0.13464184,0.08193139,0.074028894,0.09092188,0.14014243,0.1291347,0.08808928,0.09658978,0.15533477,0.1726015,0.1467084,0.10412121,0.029637951,0.025140574,-0.010622766,-0.00067514373,0.012287332,-0.0058114114,0.05183974,0.001997184,-0.0076694335,0.00013727734,0.03167818,-0.036562502,0.04204066,-0.004297,0.028511748,-0.025816888,-0.0049632946,0.00332264
BT20,0.017567601,0.0629025,0.01628645,0.030736422,-0.0060316385,0.0145172,-0.031506557,-0.016262533,-0.000981856,0.07169653,0.071371436,0.07337484,0.04321239,0.09589923,0.09694657,0.07541291,0.08222805,0.054734208,0.044973318,0.06666504,0.050295513,0.09323471,0.09528003,0.06063808,0.040325478,0.03698487,0.07174003,0.10474841,0.08645105,0.07571546,0.08938935,0.13302189,0.107770056,0.07932875,0.054567154,0.015442678,-0.0033709542,0.03123359,0.012969414,0.016432678,0.05727959,-0.007474348,-0.009855023,-0.0030258948,0.05681919,-0.03156654,0.035737786,-0.012405693,0.015839845,0.016211402,-0.009341901,0.010504897
HS578T,0.009474203,0.04227127,0.019183643,0.040623017,0.008225062,0.011586401,-0.043273576,-0.00011174774,0.0055822125,0.09757774,0.029851163,0.076663636,0.06387049,0.070163235,0.11924685,0.0773052,0.045203175,0.054976057,0.042856738,0.05128495,0.050966293,0.07285581,0.081610076,0.0816893,0.046428833,0.051432427,0.09593702,0.07994921,0.056210622,0.07059234,0.115004614,0.12993073,0.11736889,0.09910086,0.05042346,0.01855173,0.0017046549,0.021332823,0.01602743,0.0061799344,0.061156027,0.016212214,-0.005940611,-0.009299958,0.035099495,-0.030664792,0.047882427,0.0052952697,0.031589836,0.01583444,-0.017352307,0.008503788
NPC.CAS9,0.019689957,0.06399414,-0.020355692,0.018679308,0.026715973,0.026206253,-0.035479717,-0.002897934,0.061344303,0.084203556,0.052059613,0.04408216,0.059161793,0.092277244,0.08607903,0.061688278,0.0123659605,0.056204785,0.046349403,0.0662537,0.050913244,0.05696332,0.13038558,0.08104942,0.049664173,0.059710756,0.13381986,0.09153332,0.06595529,0.04672879,0.1279623,0.15967591,0.13090354,0.06654061,0.046074167,0.015993657,-0.030187357,-0.014065127,0.012107145,-0.031700574,0.037491105,-0.006772368,-0.014179687,0.0065259077,0.040121943,-0.084242016,0.03437895,0.009477926,0.015385726,-0.00025732536,0.0013375861,0.046842467
