significant_drug	CMAP	LINCS	Cor	occurrence	clinical_phase	moa	target	disease_area	indication
metergoline	0	1	2	3	Launched	dopamine receptor agonist|serotonin receptor antagonist	HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR5A|HTR6|HTR7	neurology/psychiatry|endocrinology	seasonal affective disorder|anxiety|hyperprolactinemia
metoclopramide	0	1	2	3	Launched	dopamine receptor antagonist|serotonin receptor antagonist	CHRM1|DRD2|HTR3A|HTR3B|HTR4	gastroenterology	gastroparesis|nausea|vomiting
metoprolol	0	1	2	3	Launched	adrenergic receptor antagonist	ADRB1|ADRB2	cardiology	hypertension|angina pectoris|myocardial infarction
mifepristone	0	1	2	3	Launched	glucocorticoid receptor antagonist|progesterone receptor antagonist	AR|NR1I2|NR3C1|PGR	endocrinology	hyperglycemia|diabetes mellitus
mitotane	0	1	2	3	Launched	antineoplastic agent	CYP11A1|CYP11B1|ESR1	oncology	adrenal cortical carcinoma
montelukast	0	1	2	3	Launched	leukotriene receptor antagonist	ALOX5|CYSLTR1	pulmonary|allergy	asthma|allergic rhinitis|exercise-induced bronchoconstriction (EIB)
moxonidine	0	1	2	3	Launched	imidazoline receptor agonist	ADRA2A|ADRA2B|ADRA2C	cardiology	hypertension
mycophenolate-mofetil	0	1	2	3	Launched	dehydrogenase inhibitor|inositol monophosphatase inhibitor	IMPDH1|IMPDH2	transplant	organ rejection
mycophenolic-acid	0	1	2	3	Launched	dehydrogenase inhibitor|inositol monophosphatase inhibitor	IMPDH1|IMPDH2	transplant	organ rejection
naftifine	0	1	2	3	Launched	fungal squalene epoxidase inhibitor		infectious disease	tinea pedis|tinea cruris|tinea corporis
naltrexone	0	1	2	3	Launched	opioid receptor antagonist	OPRD1|OPRK1|OPRM1|SIGMAR1	neurology/psychiatry	abstinence from alcohol
naphazoline	0	1	2	3	Launched	adrenergic receptor agonist	ADRA1A|ADRA2A	ophthalmology	eye irritation
naproxen	0	1	2	3	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2	neurology/psychiatry|rheumatology|dental|otolaryngology|endocrinology	pain relief|rheumatoid arthritis|headache|toothache|backache|muscle pain|common cold|fever
nateglinide	0	1	2	3	Launched	insulin secretagogue	ABCC8|KCNJ10|KCNJ11|PPARG	endocrinology	diabetes mellitus
nicardipine	0	1	2	3	Launched	calcium channel blocker	ADORA3	cardiology	chronic stable angina|hypertension
nilotinib	0	1	2	3	Launched	Abl kinase inhibitor|Bcr-Abl kinase inhibitor	ABL1|KIT	hematologic malignancy	chronic myeloid leukemia (CML)
nimesulide	0	1	2	3	Launched	cyclooxygenase inhibitor	LTF|PLA2G2E|PTGS1|PTGS2	rheumatology|obstetrics/gynecology	osteoarthritis|menstrual pain
nimodipine	0	1	2	3	Launched	calcium channel blocker	CFTR|NR3C2	hematology	hemorrhage
nitrendipine	0	1	2	3	Launched	calcium channel blocker	CACNA1D|CACNA2D1|KCNN4	cardiology	hypertension
norgestimate	0	1	2	3	Launched	progesterone receptor agonist	ESR1|PGR	endocrinology	contraceptive
nortriptyline	0	1	2	3	Launched	tricyclic antidepressant	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HTR1A|HTR2A|HTR2C|HTR6|KCNJ10|PGRMC1|SIGMAR1|SLC6A2|SLC6A4	neurology/psychiatry	depression
oxybenzone	0	1	2	3	Launched	lipase inhibitor	LIPE	dermatology	sunscreen lotion
oxybuprocaine	0	1	2	3	Launched	local anesthetic	SCN10A	neurology/psychiatry	local anesthetic
paclitaxel	0	1	2	3	Launched	tubulin polymerization inhibitor	BCL2|MAP2|MAP4|MAPT|NR1I2|TLR4|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	oncology	ovarian cancer|breast cancer|non-small cell lung cancer (NSCLC)
palbociclib	0	1	2	3	Launched	CDK inhibitor	CDK4|CDK6	oncology	breast cancer
pazopanib	0	1	2	3	Launched	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	CSF1R|FGF1|FGFR1|FGFR3|FLT1|FLT4|ITK|KDR|KIT|PDGFRA|PDGFRB|SH2B3	oncology	renal cell carcinoma (RCC)|soft tissue sarcoma (STS)
perhexiline	0	1	2	3	Launched	carnitine palmitoyltransferase inhibitor	CPT1A	cardiology	angina pectoris
phenoxybenzamine	0	1	2	3	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C	cardiology|endocrinology	hypertension|pheochromocytoma
physostigmine	0	1	2	3	Launched	acetylcholinesterase inhibitor|cholinesterase inhibitor	ACHE|BCHE	cardiology|neurology/psychiatry|ophthalmology|gastroenterology	hypotension|Alzheimer's disease|glaucoma|gastroparesis
pimozide	0	1	2	3	Launched	dopamine receptor antagonist	CACNA1I|CALM1|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR2A|KCNA10|KCNH2	neurology/psychiatry	Tourette's disorder
pinacidil	0	1	2	3	Launched	ATP channel activator|potassium channel activator	ABCC8|ABCC9	cardiology	hypertension
pioglitazone	0	1	2	3	Launched	insulin sensitizer|PPAR receptor agonist	PPARG|TRPM3	endocrinology	diabetes mellitus
