,GSM484450,GSM484453,GSM484454,GSM484457,GSM484462,GSM484477,GSM484479,GSM409137,GSM409138,GSM409139,GSM4147990,GSM4147991,GSM4147992,GSM4147993,GSM4147994,GSM4147995,GSM4147996,GSM4147997,GSM4147998,GSM4147999,GSM4148000,GSM4148001,GSM4148002,GSM4148003,GSM1327541,GSM1327542,GSM1327544,GSM1327546,GSM1327549,GSM1327550,GSM435905,GSM435906,GSM435907,GSM435908,GSM484603,GSM484604,GSM484612,GSM484613,GSM484622,GSM484634,GSM484644,GSM484647,GSM484369,GSM484370,GSM484371,GSM484372,GSM484373,GSM484374,GSM484375,GSM484377,GSM484378,GSM484379
MCF10A,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012592997,0.0,-0.0,0.0,0.0,0.0,0.0,0.022684716,0.0,-0.0,0.0,-0.0,-0.019910393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
HUES3,0.0,-0.0,-0.017793233,0.0,0.0,-0.0,-0.0,0.06003297,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.061436795,0.0,0.0,0.0,-0.07747692,-0.006397717,-0.006551342,0.0,-0.0,0.0,0.0,0.019967139,-0.0,0.0,-0.0,-0.025491156,0.0,-0.116199106,-0.0,-0.02747856,-0.0,-0.04658682,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
MDAMB231,-0.0,0.0,-0.0,-0.0,-0.00119863,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.02609992,0.0,0.0,0.0,0.0,0.01336132,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.002495291,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.035509333,0.0,0.0024475062,0.0,-0.0,-0.0037751363,-0.0,-0.0,-0.0,0.0,-0.0,-0.0343513,-0.01020042
ASC,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024688927,0.0,0.0,-0.018053098,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
NEU,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.07926761,-0.0,-0.0,-0.0,-0.055255853,-0.023165178,-0.0,-0.01424594,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.016577996,0.0,-0.0,-0.03300935,-0.015817368,-0.048273966,-0.12596439,0.0,0.022536492,0.0,0.0,0.01853923,0.049833238,0.0,0.0,-0.0,0.0,0.019587658,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
HUVEC,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.13831165,0.08372261,0.0054010884,0.0007332322,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.07532777,0.024414808,0.0,0.0,0.0034671528,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
NPC,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.026272958,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.026013695,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0009324348,0.0,-0.0,-0.04511899,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
ASC.C,-0.0,0.0,-0.0,-0.0,0.0,-0.011118358,-0.0,-0.013891331,0.0,0.0,0.0,0.045328617,0.0,0.0,0.051338386,0.0,0.0,0.0731584,0.0,-0.0,0.01527071,0.0,0.0,0.0,0.059084855,0.0,-0.0,0.0,0.033515766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
A375,-0.0,0.0,0.0,0.0,0.0015638052,-0.0,0.020962132,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0071484824,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
JURKAT,0.056909677,0.069000676,0.007903927,0.0,0.0125537,0.039411906,0.028818859,-0.07950614,0.11496873,0.045445375,0.063286185,0.08758594,0.070161,0.12595084,0.05639217,0.07947392,0.0,0.034410615,0.14029282,0.08732569,0.0123630045,0.02248248,0.06766553,0.08416805,0.15357578,0.1272066,0.08753993,0.12170377,0.16137055,0.07375461,0.11004455,0.13258038,0.15386231,0.13439877,0.0,0.0067236256,0.03730047,-0.0,0.0273631,0.0,-0.0020682854,0.0,0.013100998,0.03106285,0.0,0.0,0.056998502,0.025982626,0.0,0.0,-0.0,0.0
PC3,-0.0,0.032944947,0.0,0.019028282,0.036177944,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.015309808,-0.05035265,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0042200764,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.018302774,0.0,0.0,-0.0,0.0
HELA,-0.050325833,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.025706371,-0.0543157,-0.0072456645,-0.0,-0.0,-0.0,-0.012376035,-0.0,-0.03327135,-0.0,-0.0,-0.05863079,-0.0,-0.09047495,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.024166463,-0.0006398571,-0.0,-0.030506702,0.0,0.0,-0.0,0.0,-0.0,-0.01686921,-0.0,0.0,-0.0
SKL,0.04096238,0.0,0.059448376,0.0,0.0,0.012711154,0.0,0.0,0.02834468,0.01809568,0.0,0.035391703,0.0,0.0,0.049578413,0.025566682,0.0,0.0,0.045755167,0.0,0.0,0.0,0.019201003,0.004654434,0.0,0.0,0.03848999,0.03661836,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00084790087,0.014849323,0.0,-0.0,0.0,0.0,0.0,0.0,0.08470822,0.0,0.0,0.0
LNCAP,-0.0,-0.045134887,-0.0,-0.03220064,-0.04552454,-0.0053491667,-0.048167612,0.0,-0.0,-0.0,0.0,0.026840532,0.0,0.012116874,-0.0,0.06927154,-0.0,0.0,0.032769658,0.003971107,0.0,0.03980366,0.027728593,0.0,-0.0,-0.0,-0.009764915,-0.0,0.0,0.0,-0.0,0.0,0.037102092,0.017128346,-0.0,0.0,-0.030458672,-0.019577391,-0.048379194,-0.0,-0.0,-0.0,-0.0,-0.05142777,0.0,-0.0,-0.062339205,-0.07393664,-0.03458694,-0.035411295,-0.0,-0.026847154
SKL.C,0.028720625,0.03071273,0.0,0.0,0.0,0.0,0.010102752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.033387482,0.04843358,0.0,0.0,0.05069014,0.008354702,0.0,0.0,0.0,0.0,0.0,0.066688515,0.0,0.0,0.0,0.0,0.0
HA1E,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.049638513,-0.031217525,-0.0010967113,-0.09213998,-0.053008582,-0.0018383476,-0.01877856,-0.0,-0.06905029,-0.115313336,-0.0,-0.0,-0.0,-0.0,-0.0,-0.050503023,-0.05778955,-0.12710416,-0.05398393,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.008624921,0.0,-0.0,0.0,0.0,0.0
HME1,-0.0,-0.0,-0.06638037,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.007987744,0.0,0.0,0.0,0.0,0.0013564933,0.054299194,0.06405492,0.010891537,0.033107433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017554684,0.033793103,0.035158455,0.025903061,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.027748777,0.0,-0.0
BT20,-0.0,0.0,0.0032665003,-0.0,-0.0,0.0,0.0,0.0,-0.0684895,-0.0,0.0,0.0,-0.04843242,0.0,0.0,-0.0,0.002802528,-0.00043452944,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.029615706,-0.017542021,0.0,0.0,0.0,-0.016092999,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.038439233,0.0,0.0,0.014047242,0.0,0.0,-0.0,0.0063992487,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
HS578T,-0.0020365308,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.055407055,0.0,-0.01635028,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.05957937,-0.0,-0.0,0.0,-0.0,-0.002808827,0.0,-0.0,-0.0,-0.0,-0.005832271,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.02437983,0.0038773927,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
NPC.CAS9,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.03350291,-0.0,-0.0,-0.05987349,0.0,0.0,0.0,0.0,-0.0,-0.100792535,-0.0,0.0,-0.0,-0.0,0.0,0.0
