,GSM484450,GSM484453,GSM484454,GSM484457,GSM484462,GSM484477,GSM484479,GSM409137,GSM409138,GSM409139,GSM4147990,GSM4147991,GSM4147992,GSM4147993,GSM4147994,GSM4147995,GSM4147996,GSM4147997,GSM4147998,GSM4147999,GSM4148000,GSM4148001,GSM4148002,GSM4148003,GSM1327541,GSM1327542,GSM1327544,GSM1327546,GSM1327549,GSM1327550,GSM435905,GSM435906,GSM435907,GSM435908,GSM484603,GSM484604,GSM484612,GSM484613,GSM484622,GSM484634,GSM484644,GSM484647,GSM484369,GSM484370,GSM484371,GSM484372,GSM484373,GSM484374,GSM484375,GSM484377,GSM484378,GSM484379
MDAMB231,0.1063537,0.15504563,0.08976834,0.110925786,0.13639112,0.18205866,0.09822579,0.08547772,0.105824,0.14230333,0.1266109,0.10626523,0.13260403,0.10199216,0.12986295,0.09176514,0.09867036,0.098646484,0.10706875,0.1023256,0.09597983,0.1438098,0.117986515,0.09598452,0.103700414,0.1170062,0.1335839,0.110393435,0.09284937,0.13797842,0.11524177,0.11761961,0.10710439,0.09985798,0.10306338,0.105547465,0.112337716,0.09805116,0.10482422,0.09461765,0.13757798,0.13508333,0.09085032,0.12578785,0.10049233,0.07622297,0.17594078,0.089348085,0.111976765,0.084665164,0.08092518,0.090866536
ASC,0.11573161,0.13497218,0.11367468,0.10832034,0.13721561,0.12652266,0.07797088,0.070489444,0.12189563,0.12354021,0.14530547,0.11393641,0.1225113,0.105585426,0.14409438,0.09851483,0.11445978,0.10570685,0.096034184,0.096325904,0.08379705,0.104918085,0.1225599,0.10566776,0.10754794,0.12793216,0.11694812,0.11620219,0.10907707,0.12137554,0.12032488,0.12118755,0.106241964,0.09310907,0.09487387,0.101594985,0.09392895,0.101387955,0.09505939,0.089317374,0.1271314,0.113965444,0.07725501,0.13654548,0.11966523,0.0611628,0.11980624,0.074969605,0.10619926,0.08546085,0.09149981,0.09632304
NEU,0.10403449,0.15792634,0.1459059,0.11923533,0.13724682,0.1447826,0.0774082,0.08956576,0.09584785,0.11666344,0.12965544,0.09558424,0.102868214,0.10917355,0.11174073,0.0858252,0.07117841,0.11066022,0.10730035,0.11157544,0.1072267,0.110818796,0.11159288,0.12775326,0.09909114,0.106304444,0.16862962,0.11202552,0.12744898,0.1275445,0.10716167,0.13072303,0.09883592,0.103185184,0.122857586,0.11632605,0.10420899,0.1178214,0.13579127,0.10949842,0.13358349,0.10728821,0.07165145,0.1211239,0.12713705,0.07973364,0.12642895,0.08968205,0.09582773,0.08678892,0.10313863,0.13475755
HUVEC,0.101575084,0.14992316,0.12999314,0.11189295,0.1456249,0.14796488,0.09135465,0.07621009,0.0877969,0.11598959,0.1493023,0.11235249,0.116841085,0.120610245,0.13993873,0.094904736,0.08943316,0.1137149,0.11576495,0.09459578,0.11054837,0.109784834,0.11618495,0.102854654,0.09522169,0.11720138,0.16323471,0.13011545,0.10680976,0.1216625,0.11726747,0.10287046,0.09164362,0.06933096,0.1031805,0.08677247,0.0992631,0.12637314,0.10424482,0.09013014,0.12947695,0.13036156,0.08804409,0.13445655,0.09370279,0.07355429,0.1694496,0.090296395,0.11896456,0.09067998,0.07475855,0.104448885
NPC,0.10542138,0.14942205,0.11558124,0.12547232,0.13904792,0.15839966,0.08966087,0.08609063,0.101321936,0.12586628,0.13579609,0.10193294,0.12977214,0.119728014,0.1380851,0.10657041,0.07120448,0.09732504,0.11648904,0.09989519,0.12076705,0.10082931,0.1226506,0.10288399,0.09373991,0.12010834,0.14807728,0.103506826,0.10144199,0.11919043,0.12639302,0.11465233,0.09798527,0.10002077,0.11651781,0.11470523,0.109214395,0.11356053,0.11612228,0.08686418,0.14459682,0.12787722,0.073949836,0.12846534,0.100895524,0.07257704,0.16492333,0.092331536,0.100161545,0.1026935,0.1147497,0.10876425
ASC.C,0.11630349,0.14410979,0.11112471,0.11286065,0.14119439,0.12415702,0.082246006,0.07458391,0.12631048,0.12185655,0.1564713,0.11836964,0.12371987,0.10480195,0.13915356,0.08843569,0.11913268,0.109358944,0.107596606,0.09273411,0.08667667,0.10145914,0.13053048,0.101943605,0.094493285,0.12645228,0.11278764,0.12195173,0.10702557,0.120955,0.1147582,0.121136375,0.10574645,0.08702493,0.11446633,0.09930583,0.10044836,0.10329239,0.09034315,0.0811193,0.12169794,0.11797492,0.083360456,0.13218343,0.10874053,0.0721668,0.11835428,0.07745661,0.104126,0.08240094,0.093188815,0.096037455
A375,0.1142084,0.1426434,0.09530401,0.1231849,0.16454732,0.16837029,0.10334551,0.08135173,0.09881414,0.14240333,0.12433547,0.09390062,0.13229603,0.13939705,0.12222836,0.10395391,0.08902895,0.090100825,0.1203356,0.09518723,0.113764726,0.123378344,0.12311526,0.11856816,0.10432191,0.12243406,0.15570305,0.1053809,0.11103101,0.13528953,0.12187748,0.09915235,0.108811975,0.08581202,0.11183127,0.0901466,0.10500201,0.09980317,0.097048394,0.092769384,0.15961362,0.13651466,0.06886999,0.15426506,0.10702301,0.076336555,0.1695316,0.085036166,0.09786036,0.10150128,0.08841095,0.11642433
JURKAT,0.13025722,0.14191699,0.091360785,0.11738039,0.12139222,0.17661235,0.09147777,0.06534892,0.09807038,0.12344268,0.13682279,0.10063618,0.12830065,0.13619861,0.13257982,0.1204947,0.091995336,0.08688115,0.1306211,0.13131031,0.118337646,0.091865346,0.10946191,0.11289776,0.12048852,0.1314615,0.14476345,0.1387926,0.12198694,0.11551061,0.12566808,0.12196998,0.11213415,0.121369496,0.1388082,0.10449944,0.11317886,0.09769921,0.10515094,0.10692717,0.15315162,0.12332545,0.08915161,0.14292553,0.09889007,0.07867359,0.1721173,0.09199926,0.1081972,0.09859018,0.10213849,0.09670227
PC3,0.121174835,0.14888531,0.093652785,0.1436996,0.15436836,0.18040352,0.08947464,0.07820022,0.08569831,0.12818034,0.13413334,0.099897616,0.12392104,0.13333999,0.12921154,0.08917346,0.10351916,0.09470608,0.10890538,0.10996971,0.09193777,0.11438188,0.12298577,0.120531134,0.1173279,0.10875226,0.13177639,0.09817535,0.09701519,0.12959722,0.13601226,0.11903427,0.10620622,0.08326082,0.09933473,0.10379664,0.115248166,0.09410132,0.09298966,0.10150579,0.13047655,0.11872575,0.077441305,0.13292874,0.0984124,0.071318656,0.13090946,0.10164546,0.10759808,0.0907215,0.102649815,0.11110255
HELA,0.123532094,0.13233328,0.105428606,0.11131086,0.14505316,0.16482782,0.09881033,0.081384376,0.111650065,0.11109601,0.12942442,0.09687571,0.12430636,0.11902802,0.11713186,0.094740614,0.086069025,0.09568617,0.10259432,0.08980575,0.10637751,0.106749356,0.11087953,0.10880822,0.1004514,0.12000984,0.14472046,0.108081326,0.09779379,0.1452538,0.118184485,0.12163909,0.11737694,0.104459226,0.092219144,0.09119891,0.09728836,0.12716506,0.10043829,0.09680974,0.13118179,0.1345737,0.06725593,0.14915656,0.098772846,0.06887152,0.16692096,0.06818993,0.11106166,0.08853849,0.09274094,0.11835235
SKL,0.10856471,0.14556713,0.124563724,0.12032466,0.15271047,0.14318158,0.091769874,0.07330625,0.11866587,0.11383969,0.1488806,0.12463869,0.09650818,0.1102303,0.13995078,0.09020785,0.09900075,0.10792142,0.12013914,0.10186437,0.10521304,0.10836114,0.1286815,0.111104056,0.08980538,0.11639978,0.13538174,0.12232802,0.10581251,0.119624175,0.11670664,0.13150951,0.107602954,0.08293702,0.12919106,0.09102546,0.10916589,0.11060529,0.092965126,0.09893731,0.1292658,0.12604661,0.07402072,0.13357428,0.11991896,0.070768714,0.153202,0.08558974,0.12839381,0.09771738,0.10620875,0.09288706
LNCAP,0.122335866,0.13674152,0.09626389,0.14244257,0.14373767,0.17193967,0.10256016,0.09772757,0.081007324,0.11152042,0.13365899,0.10813762,0.118813254,0.10336164,0.124026775,0.13505681,0.093266346,0.101803765,0.10914416,0.111066006,0.13954596,0.14248358,0.12064921,0.09201619,0.11008588,0.12858321,0.13248071,0.101643845,0.11200743,0.14546683,0.10920636,0.12084109,0.11260946,0.100003846,0.12263382,0.107465,0.10235938,0.08742739,0.10267447,0.093375064,0.1557846,0.124971144,0.0809545,0.12254664,0.10785151,0.08163901,0.13628536,0.08875932,0.095704384,0.08341321,0.09707689,0.095452435
SKL.C,0.103055626,0.14425391,0.12777254,0.12245655,0.15066524,0.13757406,0.09199003,0.074192904,0.1113743,0.110836454,0.14604829,0.12672874,0.09782489,0.107006356,0.13747208,0.090119086,0.09101445,0.11197194,0.11806147,0.097430564,0.10548958,0.1065965,0.13096182,0.11210398,0.08904611,0.11451827,0.14334296,0.12265416,0.10808985,0.124601714,0.10853565,0.12382132,0.107517876,0.08051502,0.12741752,0.09354715,0.11498027,0.109285004,0.09467106,0.10071357,0.12923166,0.13010226,0.072808065,0.13027969,0.11894251,0.071067914,0.14782652,0.08546499,0.12285987,0.10262868,0.10575046,0.09583813
HA1E,0.11332972,0.14153582,0.10601978,0.1191522,0.13809854,0.16429809,0.09253491,0.07133939,0.08875172,0.13137577,0.13494964,0.1038513,0.11850173,0.11904576,0.105437875,0.09133054,0.10518466,0.11042732,0.11236965,0.08840514,0.106515706,0.11333518,0.10929997,0.12176014,0.09048769,0.110724755,0.13256149,0.09954353,0.100117505,0.121276714,0.1407485,0.11287225,0.08970621,0.083927274,0.10440925,0.08686689,0.100935735,0.12466927,0.097057104,0.102347806,0.13119572,0.12057939,0.067370005,0.14483964,0.09206208,0.07928039,0.19898957,0.08345865,0.104276106,0.094754614,0.09798273,0.12241642
HME1,0.10875405,0.13912104,0.08005999,0.10674321,0.14132902,0.15113287,0.097503684,0.07962092,0.088400066,0.115219325,0.1599604,0.113508545,0.11934131,0.124674864,0.13133064,0.09556296,0.09470603,0.11508712,0.115573026,0.10349208,0.116892315,0.12038394,0.111962914,0.1168541,0.10758082,0.118053354,0.13432018,0.11747308,0.0987914,0.12162004,0.13357154,0.11643383,0.091078036,0.09443988,0.112120874,0.08772245,0.10341599,0.10813656,0.10935192,0.093360364,0.12774381,0.124701284,0.08333228,0.13764787,0.0934843,0.07405211,0.18391667,0.09110642,0.11016995,0.09378663,0.087680094,0.09983852
BT20,0.118040234,0.1488079,0.11745685,0.10903415,0.15132813,0.1626849,0.09787425,0.0941929,0.103322774,0.11966954,0.14893171,0.10262218,0.11816996,0.104564555,0.12996955,0.113646545,0.10601893,0.09886124,0.103489384,0.090506755,0.10383639,0.13114825,0.10177365,0.105778635,0.102297574,0.1064091,0.120141394,0.094488144,0.10072724,0.12837419,0.11409911,0.12283123,0.119878024,0.09720643,0.11293139,0.097024664,0.109388396,0.11241959,0.09703122,0.103845045,0.1430509,0.120944336,0.08909434,0.14236398,0.111819506,0.0814562,0.16079327,0.08582643,0.10368635,0.094739005,0.075720355,0.097757764
HS578T,0.10896024,0.14038414,0.1331924,0.11887641,0.14676796,0.14839904,0.103201054,0.07915432,0.08587755,0.11741656,0.12090183,0.12671821,0.117224656,0.1093282,0.12622933,0.09066938,0.08733713,0.091739744,0.10827276,0.10283345,0.09127882,0.10741832,0.09968424,0.10189945,0.10764033,0.11073109,0.13157238,0.09535449,0.08741774,0.12521975,0.12030653,0.1189177,0.1033377,0.09124069,0.11395576,0.10068869,0.10896372,0.10960171,0.10287101,0.10504334,0.13785623,0.1282877,0.087182455,0.12862387,0.11272689,0.082859986,0.16449809,0.089688696,0.11009472,0.08936698,0.10942519,0.08905541
NPC.CAS9,0.111011304,0.14808011,0.111315906,0.13387915,0.13985778,0.15884465,0.08803057,0.08653808,0.099365145,0.13045967,0.13363327,0.10143391,0.1346653,0.120919645,0.14158452,0.10764029,0.07129232,0.09724308,0.11758898,0.09671667,0.11868704,0.09920194,0.12596698,0.101798594,0.095575556,0.12673892,0.1536165,0.103720315,0.102385275,0.11870063,0.12755103,0.11368285,0.09757895,0.10258823,0.11849284,0.121434964,0.10742498,0.1140274,0.11423368,0.08642496,0.13971062,0.1281181,0.0751977,0.12429157,0.1049199,0.07645809,0.16521576,0.09366442,0.10267635,0.09899541,0.114557855,0.11135052
