drug_name	drug_gene	type
ramipril	ITGAE	LINCS
panobinostat	ITGB5	LINCS
fostamatinib	JUN	LINCS
chenodeoxycholic-acid	KIF5C	LINCS
thalidomide	KIF5C	LINCS
rifabutin	KIT	LINCS
phenazopyridine	KIT	LINCS
piperidolate	KIT	LINCS
tubocurarine	KIT	LINCS
simvastatin	RHOA	LINCS
rosuvastatin	RHOA	LINCS
fluvastatin	RHOA	LINCS
atorvastatin	RHOA	LINCS
benazepril	DIPK1A	LINCS
acetyl-farnesyl-cysteine	DIPK1A	LINCS
benazepril	ACAT2	LINCS
acetyl-farnesyl-cysteine	ACAT2	LINCS
noscapine	ACAT2	LINCS
quercetin	LAMA3	LINCS
sirolimus	LGALS8	LINCS
curcumin	LIG1	LINCS
ketorolac	ME2	LINCS
varenicline	ME2	LINCS
thiocolchicoside	MIF	LINCS
montelukast	FOXO4	LINCS
vorinostat	FOXO4	LINCS
amlodipine	FOXO4	LINCS
fostamatinib	FOXO4	LINCS
noscapine	MUC1	LINCS
fludroxycortide	MUC1	LINCS
hydrocortisone	MUC1	LINCS
rimexolone	MUC1	LINCS
dexamethasone	MUC1	LINCS
felodipine	NFKB2	LINCS
varenicline	NFKB2	LINCS
fludroxycortide	NFKBIA	LINCS
betamethasone	NFKBIA	LINCS
triamcinolone	NFKBIA	LINCS
homoharringtonine	NFKBIB	LINCS
paclitaxel	ATP1B1	LINCS
procainamide	CNOT4	LINCS
sirolimus	PNP	LINCS
niclosamide	NPC1	LINCS
amodiaquine	SLC11A2	LINCS
timolol	NVL	LINCS
verapamil	NVL	LINCS
valsartan	NVL	LINCS
rilmenidine	NVL	LINCS
felodipine	NVL	LINCS
nimodipine	OXA1L	LINCS
minoxidil	OXA1L	LINCS
ethotoin	PAK1	LINCS
levocabastine	PAK1	LINCS
terguride	PAK1	LINCS
irbesartan	COPS7A	LINCS
vorinostat	PCBD1	LINCS
pinacidil	MTERF3	LINCS
carbinoxamine	MTERF3	LINCS
meptazinol	MTERF3	LINCS
ramipril	AMDHD2	LINCS
coumarin	GOLT1B	LINCS
diethylcarbamazine	LAP3	LINCS
econazole	PCNA	LINCS
simvastatin	PCNA	LINCS
chlorpromazine	PCNA	LINCS
atorvastatin	PCNA	LINCS
oxibendazole	PCNA	LINCS
paclitaxel	PCNA	LINCS
nilotinib	PCNA	LINCS
sirolimus	PCNA	LINCS
niclosamide	PCNA	LINCS
fluvastatin	PCNA	LINCS
sunitinib	PCNA	LINCS
coumarin	MRPS2	LINCS
medetomidine	HSD17B11	LINCS
ranolazine	ATP6V1D	LINCS
cilastatin	ATP6V1D	LINCS
mometasone	ATP6V1D	LINCS
naltrexone	ATP6V1D	LINCS
quinine	ATP6V1D	LINCS
chloroquine	ATP6V1D	LINCS
dydrogesterone	ATP6V1D	LINCS
quercetin	ATP6V1D	LINCS
betamethasone	PRKAG2	LINCS
dexamethasone	PRKAG2	LINCS
cilostazol	DHRS7	LINCS
rutin	DHRS7	LINCS
mometasone	PIN1	LINCS
irinotecan	PLK1	LINCS
etoposide	PLK1	LINCS
topotecan	PMAIP1	LINCS
pyrvinium-pamoate	PMAIP1	LINCS
cilastatin	PMM2	LINCS
dicycloverine	PMM2	LINCS
felodipine	PMM2	LINCS
terguride	PMM2	LINCS
naltrexone	CYCS	LINCS
lovastatin	CYCS	LINCS
medetomidine	CYCS	LINCS
piperidolate	POLE2	LINCS
salmeterol	POLR2I	LINCS
carbinoxamine	POLR2I	LINCS
phenazopyridine	POLR2I	LINCS
noscapine	POLR2I	LINCS
benazepril	KCTD5	LINCS
cilastatin	KCTD5	LINCS
lovastatin	DDIT4	LINCS
triamcinolone	DDIT4	LINCS
mometasone	DDIT4	LINCS
minoxidil	HERC6	LINCS
medetomidine	PPP2R3C	LINCS
dextromethorphan	FKBP14	LINCS
benzthiazide	FKBP14	LINCS
resveratrol	UBR7	LINCS
meclofenamic-acid	FAIM	LINCS
ranolazine	ADI1	LINCS
rilmenidine	PPP2R5E	LINCS
temozolomide	PPP2R5E	LINCS
thiocolchicoside	PPP2R5E	LINCS
phenazopyridine	STAP2	LINCS
chlorpromazine	IARS2	LINCS
mosapride	MINDY1	LINCS
mitotane	MINDY1	LINCS
lapatinib	MINDY1	LINCS
thalidomide	KDM3A	LINCS
ramipril	KDM3A	LINCS
montelukast	PRKCH	LINCS
carbinoxamine	EAPP	LINCS
chenodeoxycholic-acid	ZNF395	LINCS
acetyl-farnesyl-cysteine	NPDC1	LINCS
phenazopyridine	TM9SF3	LINCS
lapatinib	PAK6	LINCS
rilmenidine	PSMB8	LINCS
ramipril	COQ8A	LINCS
cilastatin	COQ8A	LINCS
dicycloverine	COQ8A	LINCS
acetyl-farnesyl-cysteine	MCOLN1	LINCS
tubocurarine	MCOLN1	LINCS
ropinirole	MCOLN1	LINCS
verapamil	MCOLN1	LINCS
dicycloverine	MCOLN1	LINCS
montelukast	MCOLN1	LINCS
valproic-acid	BAD	LINCS
mosapride	THAP11	LINCS
bucladesine	PTGS2	LINCS
forskolin	PTGS2	LINCS
ziprasidone	PTK2	LINCS
ropinirole	TRIB3	LINCS
irbesartan	TRIB3	LINCS
thiocolchicoside	PTPN6	LINCS
amodiaquine	PTPN6	LINCS
sirolimus	POLD4	LINCS
coumarin	PTPRK	LINCS
lapatinib	PTPRK	LINCS
levocabastine	PXN	LINCS
valproic-acid	SQOR	LINCS
dipyridamole	ENOPH1	LINCS
ziprasidone	RAC2	LINCS
sunitinib	RAC2	LINCS
dipyridamole	RAC2	LINCS
quinapril	RAC2	LINCS
hydrocortisone	RAP1GAP	LINCS
fludroxycortide	RAP1GAP	LINCS
dexamethasone	RAP1GAP	LINCS
meptazinol	RASA1	LINCS
irinotecan	RELB	LINCS
niclosamide	RELB	LINCS
homoharringtonine	RELB	LINCS
menadione	RELB	LINCS
fenbendazole	RELB	LINCS
medetomidine	RGS2	LINCS
forskolin	RGS2	LINCS
mycophenolic-acid	MRPL12	LINCS
benzthiazide	S100A4	LINCS
irbesartan	S100A13	LINCS
nimodipine	SATB1	LINCS
benzthiazide	SATB1	LINCS
timolol	SATB1	LINCS
rilmenidine	SATB1	LINCS
verapamil	SATB1	LINCS
irbesartan	SCP2	LINCS
curcumin	ABHD4	LINCS
meptazinol	RBKS	LINCS
ziprasidone	ZDHHC6	LINCS
valproic-acid	SGCB	LINCS
rizatriptan	SHB	LINCS
chloroquine	SHB	LINCS
benzthiazide	NT5DC2	LINCS
meptazinol	NT5DC2	LINCS
procainamide	NT5DC2	LINCS
azaperone	SLC1A4	LINCS
nimodipine	SLC1A4	LINCS
rimexolone	SMARCD2	LINCS
rifabutin	SNAP25	LINCS
menadione	BNIP3	LINCS
phenazopyridine	BNIP3	LINCS
menadione	BNIP3L	LINCS
bendroflumethiazide	SPAG4	LINCS
cilostazol	SPR	LINCS
ziprasidone	BPHL	LINCS
oxibendazole	AURKA	LINCS
mebendazole	AURKA	LINCS
paclitaxel	AURKA	LINCS
fenbendazole	AURKA	LINCS
rutin	STK10	LINCS
ranolazine	STK10	LINCS
meclofenamic-acid	STXBP2	LINCS
terguride	SUPV3L1	LINCS
dopamine	SUV39H1	LINCS
benazepril	SUV39H1	LINCS
trazodone	SUV39H1	LINCS
propafenone	TBX2	LINCS
rutin	TBX2	LINCS
benazepril	TCEA2	LINCS
procainamide	TGFBR2	LINCS
ethotoin	TGFBR2	LINCS
ketorolac	TGFBR2	LINCS
chloroquine	TGFBR2	LINCS
naltrexone	TGFBR2	LINCS
minoxidil	TGFBR2	LINCS
noscapine	TGFBR2	LINCS
chloroquine	TIAM1	LINCS
nimodipine	TIAM1	LINCS
metergoline	TLE1	LINCS
mosapride	TLE1	LINCS
ziprasidone	TLR4	LINCS
