Source	Target	Path
PARP1	TIMM9	PARP1,UBC,XIAP,HTRA2,TIMM9
PARP1	TNFRSF21	PARP1,UBC,TRAF2,TRADD,TNFRSF21
PARP1	SESN1	PARP1,UBC,SESN1
PARP1	GNA11	PARP1,UBC,GNA11
PARP1	GNAS	PARP1,UBC,GNAS
PARP1	GRB7	PARP1,UBC,ERBB2,GRB7
PARP1	GRB10	PARP1,UBC,IRS1,INSR,GRB10
PARP1	CHMP4A	PARP1,UBC,PDCD6IP,CHMP4A
PARP1	GTPBP8	PARP1,UBC,CUL1,FBXW11,CLPX,GTPBP8
PARP1	CXCL2	PARP1,UBC,RELA,IL8,CXCR2,CXCL2
PARP1	HLA-DMA	PARP1,UBC,CD74,HLA-DMA
PARP1	HMGCR	PARP1,UBC,HMGCR
PARP1	HMGCS1	PARP1,UBC,HMGCS1
PARP1	HMOX1	PARP1,UBC,HMOX1
PARP1	HSPA8	PARP1,UBC,HSPA8
PARP1	BIRC5	PARP1,UBC,AURKB,BIRC5
PARP1	HSPD1	PARP1,UBC,HSPD1
PARP1	IGFBP3	PARP1,UBC,GGA3,IGF2R,IGF2,IGFBP3
PARP1	APP	PARP1,UBC,APP
PARP1	INPP1	PARP1,UBC,RPS3,RPL27A,RPL5,MRTO4,WDR12,INPP1
PARP1	INSIG1	PARP1,UBC,HMGCR,INSIG1
PARP1	ITGAE	PARP1,UBC,CDH1,ITGAE
PARP1	ITGB5	PARP1,UBC,ITGA5,ITGB1,ITGA7,ITGB5
PARP1	KIF5C	PARP1,UBC,APP,KIF5C
PARP1	KIT	PARP1,UBC,CBL,GRB2,KIT
PARP1	RHOA	PARP1,UBC,RHOA
PARP1	ACAT2	PARP1,UBC,HADHA,ACAT2
PARP1	LAMA3	PARP1,UBC,TUBG1,LAMA3
PARP1	LGALS8	PARP1,UBC,CALCOCO2,LGALS8
PARP1	FOXO4	PARP1,UBC,FOXO4
PARP1	MUC1	PARP1,UBC,CTNNB1,MUC1
PARP1	NFKB2	PARP1,UBC,NFKB2
PARP1	NFKBIA	PARP1,UBC,NFKBIA
PARP1	PNP	PARP1,UBC,PNP
PARP1	NPC1	PARP1,UBC,NPC1
PARP1	SLC11A2	PARP1,UBC,SLC11A2
PARP1	NVL	PARP1,UBC,RPS3,RPL27A,RPL5,MRTO4,MKI67IP,NOP2,NVL
PARP1	OXA1L	PARP1,UBC,ATP5A1,ATP5B,ATP5O,UQCRC2,UQCRC1,UQCRFS1,COX5B,MT-CO2,OXA1L
PARP1	PAK1	PARP1,UBC,RAC1,PAK1
PARP1	COPS7A	PARP1,UBC,CUL1,COPS5,COPS7A
PARP1	PCBD1	PARP1,UBC,CTNNB1,HNF1A,PCBD1
PARP1	GOLT1B	PARP1,UBC,GOLT1B
PARP1	PCNA	PARP1,UBC,PCNA
PARP1	ATP6V1D	PARP1,UBC,ATP6V1H,ATP6V1D
PARP1	DHRS7	PARP1,UBC,DHRS7
PARP1	PLK1	PARP1,UBC,CHEK1,CDC25C,PLK1
PARP1	PMAIP1	PARP1,UBC,MCL1,PMAIP1
PARP1	PMM2	PARP1,UBC,PMM2
PARP1	CYCS	PARP1,UBC,ATP5A1,ATP5B,ATP5O,UQCRC2,UQCRC1,UQCRFS1,CYC1,CYCS
PARP1	POLE2	PARP1,UBC,PCNA,POLE,POLE2
PARP1	POLR2I	PARP1,UBC,POLR2A,POLR2I
PARP1	KCTD5	PARP1,UBC,KCTD5
PARP1	DDIT4	PARP1,UBC,DDIT4
PARP1	HERC6	PARP1,UBC,UBQLN2,HERC6
PARP1	PPP2R3C	PARP1,UBC,PPP2R3C
PARP1	FKBP14	PARP1,UBC,ESR1,EP300,HIST1H4A,FKBP14
PARP1	FAIM	PARP1,UBC,XIAP,FAIM
PARP1	PPP2R5E	PARP1,UBC,PPP2R1A,PPP2R5E
PARP1	STAP2	PARP1,UBC,CBL,STAP2
PARP1	KDM3A	PARP1,UBC,TCEAL4,TCEAL1,KDM3A
PARP1	PRKCH	PARP1,UBC,PRKCH
PARP1	EAPP	PARP1,UBC,EAPP
PARP1	ZNF395	PARP1,UBC,HDAC1,ZNF395
PARP1	PSMB8	PARP1,UBC,PSMA4,PSMB2,PSMB8
PARP1	MCOLN1	PARP1,UBC,CCNE1,FBXW7,MCOLN1
PARP1	BAD	PARP1,UBC,AKT1,BAD
PARP1	PTK2	PARP1,UBC,ESR1,SRC,PTK2
PARP1	TRIB3	PARP1,UBC,ATF4,TRIB3
PARP1	PTPN6	PARP1,UBC,EGFR,PTPN6
PARP1	POLD4	PARP1,UBC,POLD4
PARP1	PXN	PARP1,UBC,ESR1,SRC,PTK2,PXN
PARP1	RAC2	PARP1,UBC,RHOA,ARHGDIA,RAC2
PARP1	RAP1GAP	PARP1,UBC,RAP1B,RAP1GAP
PARP1	RELB	PARP1,UBC,NFKB2,RELB
PARP1	RGS2	PARP1,UBC,GNB1,GNAI3,RGS2
PARP1	MRPL12	PARP1,UBC,RPS3,RPL27A,RPL15,RPLP0,MRPL12
PARP1	SATB1	PARP1,UBC,HDAC1,SATB1
PARP1	SCP2	PARP1,UBC,OPTN,RAB8A,SCP2
PARP1	ABHD4	PARP1,UBC,ABHD4
PARP1	RBKS	PARP1,UBC,AHCY,RBKS
PARP1	SGCB	PARP1,UBC,SGCB
PARP1	SHB	PARP1,UBC,CBL,GRB2,SHB
PARP1	NT5DC2	PARP1,UBC,NT5DC2
PARP1	SLC1A4	PARP1,UBC,SLC1A4
PARP1	SMARCD2	PARP1,UBC,CCNE1,RB1,SMARCA4,SMARCD2
PARP1	SNAP25	PARP1,UBC,VAMP2,SNAP25
PARP1	BNIP3	PARP1,UBC,AKT1,BAD,BCL2,BNIP3
PARP1	BNIP3L	PARP1,UBC,AKT1,BAD,BCL2,BNIP3,BNIP3L
PARP1	SPAG4	PARP1,UBC,BRCA1,ACACA,SPAG4
PARP1	SPR	PARP1,UBC,POLR2A,INTS6,NABP2,SUGP1,SPR
PARP1	BPHL	PARP1,UBC,BPHL
PARP1	AURKA	PARP1,UBC,AURKA
PARP1	STK10	PARP1,UBC,STK10
PARP1	STXBP2	PARP1,UBC,VAMP2,STX4,ANXA3,STXBP2
PARP1	SUPV3L1	PARP1,UBC,SUPV3L1
PARP1	SUV39H1	PARP1,UBC,TRIM28,CBX5,SUV39H1
PARP1	TBX2	PARP1,UBC,PML,SUMO1,TBX2
PARP1	TGFBR2	PARP1,UBC,TGFBR1,TGFBR2
PARP1	TIAM1	PARP1,UBC,SQSTM1,PRKCZ,PARD6A,PARD3,TIAM1
PARP1	TLE1	PARP1,UBC,CTNNB1,LEF1,TLE1
PARP1	TLR4	PARP1,UBC,TRAF6,MYD88,TLR4
PARP1	TOP2A	PARP1,UBC,TOP2A
PARP1	TP53BP2	PARP1,UBC,TP53,TP53BP2
PARP1	TPM1	PARP1,UBC,ACTC1,TPM1
PARP1	UGDH	PARP1,UBC,UGDH
PARP1	IFRD2	PARP1,UBC,USP10,G3BP1,IFRD2
PARP1	TMEM109	PARP1,UBC,TMEM109
PARP1	CCDC86	PARP1,UBC,RPS3,RPL27A,RPL5,MRTO4,NIP7,CCDC86
PARP1	CHAC1	PARP1,UBC,CHAC1
PARP1	MBOAT7	PARP1,UBC,ESR1,SRC,PEMT,MBOAT7
PARP1	CHMP6	PARP1,UBC,VPS36,VPS25,CHMP6
PARP1	FBXO11	PARP1,UBC,SKP2,SKP1,FBXO11
PARP1	FOSL1	PARP1,UBC,JUN,FOSL1
PARP1	NRIP1	PARP1,UBC,ESR1,NCOA1,RARA,NRIP1
PARP1	SMC1A	PARP1,UBC,USP15,WAPAL,SMC3,SMC1A
PARP1	CDC45	PARP1,UBC,MCM7,CDC45
PARP1	CASP2	PARP1,UBC,XIAP,CASP2
PARP1	TUBB6	PARP1,UBC,TUBB6
PARP1	MICALL1	PARP1,UBC,EHD4,EHD1,MICALL1
PARP1	AKR7A2	PARP1,UBC,AKR7A2
PARP1	PEX11A	PARP1,UBC,PEX3,PEX19,PEX11A
PARP1	INPP4B	PARP1,UBC,INPP4B
PARP1	IER3	PARP1,UBC,HSP90AA1,RAF1,MAP2K1,MAPK1,IER3
PARP1	CCNB1	PARP1,UBC,CCNB1
PARP1	TIMELESS	PARP1,UBC,MCM7,MCM5,MCM2,TIMELESS
PARP1	MAP7	PARP1,UBC,DHX9,MAP7
PARP1	DNAJA3	PARP1,UBC,HSPA9,DNAJA3
PARP1	PRPF4	PARP1,UBC,PRPF8,PRPF4
PARP1	SYNGR3	PARP1,UBC,SYNGR3
PARP1	VAPB	PARP1,UBC,VAPB
PARP1	ITGB1BP1	PARP1,UBC,RAP1B,KRIT1,ITGB1BP1
PARP1	PIGB	PARP1,UBC,SEC11A,TMED10,PIGB
PARP1	SPAG7	PARP1,UBC,SPAG7
PARP1	CD44	PARP1,UBC,ESR1,SRC,CD44
PARP1	IKBKE	PARP1,UBC,NFKBIA,IKBKE
PARP1	CD58	PARP1,UBC,PRPF8,PRPF6,CD2BP2,CD2,CD58
PARP1	EDEM1	PARP1,UBC,CANX,EDEM1
PARP1	USP6NL	PARP1,UBC,RHOA,ARHGAP1,CDC42,BAIAP2,EPS8,USP6NL
PARP1	KEAP1	PARP1,UBC,KEAP1
PARP1	CDK1	PARP1,UBC,CCNB1,CDK1
PARP1	KLHL21	PARP1,UBC,KLHL21
PARP1	CDC20	PARP1,UBC,CCNB1,CDC20
PARP1	CDC25A	PARP1,UBC,CUL1,BTRC,CDC25A
PARP1	MVP	PARP1,UBC,LDLR,LRPAP1,LRP1,MVP
PARP1	EIF4E	PARP1,UBC,AKT1,MTOR,EIF4EBP1,EIF4E
PARP1	FKBP4	PARP1,UBC,HSP90AA1,FKBP4
PARP1	RBL2	PARP1,UBC,E2F1,TFDP1,RBL1,E2F4,RBL2
PARP1	FKBP1A	PARP1,UBC,AKT1,MTOR,FKBP1A
PARP1	SCN5A	PARP1,UBC,CALM2,SCN5A
PARP1	SCAP	PARP1,UBC,HMGCR,INSIG1,SCAP
PARP1	FOXA3	PARP1,UBC,CUL1,BTRC,HIVEP1,IRF2BP2,FOXA3
PARP1	COQ2	PARP1,UBC,COQ2
PARP1	HNF1A	PARP1,UBC,CTNNB1,HNF1A
PARP1	USP24	PARP1,UBC,USP24
PARP1	LPA	PARP1,UBC,CANX,LPA
PARP1	ACTR2	PARP1,UBC,ACTR2
PARP1	PAPOLA	PARP1,UBC,POLR2A,GTF2F1,GTF2B,TBP,BRF1,GTF3C3,CPSF2,CPSF3,PAPOLA
PARP1	SLIT1	PARP1,UBC,USP33,ROBO1,SLIT1
PARP1	TBP	PARP1,UBC,POLR2A,GTF2F1,GTF2B,TBP
PARP1	PLA2G6	PARP1,UBC,HSP90AA1,SUGT1,PHLPP1,PLA2G6
PARP1	YAP1	PARP1,UBC,TP73,YAP1
PARP1	DYNC2H1	PARP1,UBC,DYNC2H1
PARP1	EWSR1	PARP1,UBC,EWSR1
PARP1	MKI67	PARP1,UBC,RPS3,RPL27A,RPL5,MRTO4,MKI67IP,MKI67
PARP1	KDM5C	PARP1,UBC,UBE2D2,CNOT4,KDM5C
PARP1	PDGFA	PARP1,UBC,CBL,CRK,PDGFRA,PDGFA
PARP1	PDGFC	PARP1,UBC,CBL,CRK,PDGFRA,PDGFC
PARP1	PDGFD	PARP1,UBC,CBL,PLCG1,PDGFRB,PDGFD
PARP1	NR1I2	PARP1,UBC,ESR1,NCOA1,NR1I2
PARP1	ADRA2A	PARP1,UBC,GNAO1,ADRA2A
PARP1	GFER	PARP1,UBC,CUL1,COPS5,GFER
PARP1	GABPA	PARP1,UBC,ESR1,EP300,GABPA
PARP1	APOB	PARP1,UBC,APOB
PARP1	HSF1	PARP1,UBC,YWHAE,HSF1
PARP1	PON1	PARP1,UBC,CCNB1,CDC20,BUB1B,BUB1,CASC5,MIS12,APOA1,PON1
PARP1	CD34	PARP1,UBC,CBL,CRKL,CD34
PARP1	MBP	PARP1,UBC,HSP90AA1,RAF1,MAP2K1,MAPK1,MBP
PARP1	CDC25C	PARP1,UBC,CHEK1,CDC25C
PARP1	PKN1	PARP1,UBC,RHOA,PKN1
PARP1	PKN3	PARP1,UBC,PKN3
PARP1	CYP2A13	PARP1,UBC,USP7,GMPS,CAD,CYP2A13
PARP1	CTSB	PARP1,UBC,ATP5A1,ATP5B,ATP5C1,NDUFB9,NDUFA2,NDUFB10,GOPC,CTSL1,CSTA,CTSB
PARP1	CAMK2A	PARP1,UBC,CBL,FYN,GRIN2A,DLG4,GRIN2B,CAMK2A
PARP1	HSD17B3	PARP1,UBC,MAP3K7,EIF2AK2,EIF2S1,EIF2B1,HSD17B3
PARP1	IAPP	PARP1,UBC,IDE,IAPP
PARP1	SMAD2	PARP1,UBC,SMAD2
PARP1	THBD	PARP1,UBC,ATXN3,KCTD10,SERPINC1,F2,THBD
PARP1	DFFB	PARP1,UBC,HM13,DFFB
PARP1	DNMT3B	PARP1,UBC,HDAC1,DNMT3B
PARP1	HDAC6	PARP1,UBC,RPS3,RPS27A,HDAC6
PARP1	CHD4	PARP1,UBC,HDAC1,CHD4
PARP1	PDE6H	PARP1,UBC,GNB2,GNGT1,PDE6H
PARP1	PDE6G	PARP1,UBC,CBL,GRB2,DNM2,PDE6G
PARP1	PDE6B	PARP1,UBC,PPIA,PPP3CA,PDE6B
PARP1	PDE6C	PARP1,UBC,PPIA,PPP3CA,PDE6C
PARP1	PDE6D	PARP1,UBC,AKT1,MTOR,RHEB,PDE6D
PARP1	PDE6A	PARP1,UBC,HSPA8,BCAS2,PLRG1,SF3B1,SF3A2,CHERP,PDE6A
PARP1	PDE1A	PARP1,UBC,HSP90AA1,RAF1,YWHAZ,PDE1A
PARP1	PDE1C	PARP1,UBC,ACTB,NCALD,PDE1C
PARP1	PDE1B	PARP1,UBC,TERF1,TINF2,POT1,PDE1B
PARP1	PGR	PARP1,UBC,ESR1,NCOA1,PGR
PARP1	HLA-DQA1	PARP1,UBC,HLA-DQA1
PARP1	EEF2K	PARP1,UBC,CUL1,FBXW11,EEF2K
PARP1	NF2	PARP1,UBC,NF2
PARP1	SREBF1	PARP1,UBC,SREBF1
PARP1	SLC15A1	PARP1,UBC,CFTR,PDZD3,SLC15A1
PARP1	LIPC	PARP1,UBC,APOB,LIPC
PARP1	CYP3A7	PARP1,UBC,USP7,GMPS,CAD,CYP3A7
PARP1	DDR2	PARP1,UBC,DDR2
PARP1	NFE2	PARP1,UBC,NFE2L2,NFE2
PARP1	TIGD1	PARP1,UBC,PCNA,TIGD1
PARP1	EIF4E2	PARP1,UBC,EIF3A,EIF3H,EIF4E2
PARP1	MAD1L1	PARP1,UBC,CCNB1,CDC20,MAD2L1,MAD1L1
PARP1	FGD4	PARP1,UBC,ACTA1,FGD4
PARP1	DSCAM	PARP1,UBC,RAC1,PAK1,DSCAM
PARP1	FZD3	PARP1,UBC,MYO6,GIPC1,FZD3
PARP1	ARHGEF10	PARP1,UBC,HSPA8,BCAS2,CDC5L,SNRPD2,SNRPD1,LSM6,SART3,ARHGEF10
PARP1	EPHA5	PARP1,UBC,EPHA2,EFNA1,EPHA5
PARP1	EPHA6	PARP1,UBC,EPHA2,EFNA1,EPHA6
PARP1	PDCD4	PARP1,UBC,EIF4A1,PDCD4
PARP1	KRT19	PARP1,UBC,RPS3,MAGOH,KRT19
PARP1	S100A10	PARP1,UBC,S100A10
PARP1	SDS	PARP1,UBC,EPRS,SDS
PARP1	UBR1	PARP1,UBC,RPS3,RPL27A,RPL5,MRTO4,NSA2,ZNF593,UBR1
PARP1	CHKA	PARP1,UBC,SKP2,CHKA
PARP1	FABP1	PARP1,UBC,ESR1,NCOA1,PPARG,FABP1
PARP1	ACTC1	PARP1,UBC,ACTC1
PARP1	MT1F	PARP1,UBC,RPS3,RPL27A,RPL5,MRTO4,MKI67IP,NOP2,MT1F
PARP1	TEAD1	PARP1,UBC,TP73,YAP1,TEAD1
PARP1	CRISPLD2	PARP1,UBC,CALM2,IQCB1,CRISPLD2
PARP1	KCNMB1	PARP1,UBC,ATP5A1,ATP5B,ATP5O,UQCRC2,UQCRC1,UQCRFS1,COX5B,MT-CO2,MT-CO1,KCNMB1
PARP1	GRK4	PARP1,UBC,RHOA,ARHGAP1,CDC42,IQGAP1,CALM1,GRK4
PARP1	NOS1AP	PARP1,UBC,ACTA2,CNN2,ZYX,NOS1AP
PARP1	KCNIP1	PARP1,UBC,ESR1,SRC,KCND3,KCNIP1
PARP1	PLEKHH2	PARP1,UBC,ESR1,SRC,PTK2,TGFB1I1,PLEKHH2
PARP1	KCNJ5	PARP1,UBC,GNB1,KCNJ3,KCNJ5
PARP1	KCNA4	PARP1,UBC,CBL,FYN,GRIN2A,DLG4,KCNA4
PARP1	MYO9B	PARP1,UBC,RHOA,MYO9B
PARP1	CACNA2D1	PARP1,UBC,RPN1,STT3B,CACNA2D1
PARP1	DRD2	PARP1,UBC,HSP90AA1,SUGT1,USP46,PPP1R3D,DRD2
PARP1	FDFT1	PARP1,UBC,FDFT1
PARP1	HNMT	PARP1,UBC,DSP,HNMT
PARP1	SIRT4	PARP1,UBC,SIRT4
PARP1	SIRT6	PARP1,UBC,SIRT6
PARP1	SIRT7	PARP1,UBC,POLR2A,POLR2B,POLR2E,POLR1A,SIRT7
PARP1	SMARCB1	PARP1,UBC,CCNE1,RB1,SMARCA4,SMARCB1
PARP1	ACTL6A	PARP1,UBC,CCNE1,RB1,SMARCA4,ACTL6A
PARP1	PIP	PARP1,UBC,USP25,PIP
PARP1	TFF3	PARP1,UBC,CTNNB1,HNF1A,PCBD1,TFF3
PARP1	PLD1	PARP1,UBC,RHOA,PLD1
PARP1	PLD2	PARP1,UBC,PLD2
PARP1	FMO1	PARP1,UBC,PCNA,MSH6,MSH2,MLH1,PMS2,FMO1
PARP1	RRAS2	PARP1,UBC,CBL,PIK3R1,PIK3CA,RRAS2
PARP1	TUBA1A	PARP1,UBC,TUBA1A
PARP1	TUBB4B	PARP1,UBC,TUBB4B
PARP1	ADRA2B	PARP1,UBC,HSP90AA1,RAF1,YWHAZ,ADRA2B
PARP1	APC	PARP1,UBC,CTNNB1,APC
PARP1	FZD1	PARP1,UBC,AKT1,GSK3B,FZD1
PARP1	STAT3	PARP1,UBC,EGFR,STAT3
PARP1	SLC12A3	PARP1,UBC,SLC12A3
PARP1	ASS1	PARP1,UBC,USP7,GMPS,CAD,CPS1,ASS1
PARP1	HMOX2	PARP1,UBC,HMOX2
PARP1	PTGER4	PARP1,UBC,MDM2,ARRB1,PTGER4
PARP1	ERCC6	PARP1,UBC,NEDD8,CUL4A,DDB1,ERCC8,ERCC6
PARP1	TBX21	PARP1,UBC,ESR1,EP300,TBX21
PARP1	HIF1A	PARP1,UBC,HIF1A
PARP1	GLCCI1	PARP1,UBC,DCAF7,DYRK1B,GLCCI1
PARP1	CD1A	PARP1,UBC,TFRC,HFE,B2M,CD1A
PARP1	SPG7	PARP1,UBC,TOMM70A,SFXN2,SPG7
PARP1	CHST3	PARP1,UBC,CCNE1,RB1,KDM5B,CHST3
PARP1	SULT1C4	PARP1,UBC,SLC12A2,SULT1C4
PARP1	MECOM	PARP1,UBC,RNF2,BMI1,CBX4,CTBP1,MECOM
PARP1	TEK	PARP1,UBC,CBL,PLCG1,PDGFRB,RASA1,DOK2,TEK
PARP1	SULT1A1	PARP1,UBC,PRDX1,SRXN1,SULT1A1
PARP1	KCNJ1	PARP1,UBC,KCNJ1
PARP1	CYP11A1	PARP1,UBC,USP7,GMPS,CAD,DPYD,FDXR,FDX1,CYP11A1
PARP1	CCL11	PARP1,UBC,CXCR4,CCR5,CCL5,CCR3,CCL11
PARP1	AGTR1	PARP1,UBC,ARRB2,AGTR1
PARP1	ICMT	PARP1,UBC,HSP90AA1,RAF1,HRAS,ICMT
PARP1	SYK	PARP1,UBC,CBL,SYK
PARP1	DBH	PARP1,UBC,RHOA,ARHGAP1,CDC42,ITSN1,DBH
PARP1	ANKK1	PARP1,UBC,HSP90AA1,SUGT1,PHLPP1,ANKK1
PARP1	NTS	PARP1,UBC,GGA1,SORT1,NTS
PARP1	EPM2A	PARP1,UBC,NHLRC1,EPM2A
PARP1	CCK	PARP1,UBC,TRAF2,CCK
PARP1	G6PD	PARP1,UBC,G6PD
PARP1	HTR4	PARP1,UBC,ADRB2,HTR4
PARP1	EHF	PARP1,UBC,TRAF2,TNFRSF1B,EHF
PARP1	CDH4	PARP1,UBC,CTNNB1,CDH4
PARP1	CNTN4	PARP1,UBC,APP,CNTN4
PARP1	BCHE	PARP1,UBC,USP7,GMPS,CAD,BCHE
PARP1	LTF	PARP1,UBC,LTF
PARP1	MSH6	PARP1,UBC,PCNA,MSH6
PARP1	AFP	PARP1,UBC,AFP
PARP1	ESRRA	PARP1,UBC,ESR1,NCOA1,PPARG,PPARGC1A,ESRRG,ESRRA
PARP1	SERPINA6	PARP1,UBC,EGFR,EGF,ERBB4,SIRPG,SERPINA6
PARP1	CYP2D6	PARP1,UBC,POR,CYP2D6
PARP1	CACNG1	PARP1,UBC,VAPA,CACNG1
PARP1	CYP3A5	PARP1,UBC,CYB5A,CYP3A5
PARP1	DPEP1	PARP1,UBC,PCNA,CHAF1A,MBD1,DPEP1
PARP1	HRH1	PARP1,UBC,RPS3,MAGOH,ALYREF,THOC1,HRH1
PARP1	ABCC9	PARP1,UBC,LDHA,ABCC9
PARP1	GLP1R	PARP1,UBC,GLP1R
PARP1	SPTA1	PARP1,UBC,ACTN4,ACTN2,TTN,OBSCN,ANK1,SPTB,SPTA1
PARP1	PRCP	PARP1,UBC,PRCP
PARP1	HTR2A	PARP1,UBC,CBL,HTR2A
PARP1	NISCH	PARP1,UBC,NISCH
PARP1	CEL	PARP1,UBC,RPS3,MAGOH,SRSF7,TFPI,CELA3A,CEL
PARP1	GDF15	PARP1,UBC,PRPF8,PRPF4,PDF,GDF15
PARP1	RIPK1	PARP1,UBC,RIPK1
PARP1	SLC2A3	PARP1,UBC,SLC2A3
PARP1	FOXO3	PARP1,UBC,TP53,SIRT1,FOXO3
PARP1	HTR2B	PARP1,UBC,GNA11,HTR2B
PARP1	ALOX5	PARP1,UBC,ACTB,ALOX5
ADRB2	DNM1L	ADRB2,UBC,DNM1L
ADRB2	KIF20A	ADRB2,UBC,KIF20A
ADRB2	ARL4C	ADRB2,UBC,ARL4C
ADRB2	TXNDC9	ADRB2,UBC,TXNDC9
ADRB2	CDK6	ADRB2,UBC,CCND1,CDK6
ADRB2	CDKN1A	ADRB2,UBC,CDKN1A
ADRB2	STUB1	ADRB2,UBC,STUB1
ADRB2	IKZF1	ADRB2,UBC,HDAC1,IKZF1
ADRB2	HMG20B	ADRB2,UBC,HDAC1,KDM1A,HMG20B
ADRB2	LYPLA1	ADRB2,UBC,LYPLA1
ADRB2	VAT1	ADRB2,UBC,VAT1
ADRB2	CNPY3	ADRB2,UBC,EPRS,MARS,EEF1E1,NAT9,CNPY3
ADRB2	YME1L1	ADRB2,UBC,YME1L1
ADRB2	TCFL5	ADRB2,UBC,E2F1,TOPBP1,TCFL5
ADRB2	MTHFD2	ADRB2,UBC,ATIC,GART,MTHFD2
ADRB2	PRSS23	ADRB2,UBC,ELAVL1,PRSS23
ADRB2	SLC2A6	ADRB2,UBC,GALE,SLC2A6
ADRB2	CHEK2	ADRB2,UBC,TP53,CHEK2
ADRB2	CLTC	ADRB2,UBC,CLTC
ADRB2	CANT1	ADRB2,UBC,SGTA,CANT1
ADRB2	CRK	ADRB2,UBC,CBL,CRK
ADRB2	CSRP1	ADRB2,UBC,CSRP1
ADRB2	DCTD	ADRB2,UBC,PCNA,RFC4,DCTD
ADRB2	GADD45A	ADRB2,UBC,PCNA,GADD45A
ADRB2	DLD	ADRB2,UBC,DLST,DLD
ADRB2	AGL	ADRB2,UBC,AGL
ADRB2	TSC22D3	ADRB2,UBC,HSP90AA1,RAF1,TSC22D3
ADRB2	DUSP3	ADRB2,UBC,HSP90AA1,RAF1,MAP2K1,MAPK1,DUSP3
