gene1,gene2,weight
KIT,GRB10,0.576
ACTC1,EGR1,0.15176800000000001
ACTC1,PDE6A,0.15456199999999998
ACTC1,ZNF423,0.15176800000000001
ACTC1,SMARCB1,0.345
ACTC1,MECOM,0.15176800000000001
ACTC1,MAD1L1,0.252
ACTC1,TUBA1A,0.34714
ACTC1,HMGCS1,0.254
ACTC1,TUBB4B,0.24516300000000002
ACTC1,UBC,0.993
ACTC1,CHD4,0.187
ACTC1,SPTA1,0.196
ACTC1,PDE6C,0.15456199999999998
ACTC1,ACTR2,0.841
ACTC1,MYO9B,0.19
ACTC1,ACTL6A,0.544
ACTC1,PDE6B,0.15456199999999998
UBR1,USP24,0.224
UBR1,UBC,0.967
UBR1,SLC15A1,0.203
PIP,UBC,0.491
PKN3,RRAS2,0.157
PKN3,MAD1L1,0.228
PKN3,EPHA5,0.17741500000000002
PKN3,FOXA3,0.186
PKN3,FOXO3,0.186
PKN3,PLD1,0.576
PKN3,UBC,0.685
PKN3,MYO9B,0.202
PKN3,DYNC2H1,0.288
USP24,YAP1,0.228088
USP24,UBR1,0.224
USP24,SIRT7,0.36040300000000003
USP24,UBC,0.98
USP24,PARP1,0.32364
MELK,EGR1,0.18212
MELK,ZNF423,0.18212
MELK,MECOM,0.18212
MELK,CDC25C,0.29254600000000003
MELK,UBC,0.896
MELK,MBP,0.569
MELK,HSF1,0.151795
LIPC,APOB,0.6048319999999999
TUBA1A,CBX5,0.457
TUBA1A,MAD1L1,0.597
TUBA1A,ACTC1,0.34714
TUBA1A,HDAC6,0.165
TUBA1A,TUBB4B,0.9873719999999999
TUBA1A,PKN1,0.564
TUBA1A,UBC,0.998
TUBA1A,KIF14,0.191
TUBA1A,SYK,0.598
TUBA1A,DYNC2H1,0.304
TUBA1A,CDK5,0.165548
PTGER4,UBC,0.483
INSR,SMAD2,0.576
INSR,IRS1,0.998
INSR,ADRB2,0.576
INSR,UBC,0.983
INSR,TEAD1,0.158
INSR,CAMK2A,0.256
INSR,GRB10,0.998
FOXA3,PKN3,0.186
FOXA3,PKN1,0.186
FOXA3,CDK5,0.16
PRPF8,CDKN1A,0.238
PRPF8,SLIT1,0.244
PRPF8,PRPF6,0.999115
PRPF8,YAP1,0.18576600000000001
PRPF8,CD2BP2,0.985
PRPF8,SIRT7,0.313
PRPF8,UBC,0.998
PRPF8,CHD4,0.156
PRPF8,KDM5C,0.185704
IRS1,INSR,0.998
IRS1,NISCH,0.569
IRS1,UBC,0.998
IRS1,PARP1,0.269
IRS1,GRB10,0.812
IRS1,EIF4E,0.576
CD2BP2,PRPF6,0.993
CD2BP2,PRPF8,0.985
CD2BP2,UBC,0.296
CD2BP2,CD2,0.992
CD2BP2,EWSR1,0.193
ADRB2,STAT3,0.16
ADRB2,INSR,0.576
ADRB2,KCNJ5,0.692
ADRB2,UBC,0.998
ADRB2,HTR4,0.576
ALAS1,YAP1,0.157
ALAS1,UBC,0.819
ALAS1,CDK5,0.195
COQ2,FDFT1,0.284
COQ2,ABCC9,0.20438499999999998
COQ2,UBC,0.509
GNPDA1,EIF4E2,0.328
GNPDA1,UBC,0.858
GNPDA1,G6PD,0.462
NFE2,YAP1,0.567
TSC22D3,MAD1L1,0.341
TSC22D3,TP53,0.566
TSC22D3,UBC,0.495
CDK5R1,CDKN1A,0.571
CDK5R1,UBC,0.564
CDK5R1,CAMK2A,0.569
CDK5R1,CDK5,0.999
LPA,CANX,0.917
CDC25C,TP53,0.576
CDC25C,MELK,0.29254600000000003
CDC25C,PKN1,0.57
CDC25C,UBC,0.991
CDC25C,CDK5,0.301
SULT1A1,YAP1,0.644
SULT1A1,UBC,0.483
SULT1A1,SLC12A3,0.288
HMGCS1,FDFT1,0.252
HMGCS1,CYP3A5,0.173768
HMGCS1,HMGCR,0.5921960000000001
HMGCS1,ACTC1,0.254
HMGCS1,CYP3A7,0.173768
HMGCS1,UBC,0.979
PGR,TBP,0.576
PGR,CDKN1A,0.567
PGR,STAT3,0.805
PGR,UBC,0.812
PGR,PARP1,0.569
PDE6G,PDE6A,0.59638
PDE6G,PDE6C,0.2839
PDE6G,PDE6B,0.59638
KCNA4,SCN5A,0.302
DNMT3B,CBX5,0.961
DNMT3B,TRIM28,0.57
DNMT3B,UBC,0.842
DNMT3B,CHD4,0.574
DNMT3B,SUV39H1,0.569
SCN5A,KCNA4,0.302
SCN5A,UBC,0.924
SIRT7,FKBP4,0.313
SIRT7,SIRT4,0.164
SIRT7,LTF,0.313
SIRT7,MSH6,0.344
SIRT7,CANX,0.313
SIRT7,PRPF6,0.313
SIRT7,TP53,0.313
SIRT7,HMGCR,0.23
SIRT7,USP24,0.36040300000000003
SIRT7,PRPF8,0.313
SIRT7,HDAC6,0.276
SIRT7,CHD4,0.313
SIRT7,KIF14,0.313
SIRT7,MKI67,0.313
SIRT7,ACTR2,0.313
SIRT7,EWSR1,0.313
PDE1A,UBC,0.296
CYP2A13,FDFT1,0.289647
CYP2A13,CYP3A5,0.178
CYP2A13,CYP3A7,0.181
HDAC6,SIRT4,0.276
HDAC6,MSH6,0.254345
HDAC6,RBL2,0.24
HDAC6,TUBA1A,0.165
HDAC6,SIRT7,0.276
HDAC6,SIRT6,0.32306
HDAC6,FOXO3,0.252
HDAC6,CHD4,0.163
HDAC6,SUV39H1,0.26914
MT1F,UBC,0.296
CCK,BIRC2,0.556
CCK,UBC,0.296
NR1I2,UBC,0.803
SIRT6,SIRT4,0.161
SIRT6,HMGCR,0.23
SIRT6,HDAC6,0.32306
SIRT6,UBC,0.945
CYP3A7,FDFT1,0.289647
CYP3A7,HMGCS1,0.173768
CYP3A7,CYP2A13,0.181
CYP3A7,CYP2D6,0.185
HIF1A,ESRRA,0.576
HIF1A,TRIM28,0.564
HIF1A,STAT3,0.808
HIF1A,TP53,0.963
HIF1A,FOXO3,0.576
HIF1A,UBC,0.999
HIF1A,PARP1,0.576
HIF1A,CAMK2A,0.297
HLA-DQA1,UBC,0.683
FOXO3,FKBP4,0.92
FOXO3,SMAD2,0.573
FOXO3,MAD1L1,0.164
FOXO3,TP53,0.857
FOXO3,PKN3,0.186
FOXO3,HDAC6,0.252
FOXO3,HIF1A,0.576
FOXO3,PKN1,0.186
FOXO3,UBC,0.962
FOXO3,CDK5,0.206
NISCH,IRS1,0.569
NISCH,UBC,0.801
KCNJ5,ADRB2,0.692
KCNJ5,DRD2,0.692
ARHGEF10,UBC,0.296
EIF4EBP1,EIF4E2,0.633
EIF4EBP1,RIPK1,0.213
EIF4EBP1,UBC,0.688
EIF4EBP1,EIF4E,0.999
TUBB4B,TBP,0.163
TUBB4B,MAD1L1,0.304
TUBB4B,TP53,0.397
TUBB4B,ACTC1,0.24516300000000002
TUBB4B,TUBA1A,0.9873719999999999
TUBB4B,UBC,0.996
TUBB4B,KIF14,0.191
TUBB4B,SUV39H1,0.215
TUBB4B,ACTR2,0.210272
TUBB4B,PRCP,0.418
TUBB4B,DYNC2H1,0.394
TUBB4B,ACTL6A,0.209421
CTSB,UBC,0.758
CTSB,PARP1,0.576
CTSB,S100A10,0.576
PLD1,CHKA,0.378
PLD1,SPG7,0.298
PLD1,PKN3,0.576
PLD1,PKN1,0.576
PLD1,UBC,0.906
PLD1,ERCC6,0.169
PKN1,RRAS2,0.157
PKN1,MAD1L1,0.228
PKN1,EPHA5,0.17741500000000002
PKN1,TUBA1A,0.564
PKN1,FOXA3,0.186
PKN1,CDC25C,0.57
PKN1,FOXO3,0.186
PKN1,PLD1,0.576
PKN1,UBC,0.556
PKN1,MBP,0.57
PKN1,MYO9B,0.202
PKN1,DYNC2H1,0.289
PKN1,CD44,0.576
ICMT,RRAS2,0.229
ICMT,UBC,0.332
NF2,BMP4,0.213
NF2,YAP1,0.667
NF2,UBC,0.97
NF2,CD44,0.915
UBC,ESRRA,0.567
UBC,FKBP4,0.925
UBC,SLC2A3,0.76
UBC,TBX21,0.576
UBC,SIRT4,0.576
UBC,CBX5,0.849
UBC,PAPOLA,0.88
UBC,HMOX2,0.752
UBC,FDFT1,0.988
UBC,BMPR1A,0.908
UBC,BIRC2,0.999
UBC,TBP,0.945307
UBC,LTF,0.867
UBC,APOB,0.979
UBC,MSH6,0.985
UBC,CDKN1A,0.999
UBC,BMP4,0.296
UBC,CANX,0.986
UBC,GFER,0.345
UBC,GDF15,0.296
UBC,ASS1,0.889
UBC,TRIM28,0.999
UBC,RRAS2,0.362
UBC,EDEM1,0.594
UBC,APC,0.954
UBC,EIF4E2,0.562912
UBC,RIPK1,0.999
UBC,ABCC9,0.36
UBC,CCND2,0.829
UBC,RBL2,0.858
UBC,SMAD2,0.999
UBC,EEF2K,0.961
UBC,PLD2,0.918
UBC,SMARCB1,0.893
UBC,STAT3,0.997
UBC,SCAP,0.647
UBC,CHKA,0.448
UBC,MAD1L1,0.797
UBC,PRPF6,0.859
UBC,TP53,0.999
UBC,EPHA5,0.603
UBC,PDCD4,0.981
UBC,YAP1,0.984
UBC,PDE6D,0.483
UBC,FZD1,0.495
UBC,HMGCR,0.999
UBC,KIT,0.964
UBC,ACTC1,0.993
UBC,UBR1,0.967
UBC,PIP,0.491
UBC,PKN3,0.685
UBC,USP24,0.98
UBC,MELK,0.896
UBC,TUBA1A,0.998
UBC,PTGER4,0.483
UBC,INSR,0.983
UBC,PRPF8,0.998
UBC,IRS1,0.998
UBC,CD2BP2,0.296
UBC,ADRB2,0.998
UBC,ALAS1,0.819
UBC,COQ2,0.509
UBC,GNPDA1,0.858
UBC,TSC22D3,0.495
UBC,CDK5R1,0.564
UBC,CDC25C,0.991
UBC,SULT1A1,0.483
UBC,HMGCS1,0.979
UBC,PGR,0.812
UBC,DNMT3B,0.842
UBC,SCN5A,0.924
UBC,PDE1A,0.296
UBC,MT1F,0.296
UBC,CCK,0.296
UBC,NR1I2,0.803
UBC,SIRT6,0.945
UBC,HIF1A,0.999
UBC,HLA-DQA1,0.683
UBC,FOXO3,0.962
UBC,NISCH,0.801
UBC,ARHGEF10,0.296
UBC,EIF4EBP1,0.688
UBC,TUBB4B,0.996
UBC,CTSB,0.758
UBC,PLD1,0.906
UBC,PKN1,0.556
UBC,ICMT,0.332
UBC,NF2,0.97
UBC,PLSCR1,0.854
UBC,GABPA,0.795
UBC,SREBF1,0.99
UBC,ERCC6,0.976
UBC,UBE2C,0.997
UBC,CHD4,0.949
UBC,HTR4,0.296
UBC,TEAD1,0.783
UBC,KRT19,0.734
UBC,PARP1,0.997
UBC,KIF14,0.83
UBC,EPM2A,0.818
UBC,DDR2,0.832
UBC,SPTA1,0.722
UBC,MKI67,0.944
UBC,S100A10,0.978
UBC,CD2,0.504
UBC,CHST3,0.296
UBC,GLP1R,0.576
UBC,HSD17B3,0.303
UBC,SYK,0.993
UBC,SLC15A1,0.303
UBC,SUV39H1,0.859
UBC,ACTR2,0.995
UBC,DFFB,0.795
UBC,TEK,0.606
UBC,FKBP1A,0.8736860000000001
UBC,MBP,0.296
UBC,EPHA6,0.367
UBC,KCNJ1,0.576
UBC,PDGFD,0.296
UBC,PRCP,0.62
UBC,G6PD,0.988
UBC,AFP,0.923
UBC,HRH1,0.483
UBC,MYO9B,0.663
UBC,GRK4,0.296
UBC,DYNC2H1,0.635
UBC,CAMK2A,0.483
UBC,GRB10,0.296
UBC,DSCAM,0.296
UBC,ACTL6A,0.905
UBC,CD44,0.908
UBC,EWSR1,0.929
UBC,SLC12A3,0.728
UBC,CDK5,0.949
UBC,EIF4E,0.98144
PLSCR1,PDE6A,0.27
PLSCR1,SPG7,0.423
PLSCR1,UBC,0.854
PLSCR1,PDE6C,0.27
PLSCR1,EWSR1,0.265
PLSCR1,PDE6B,0.27
GABPA,UBC,0.795
FMO1,EDEM1,0.249
SREBF1,RRAS2,0.295
SREBF1,SCAP,0.576
SREBF1,TP53,0.576
SREBF1,UBC,0.99
ERCC6,TBP,0.614
ERCC6,PLD2,0.169
ERCC6,TP53,0.913
ERCC6,PLD1,0.169
ERCC6,UBC,0.976
ERCC6,PARP1,0.576
UBE2C,TRIM28,0.376
UBE2C,CCND2,0.298
UBE2C,YAP1,0.907
UBE2C,UBC,0.997
CHD4,CBX5,0.573
CHD4,TBP,0.247
CHD4,MSH6,0.200828
CHD4,SMARCB1,0.339
CHD4,ACTC1,0.187
CHD4,PRPF8,0.156
CHD4,DNMT3B,0.574
CHD4,SIRT7,0.313
CHD4,HDAC6,0.163
CHD4,UBC,0.949
CHD4,KDM5C,0.15637
CHD4,ACTR2,0.187
CHD4,ACTL6A,0.187
CHD4,CDK5,0.159
CYP2D6,FDFT1,0.289647
CYP2D6,CYP3A5,0.182
CYP2D6,CYP3A7,0.185
HTR4,ADRB2,0.576
HTR4,UBC,0.296
TEAD1,TBP,0.566
TEAD1,RRAS2,0.301
TEAD1,YAP1,0.997
TEAD1,INSR,0.158
TEAD1,UBC,0.783
TEAD1,HSF1,0.266
DRD2,KCNJ5,0.692
KRT19,APC,0.167
KRT19,EIF4E2,0.224
KRT19,UBC,0.734
PARP1,CDKN1A,0.912
PARP1,TRIM28,0.615008
PARP1,ZNF423,0.805
PARP1,TP53,0.983
PARP1,EPHA5,0.264
PARP1,USP24,0.32364
PARP1,IRS1,0.269
PARP1,PGR,0.569
PARP1,HIF1A,0.576
PARP1,CTSB,0.576
PARP1,UBC,0.997
PARP1,ERCC6,0.576
PARP1,EPHA6,0.252
KIF14,MAD1L1,0.232
KIF14,TUBA1A,0.191
KIF14,SIRT7,0.313
KIF14,TUBB4B,0.191
KIF14,UBC,0.83
KIF14,DYNC2H1,0.222
EPM2A,UBC,0.818
DDR2,UBC,0.832
SPTA1,ACTC1,0.196
SPTA1,UBC,0.722
SPTA1,ACTR2,0.196
SPTA1,ACTL6A,0.196
MKI67,CBX5,0.576
MKI67,SIRT7,0.313
MKI67,UBC,0.944
S100A10,CTSB,0.576
S100A10,UBC,0.978
CD2,CD2BP2,0.992
CD2,UBC,0.504
CD2,CD58,0.986
CD58,CD2,0.986
PDE6C,RRAS2,0.194
PDE6C,PDE6H,0.2839
PDE6C,YAP1,0.200773
PDE6C,ACTC1,0.15456199999999998
PDE6C,PDE6G,0.2839
PDE6C,PLSCR1,0.27
CEL,LTF,0.576
CHST3,UBC,0.296
GLP1R,UBC,0.576
HSD17B3,UBC,0.303
KDM5C,PRPF8,0.185704
KDM5C,CHD4,0.15637
KDM5C,SUV39H1,0.201
SYK,STAT3,0.963
SYK,TUBA1A,0.598
SYK,UBC,0.993
SLC15A1,UBR1,0.203
SLC15A1,UBC,0.303
SUV39H1,CBX5,0.983
SUV39H1,RBL2,0.601
SUV39H1,SMARCB1,0.157
SUV39H1,MECOM,0.825724
SUV39H1,DNMT3B,0.569
SUV39H1,HDAC6,0.26914
SUV39H1,TUBB4B,0.215
SUV39H1,UBC,0.859
SUV39H1,KDM5C,0.201
ACTR2,EEF2K,0.388
ACTR2,SMARCB1,0.306
ACTR2,MAD1L1,0.252
ACTR2,YAP1,0.328
ACTR2,ACTC1,0.841
ACTR2,SIRT7,0.313
ACTR2,TUBB4B,0.210272
ACTR2,UBC,0.995
ACTR2,CHD4,0.187
ACTR2,SPTA1,0.196
ACTR2,MYO9B,0.19
ACTR2,CD44,0.564
DFFB,UBC,0.795
TEK,UBC,0.606
FKBP1A,FKBP4,0.5908399999999999
FKBP1A,BMPR1A,0.566
FKBP1A,EIF4E2,0.24780100000000002
FKBP1A,UBC,0.8736860000000001
FKBP1A,EIF4E,0.24780100000000002
MBP,MELK,0.569
MBP,PKN1,0.57
MBP,UBC,0.296
MBP,CDK5,0.545
EPHA6,STAT3,0.213312
EPHA6,UBC,0.367
EPHA6,PARP1,0.252
EPHA6,HSF1,0.17101
KCNJ1,UBC,0.576
PDGFD,UBC,0.296
PRCP,TUBB4B,0.418
PRCP,UBC,0.62
G6PD,GNPDA1,0.462
G6PD,UBC,0.988
AFP,UBC,0.923
HRH1,SMAD2,0.353
HRH1,UBC,0.483
MYO9B,ACTC1,0.19
MYO9B,PKN3,0.202
MYO9B,PKN1,0.202
MYO9B,UBC,0.663
MYO9B,ACTR2,0.19
MYO9B,KCNIP1,0.158
MYO9B,ACTL6A,0.19
CNTN4,LTF,0.165
GRK4,UBC,0.296
DYNC2H1,PKN3,0.288
DYNC2H1,TUBA1A,0.304
DYNC2H1,TUBB4B,0.394
DYNC2H1,PKN1,0.289
DYNC2H1,UBC,0.635
DYNC2H1,KIF14,0.222
CAMK2A,SMAD2,0.867
CAMK2A,EPHA5,0.183
CAMK2A,INSR,0.256
CAMK2A,CDK5R1,0.569
CAMK2A,HIF1A,0.297
CAMK2A,UBC,0.483
CAMK2A,HSF1,0.576
GRB10,KIT,0.576
GRB10,INSR,0.998
GRB10,IRS1,0.812
GRB10,UBC,0.296
DSCAM,UBC,0.296
KCNIP1,MYO9B,0.158
ACTL6A,CBX5,0.298
ACTL6A,TBP,0.39858699999999997
ACTL6A,SMARCB1,0.9605319999999999
ACTL6A,MAD1L1,0.624502
ACTL6A,TP53,0.576
ACTL6A,ACTC1,0.544
ACTL6A,TUBB4B,0.209421
ACTL6A,UBC,0.905
ACTL6A,CHD4,0.187
ACTL6A,SPTA1,0.196
ACTL6A,MYO9B,0.19
CD44,STAT3,0.567
CD44,TP53,0.576
CD44,PKN1,0.576
CD44,NF2,0.915
CD44,UBC,0.908
CD44,ACTR2,0.564
EWSR1,TP53,0.576
EWSR1,YAP1,0.248
EWSR1,CD2BP2,0.193
EWSR1,SIRT7,0.313
EWSR1,UBC,0.929
EWSR1,PLSCR1,0.265
SLC12A3,SULT1C4,0.257
SLC12A3,SULT1A1,0.288
SLC12A3,UBC,0.728
CDK5,PAPOLA,0.467
CDK5,MSH6,0.202576
CDK5,CDKN1A,0.912
CDK5,CCND2,0.985
CDK5,RBL2,0.325
CDK5,SMARCB1,0.343197
CDK5,TP53,0.807
CDK5,TUBA1A,0.165548
CDK5,FOXA3,0.16
CDK5,ALAS1,0.195
CDK5,CDK5R1,0.999
CDK5,CDC25C,0.301
CDK5,FOXO3,0.206
CDK5,UBC,0.949
CDK5,CHD4,0.159
CDK5,MBP,0.545
CDK5,HSF1,0.16
PDE6B,RRAS2,0.194
PDE6B,PDE6H,0.2839
PDE6B,YAP1,0.200773
PDE6B,ACTC1,0.15456199999999998
PDE6B,PDE6G,0.59638
PDE6B,PLSCR1,0.27
EIF4E,FKBP4,0.24780100000000002
EIF4E,CANX,0.159
