Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	GSE132283_MTB_control_2h_blood_macrophage	GSE132283_MTB_control_48h_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_blood_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF1	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF2	GSE148731_MTB_4h_blood_CD14plus_monocyte_derived_macrophages_MF1	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_4control_48h_HEPG2_HepG2	GSE256184_MTB_control_0h_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	aggregated_microarray	aggregated_RNAseq
2-oxoglutarate metabolic process	0	0	0	0.6868710809840828	0	0	0	0.9748104709139136	0.5151393027875841	0.7162409381228204	0	0	1.0960104044751815	1.2539188558249104	0	1.1129204096135097	0	0.7850319123347238	0	0.6241000024874399	0.5843677872628787	0	1.4066727961875043	0.6546794221884525	0.586719050941235	1.4180721092736888	0.6511646324516186	0	0.873613613900611	0.8133095999513574
3'-UTR-mediated mRNA destabilization	0	0	0.5138877401311949	0.4062069073733848	0	0.8055060076501903	0.8778954805880977	0	0.29830872198281344	0.4252898362998559	0	0	0.3655835849741224	0.29734857498259804	0	0	0	0.47077164163450885	0	0	0	0	0.6685774959566962	0.5625545225339488	0.6515076317687156	0.522503916193985	1.001914491404506	0	0.8625834743377119	0.8949089843363195
3'-UTR-mediated mRNA stabilization	0	0	0.8971859945909589	0	0	0.4916563378561348	0	0.24123218522317388	0.6461056021076166	0	0	0.541207794328444	0	0.33836324902942805	0	0.7883322691807402	0	0	0	0.41568869522426327	0	0.9381270265321996	0.4003671343788774	0.9696819852564358	0.3892849053862564	0.30747802044254496	0	0	1.1556392787634673	0.8949089843363195
3'-phosphoadenosine 5'-phosphosulfate biosynthetic process	0	0	1.1561461018058292	0	0	0	0	1.3033784116897635	0	0	0	0	1.815359697178268	0	0	1.835374749913427	0	0	0	0	0	0	0	0	0	1.5240273009077694	0	0	1.5401110131945557	0.8949089843363195
3'-phosphoadenosine 5'-phosphosulfate metabolic process	0	0	0.9324795976780272	0.7597205350176189	0	0	0	0.7731603989669533	0.29830872198281344	0	0	0.8771468300346058	0.9646291125945698	0.8127635258195237	0	1.2096376462519098	0.7514820532725954	1.42260726564969	0	0.36606316482291706	1.32027032269264	0	0.35241536445056093	0.5625545225339488	0	1.2698988596583944	1.001914491404506	0	1.2850117560590957	0.8495778579536342
3'-phosphoadenosine 5'-phosphosulfate transport	0	0	0	0	0	0	0	0	0	0	0	0	2.488570008474638	0	0	0	0	0	0	0	0	0	2.450866973901892	0	2.421801283521651	0	0	0	0	0.8949089843363195
3-keto-sphinganine metabolic process	0	0	0	0	0	0	0	1.9407256635203816	0	0	0	0	0	2.2781352451196755	0	0	0	0	0	0	0	0	0	1.8681847951886632	0	0	0	0	1.5401110131945557	0.8949089843363195
4-hydroxyproline catabolic process	0	0	1.1561461018058292	0	0	1.9879891153023412	0	1.3033784116897635	1.0230032145194168	0	0	0	0	0	0	0	0	0	0	0	1.7471224399439438	0	1.7791586813730886	0.7250490065614568	0	0.9457722949790932	0	0	1.2850117560590957	0.8949089843363195
4-hydroxyproline metabolic process	0	0	1.1561461018058292	0	0	1.6047955807623675	0	0.9748104709139136	0.7383901380179234	0	0	0	0	0	0	0.8940360842438495	0	0	0	0	1.3766523266834618	0	1.406672796187505	0.505091876537246	0.8320598525384845	0.6761066507108594	0	0	1.1856224083361082	0.7707510692263532
4-nitrophenol metabolic process	0	0	1.7741982677948471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5401110131945557	0
5'-adenylyl sulfate transmembrane transport	0	0	0	0	0	0	0	0	0	0	0	0	2.488570008474638	0	0	0	0	2.071865853392054	0	0	0	0	1.7791586813730886	0	1.751324620691086	0	0	0	0	0.8949089843363195
