organism_ch1	series_id	geo_accession	CLASSIFICATION	title	SAMPLE_TYPE	CELL	TISSUE	TIME_POINT	SAMPLE_CONDITION	source_name_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	molecule_ch1	platform_id	library_source	library_strategy	cell.type.ch1	tissue.ch1	time.ch1
Homo sapiens	GSE198557	GSM5952189	healthy control without treatment	Healthy indivudual_4	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from Healthy individuals	subject status: Healthy individual	cell type: PBMCs	molecule type: rRNA-depleted RNA	total RNA	GPL16791	transcriptomic	RNA-Seq	PBMCs		
Homo sapiens	GSE198557	GSM5952190	healthy control without treatment	Healthy indivudual_5	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from Healthy individuals	subject status: Healthy individual	cell type: PBMCs	molecule type: rRNA-depleted RNA	total RNA	GPL16791	transcriptomic	RNA-Seq	PBMCs		
Homo sapiens	GSE198557	GSM5952191	healthy control without treatment	Healthy indivudual_6	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from Healthy individuals	subject status: Healthy individual	cell type: PBMCs	molecule type: rRNA-depleted RNA	total RNA	GPL16791	transcriptomic	RNA-Seq	PBMCs		
Homo sapiens	GSE100897	GSM2695734	disease without treatment	THP-1 MTB 24h polyA	cell_line_sample	THP-1		24h	THP-1_24h	THP-1, infected	tissue: THP-1	agent: Mycobacterium tuberculosis M1458	time: 24h	total RNA	GPL11154	transcriptomic	RNA-Seq		THP-1	24h
Homo sapiens	GSE100897	GSM2695735	healthy control without treatment	THP-1 24h ctrl polyA	cell_line_sample	THP-1		24h	THP-1_24h	THP-1, uninfected Control	tissue: THP-1	agent: uninfected Control	time: 24h	total RNA	GPL11154	transcriptomic	RNA-Seq		THP-1	24h
Homo sapiens	GSE100897	GSM2695737	disease without treatment	THP-1 MTB 6h polyA	cell_line_sample	THP-1		6h	THP-1_6h	THP-1, infected	tissue: THP-1	agent: Mycobacterium tuberculosis M1458	time: 6h	total RNA	GPL11154	transcriptomic	RNA-Seq		THP-1	6h
Homo sapiens	GSE100897	GSM2695738	healthy control without treatment	THP-1 6h ctrl polyA	cell_line_sample	THP-1		6h	THP-1_6h	THP-1, uninfected Control	tissue: THP-1	agent: uninfected Control	time: 6h	total RNA	GPL11154	transcriptomic	RNA-Seq		THP-1	6h
Homo sapiens	GSE100897	GSM2695727	healthy control without treatment	THP-1 BCG 24h ctrl whole	cell_line_sample	THP-1		24h	THP-1_24h	THP-1, uninfected Control	tissue: THP-1	agent: uninfected Control	time: 24h	total RNA	GPL18573	transcriptomic	RNA-Seq		THP-1	24h
Homo sapiens	GSE100897	GSM2695728	healthy control without treatment	THP-1 BCG 6h ctrl whole	cell_line_sample	THP-1		6h	THP-1_6h	THP-1, uninfected Control	tissue: THP-1	agent: uninfected Control	time: 6h	total RNA	GPL18573	transcriptomic	RNA-Seq		THP-1	6h
Homo sapiens	GSE100897	GSM2695729	disease without treatment	THP-1 MTB 24h whole	cell_line_sample	THP-1		24h	THP-1_24h	THP-1, infected	tissue: THP-1	agent: Mycobacterium tuberculosis M1458	time: 24h	total RNA	GPL18573	transcriptomic	RNA-Seq		THP-1	24h
Homo sapiens	GSE100897	GSM2695730	disease without treatment	THP-1 MTB 6h whole	cell_line_sample	THP-1		6h	THP-1_6h	THP-1, infected	tissue: THP-1	agent: Mycobacterium tuberculosis M1458	time: 6h	total RNA	GPL18573	transcriptomic	RNA-Seq		THP-1	6h
Homo sapiens	GSE100897	GSM2695731	healthy control without treatment	THP-1 MTB 24h ctrl whole	cell_line_sample	THP-1		24h	THP-1_24h	THP-1, uninfected Control	tissue: THP-1	agent: uninfected Control	time: 24h	total RNA	GPL18573	transcriptomic	RNA-Seq		THP-1	24h
Homo sapiens	GSE100897	GSM2695732	healthy control without treatment	THP-1 MTB 6h ctrl whole	cell_line_sample	THP-1		6h	THP-1_6h	THP-1, uninfected Control	tissue: THP-1	agent: uninfected Control	time: 6h	total RNA	GPL18573	transcriptomic	RNA-Seq		THP-1	6h
Homo sapiens	GSE112482	GSM3070964	disease without treatment	Sample_857_ILC1_Mtb	primary_sample	ILC1	lung		lung_ILC1	lung	donor_id: 857	cell type: ILC1	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1		
Homo sapiens	GSE112482	GSM3070965	healthy control without treatment	Sample_857_ILC1_uninf	primary_sample	ILC1	lung		lung_ILC1	lung	donor_id: 857	cell type: ILC1	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1		
Homo sapiens	GSE112482	GSM3070966	disease without treatment	Sample_857_ILC2_Mtb	primary_sample	ILC2	lung		lung_ILC2	lung	donor_id: 857	cell type: ILC2	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2		
Homo sapiens	GSE112482	GSM3070967	healthy control without treatment	Sample_857_ILC2_uninf	primary_sample	ILC2	lung		lung_ILC2	lung	donor_id: 857	cell type: ILC2	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2		
Homo sapiens	GSE112482	GSM3070968	disease without treatment	Sample_857_ILC3neg_Mtb	primary_sample	ILC3neg	lung		lung_ILC3neg	lung	donor_id: 857	cell type: ILC3neg	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg		
Homo sapiens	GSE112482	GSM3070969	healthy control without treatment	Sample_857_ILC3neg_uninf	primary_sample	ILC3neg	lung		lung_ILC3neg	lung	donor_id: 857	cell type: ILC3neg	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg		
Homo sapiens	GSE112482	GSM3070970	disease without treatment	Sample_857_ILC3pos_Mtb	primary_sample	ILC3pos	lung		lung_ILC3pos	lung	donor_id: 857	cell type: ILC3pos	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos		
Homo sapiens	GSE112482	GSM3070971	healthy control without treatment	Sample_857_ILC3pos_uninf	primary_sample	ILC3pos	lung		lung_ILC3pos	lung	donor_id: 857	cell type: ILC3pos	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos		
Homo sapiens	GSE112482	GSM3070972	disease without treatment	Sample_857_NK_Mtb	primary_sample	NK	lung		lung_NK	lung	donor_id: 857	cell type: NK	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	NK		
Homo sapiens	GSE112482	GSM3070973	healthy control without treatment	Sample_857_NK_uninf	primary_sample	NK	lung		lung_NK	lung	donor_id: 857	cell type: NK	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	NK		
Homo sapiens	GSE112482	GSM3070974	disease without treatment	Sample_857_susp_Mtb	primary_sample	susp	lung		lung_susp	lung	donor_id: 857	cell type: susp	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	susp		
Homo sapiens	GSE112482	GSM3070975	healthy control without treatment	Sample_857_susp_uninf	primary_sample	susp	lung		lung_susp	lung	donor_id: 857	cell type: susp	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	susp		
Homo sapiens	GSE112482	GSM3070976	disease without treatment	Sample_860_ILC1_Mtb	primary_sample	ILC1	lung		lung_ILC1	lung	donor_id: 860	cell type: ILC1	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1		
Homo sapiens	GSE112482	GSM3070977	healthy control without treatment	Sample_860_ILC1_uninf	primary_sample	ILC1	lung		lung_ILC1	lung	donor_id: 860	cell type: ILC1	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1		
Homo sapiens	GSE112482	GSM3070978	disease without treatment	Sample_860_ILC2_Mtb	primary_sample	ILC2	lung		lung_ILC2	lung	donor_id: 860	cell type: ILC2	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2		
Homo sapiens	GSE112482	GSM3070979	healthy control without treatment	Sample_860_ILC2_uninf	primary_sample	ILC2	lung		lung_ILC2	lung	donor_id: 860	cell type: ILC2	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2		
Homo sapiens	GSE112482	GSM3070980	disease without treatment	Sample_860_ILC3neg_Mtb	primary_sample	ILC3neg	lung		lung_ILC3neg	lung	donor_id: 860	cell type: ILC3neg	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg		
Homo sapiens	GSE112482	GSM3070981	healthy control without treatment	Sample_860_ILC3neg_uninf	primary_sample	ILC3neg	lung		lung_ILC3neg	lung	donor_id: 860	cell type: ILC3neg	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg		
Homo sapiens	GSE112482	GSM3070982	disease without treatment	Sample_860_ILC3pos_Mtb	primary_sample	ILC3pos	lung		lung_ILC3pos	lung	donor_id: 860	cell type: ILC3pos	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos		
Homo sapiens	GSE112482	GSM3070983	healthy control without treatment	Sample_860_ILC3pos_uninf	primary_sample	ILC3pos	lung		lung_ILC3pos	lung	donor_id: 860	cell type: ILC3pos	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos		
Homo sapiens	GSE112482	GSM3070984	disease without treatment	Sample_860_NK_Mtb	primary_sample	NK	lung		lung_NK	lung	donor_id: 860	cell type: NK	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	NK		
Homo sapiens	GSE112482	GSM3070985	healthy control without treatment	Sample_860_NK_uninf	primary_sample	NK	lung		lung_NK	lung	donor_id: 860	cell type: NK	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	NK		
Homo sapiens	GSE112482	GSM3070986	disease without treatment	Sample_860_susp_Mtb	primary_sample	susp	lung		lung_susp	lung	donor_id: 860	cell type: susp	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	susp		
Homo sapiens	GSE112482	GSM3070987	healthy control without treatment	Sample_860_susp_uninf	primary_sample	susp	lung		lung_susp	lung	donor_id: 860	cell type: susp	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	susp		
Homo sapiens	GSE112482	GSM3070988	disease without treatment	Sample_869_ILC1_Mtb	primary_sample	ILC1	lung		lung_ILC1	lung	donor_id: 869	cell type: ILC1	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1		
Homo sapiens	GSE112482	GSM3070989	healthy control without treatment	Sample_869_ILC1_uninf	primary_sample	ILC1	lung		lung_ILC1	lung	donor_id: 869	cell type: ILC1	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1		
Homo sapiens	GSE112482	GSM3070990	disease without treatment	Sample_869_ILC2_Mtb	primary_sample	ILC2	lung		lung_ILC2	lung	donor_id: 869	cell type: ILC2	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2		
Homo sapiens	GSE112482	GSM3070991	healthy control without treatment	Sample_869_ILC2_uninf	primary_sample	ILC2	lung		lung_ILC2	lung	donor_id: 869	cell type: ILC2	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2		
Homo sapiens	GSE112482	GSM3070992	disease without treatment	Sample_869_ILC3neg_Mtb	primary_sample	ILC3neg	lung		lung_ILC3neg	lung	donor_id: 869	cell type: ILC3neg	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg		
Homo sapiens	GSE112482	GSM3070993	healthy control without treatment	Sample_869_ILC3neg_uninf	primary_sample	ILC3neg	lung		lung_ILC3neg	lung	donor_id: 869	cell type: ILC3neg	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg		
Homo sapiens	GSE112482	GSM3070994	disease without treatment	Sample_869_ILC3pos_Mtb	primary_sample	ILC3pos	lung		lung_ILC3pos	lung	donor_id: 869	cell type: ILC3pos	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos		
Homo sapiens	GSE112482	GSM3070995	healthy control without treatment	Sample_869_ILC3pos_uninf	primary_sample	ILC3pos	lung		lung_ILC3pos	lung	donor_id: 869	cell type: ILC3pos	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos		
Homo sapiens	GSE112482	GSM3070996	disease without treatment	Sample_869_NK_Mtb	primary_sample	NK	lung		lung_NK	lung	donor_id: 869	cell type: NK	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	NK		
Homo sapiens	GSE112482	GSM3070997	healthy control without treatment	Sample_869_NK_uninf	primary_sample	NK	lung		lung_NK	lung	donor_id: 869	cell type: NK	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	NK		
Homo sapiens	GSE112482	GSM3070998	disease without treatment	Sample_869_susp_Mtb	primary_sample	susp	lung		lung_susp	lung	donor_id: 869	cell type: susp	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	susp		
Homo sapiens	GSE112482	GSM3070999	healthy control without treatment	Sample_869_susp_uninf	primary_sample	susp	lung		lung_susp	lung	donor_id: 869	cell type: susp	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	susp		
Homo sapiens	GSE112482	GSM3071000	disease without treatment	Sample_875_ILC1_Mtb	primary_sample	ILC1	lung		lung_ILC1	lung	donor_id: 875	cell type: ILC1	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1		
Homo sapiens	GSE112482	GSM3071001	healthy control without treatment	Sample_875_ILC1_uninf	primary_sample	ILC1	lung		lung_ILC1	lung	donor_id: 875	cell type: ILC1	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1		
Homo sapiens	GSE112482	GSM3071002	disease without treatment	Sample_875_ILC2_Mtb	primary_sample	ILC2	lung		lung_ILC2	lung	donor_id: 875	cell type: ILC2	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2		
Homo sapiens	GSE112482	GSM3071003	healthy control without treatment	Sample_875_ILC2_uninf	primary_sample	ILC2	lung		lung_ILC2	lung	donor_id: 875	cell type: ILC2	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2		
Homo sapiens	GSE112482	GSM3071004	disease without treatment	Sample_875_ILC3neg_Mtb	primary_sample	ILC3neg	lung		lung_ILC3neg	lung	donor_id: 875	cell type: ILC3neg	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg		
Homo sapiens	GSE112482	GSM3071005	healthy control without treatment	Sample_875_ILC3neg_uninf	primary_sample	ILC3neg	lung		lung_ILC3neg	lung	donor_id: 875	cell type: ILC3neg	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg		
Homo sapiens	GSE112482	GSM3071006	healthy control without treatment	Sample_875_ILC3pos_Mtb	primary_sample	ILC3pos	lung		lung_ILC3pos	lung	donor_id: 875	cell type: ILC3pos	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos		
Homo sapiens	GSE112482	GSM3071007	healthy control without treatment	Sample_875_ILC3pos_uninf	primary_sample	ILC3pos	lung		lung_ILC3pos	lung	donor_id: 875	cell type: ILC3pos	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos		
Homo sapiens	GSE112482	GSM3071008	disease without treatment	Sample_875_NK_Mtb	primary_sample	NK	lung		lung_NK	lung	donor_id: 875	cell type: NK	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	NK		
Homo sapiens	GSE112482	GSM3071009	healthy control without treatment	Sample_875_NK_uninf	primary_sample	NK	lung		lung_NK	lung	donor_id: 875	cell type: NK	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	NK		
Homo sapiens	GSE112482	GSM3071010	disease without treatment	Sample_875_susp_Mtb	primary_sample	susp	lung		lung_susp	lung	donor_id: 875	cell type: susp	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	susp		
Homo sapiens	GSE112482	GSM3071011	healthy control without treatment	Sample_875_susp_uninf	primary_sample	susp	lung		lung_susp	lung	donor_id: 875	cell type: susp	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	susp		
Homo sapiens	GSE112482	GSM3071012	disease without treatment	Sample_903_ILC1_Mtb	primary_sample	ILC1	lung		lung_ILC1	lung	donor_id: 903	cell type: ILC1	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1		
Homo sapiens	GSE112482	GSM3071013	healthy control without treatment	Sample_903_ILC1_uninf	primary_sample	ILC1	lung		lung_ILC1	lung	donor_id: 903	cell type: ILC1	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1		
Homo sapiens	GSE112482	GSM3071014	disease without treatment	Sample_903_ILC2_Mtb	primary_sample	ILC2	lung		lung_ILC2	lung	donor_id: 903	cell type: ILC2	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2		
Homo sapiens	GSE112482	GSM3071015	healthy control without treatment	Sample_903_ILC2_uninf	primary_sample	ILC2	lung		lung_ILC2	lung	donor_id: 903	cell type: ILC2	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2		
Homo sapiens	GSE112482	GSM3071016	disease without treatment	Sample_903_ILC3neg_Mtb	primary_sample	ILC3neg	lung		lung_ILC3neg	lung	donor_id: 903	cell type: ILC3neg	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg		
Homo sapiens	GSE112482	GSM3071017	healthy control without treatment	Sample_903_ILC3neg_uninf	primary_sample	ILC3neg	lung		lung_ILC3neg	lung	donor_id: 903	cell type: ILC3neg	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg		
Homo sapiens	GSE112482	GSM3071018	disease without treatment	Sample_903_ILC3pos_Mtb	primary_sample	ILC3pos	lung		lung_ILC3pos	lung	donor_id: 903	cell type: ILC3pos	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos		
Homo sapiens	GSE112482	GSM3071019	healthy control without treatment	Sample_903_ILC3pos_uninf	primary_sample	ILC3pos	lung		lung_ILC3pos	lung	donor_id: 903	cell type: ILC3pos	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos		
Homo sapiens	GSE112482	GSM3071020	disease without treatment	Sample_903_NK_Mtb	primary_sample	NK	lung		lung_NK	lung	donor_id: 903	cell type: NK	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	NK		
Homo sapiens	GSE112482	GSM3071021	healthy control without treatment	Sample_903_NK_uninf	primary_sample	NK	lung		lung_NK	lung	donor_id: 903	cell type: NK	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	NK		
Homo sapiens	GSE112482	GSM3071022	disease without treatment	Sample_903_susp_Mtb	primary_sample	susp	lung		lung_susp	lung	donor_id: 903	cell type: susp	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	susp		
Homo sapiens	GSE112482	GSM3071023	healthy control without treatment	Sample_903_susp_uninf	primary_sample	susp	lung		lung_susp	lung	donor_id: 903	cell type: susp	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	susp		
Homo sapiens	GSE112482	GSM3071024	disease without treatment	Sample_905_ILC1_Mtb	primary_sample	ILC1	lung		lung_ILC1	lung	donor_id: 905	cell type: ILC1	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1		
Homo sapiens	GSE112482	GSM3071025	healthy control without treatment	Sample_905_ILC1_uninf	primary_sample	ILC1	lung		lung_ILC1	lung	donor_id: 905	cell type: ILC1	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1		
Homo sapiens	GSE112482	GSM3071026	disease without treatment	Sample_905_ILC2_Mtb	primary_sample	ILC2	lung		lung_ILC2	lung	donor_id: 905	cell type: ILC2	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2		
