ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0032467	positive regulation of cytokinesis	0.017673048600883652	40/16075	5.509359047942365e-8	2.0985198247477766e-6	1.929451205694752e-6	INCENP/CDC25B/RACGAP1/PKP4/KIF20B/KIF23/AURKB/CDCA8/KIF14/CDC6/BIRC5/CIT	12	39	-0.1629121854958312	0.7709827708086905
GO:0032508	DNA duplex unwinding	0.035346097201767304	75/16075	2.3573728894425753e-15	2.034076036033308e-13	1.8701993728703397e-13	MCM5/ERCC2/RFC2/MCM6/RFC5/RFC4/MCM3/DNA2/MCM8/GINS4/CHTF18/RFC3/RAD54B/MCM4/MCM2/RAD51/DSCC1/RECQL4/BLM/POLQ/MCM7/GINS2/CDC45/TOP2A	24	NA	NA	NA
GO:0033045	regulation of sister chromatid segregation	0.050073637702503684	103/16075	1.0519390293258875e-21	1.34775703514844e-19	1.2391741101437012e-19	SMARCA2/ANAPC15/MAD1L1/GEN1/INCENP/XRCC3/KNTC1/SPDL1/TACC3/FBXO5/HASPIN/CCNB1/ZWINT/MAD2L1/CENPE/TTK/TRIP13/BUB1/AURKB/ESPL1/SPC24/NUF2/NDC80/CDCA8/CDT1/CDC6/BIRC5/UBE2C/DLGAP5/PLK1/CENPF/CDC20/BUB1B/SPC25	34	60	0.4477587732398758	1.2301791688730872
GO:0033046	negative regulation of sister chromatid segregation	0.039764359351988215	48/16075	4.5759344542655735e-25	1.4882346825103726e-22	1.3683340841783615e-22	ANAPC15/MAD1L1/GEN1/INCENP/XRCC3/KNTC1/SPDL1/FBXO5/HASPIN/CCNB1/ZWINT/MAD2L1/TTK/TRIP13/BUB1/AURKB/SPC24/NUF2/NDC80/CDCA8/CDT1/BIRC5/PLK1/CENPF/CDC20/BUB1B/SPC25	27	22	1.2205372234918284	1.9347730537333037
GO:0033047	regulation of mitotic sister chromatid segregation	0.039764359351988215	53/16075	1.6346469641783014e-23	2.6581874479022532e-21	2.4440288415831853e-21	ANAPC15/MAD1L1/GEN1/INCENP/XRCC3/KNTC1/SPDL1/FBXO5/HASPIN/CCNB1/ZWINT/MAD2L1/TTK/TRIP13/BUB1/AURKB/SPC24/NUF2/NDC80/CDCA8/CDT1/BIRC5/PLK1/CENPF/CDC20/BUB1B/SPC25	27	44	0.5273900429318831	1.2980304677254755
GO:0033048	negative regulation of mitotic sister chromatid segregation	0.039764359351988215	48/16075	4.5759344542655735e-25	1.4882346825103726e-22	1.3683340841783615e-22	ANAPC15/MAD1L1/GEN1/INCENP/XRCC3/KNTC1/SPDL1/FBXO5/HASPIN/CCNB1/ZWINT/MAD2L1/TTK/TRIP13/BUB1/AURKB/SPC24/NUF2/NDC80/CDCA8/CDT1/BIRC5/PLK1/CENPF/CDC20/BUB1B/SPC25	27	22	1.2205372234918284	1.9347730537333037
GO:0033260	nuclear DNA replication	0.025036818851251842	38/16075	4.4706105026803525e-14	3.5663662651570808e-12	3.279039639801101e-12	GMNN/POLA1/MCM6/DONSON/ATAD5/LIG1/FEN1/MCM3/PCNA/DNA2/CDC7/MCM4/MCM2/RAD51/BLM/CDT1/CDC45	17	11	1.4510608821036606	2.157660403122857
GO:0033314	mitotic DNA replication checkpoint signaling	0.007363770250368188	10/16075	2.7974112663796e-5	6.998493984765059e-4	6.434655750071544e-4	TOPBP1/ORC1/CLSPN/CDC6/TICRR	5	3	1.5265684346118056	2.2313146272043807
GO:0034080	CENP-A containing chromatin assembly	0.007363770250368188	8/16075	6.673230361069488e-6	1.9593345810140137e-4	1.8014795119466098e-4	NASP/CENPW/OIP5/HJURP/CENPA	5	3	1.5265684346118056	2.2313146272043807
GO:0034111	negative regulation of homotypic cell-cell adhesion	0.005891016200294551	14/16075	0.0022498924481306262	0.03789858673584178	0.034845262365050964	CD9/UBASH3B/ZNF703/ABAT	4	6	0.6102777027376506	1.3701530857168918
GO:0034501	protein localization to kinetochore	0.013254786450662739	18/16075	1.4022240708398405e-8	5.700580164914275e-7	5.241309204060255e-7	KNTC1/SPDL1/CENPQ/KNL1/TTK/AURKB/NDC80/CDT1/CDK1	9	11	0.8150721153836639	1.5539441624040722
GO:0034502	protein localization to chromosome	0.029455081001472753	115/16075	6.62269935713245e-8	2.477944502827965e-6	2.27830728699489e-6	VRK1/RPA1/EZH2/SLF1/KNTC1/SPDL1/CENPQ/MCM8/HASPIN/KNL1/TTK/AURKB/CDCA5/NDC80/ESCO2/CDT1/CDK1/PLK1/CENPA/BUB1B	20	77	-0.33233033745387786	0.6667413358320121
