GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:0006046	N-acetylglucosamine catabolic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0006047	UDP-N-acetylglucosamine metabolic process	14	0	0	1	1	1		0		0	0	0	0	0
GO:0006048	UDP-N-acetylglucosamine biosynthetic process	9	0	0	1	1	1		0		0	0	0	0	0
GO:0006049	UDP-N-acetylglucosamine catabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0006050	mannosamine metabolic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0006051	N-acetylmannosamine metabolic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0006054	N-acetylneuraminate metabolic process	12	0	0	1	1	1		0		0	0	0	0	0
GO:0006055	CMP-N-acetylneuraminate biosynthetic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0006059	hexitol metabolic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0006060	sorbitol metabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0006062	sorbitol catabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0006063	uronic acid metabolic process	17	0	0	1	1	1		0		0	0	0	0	0
GO:0006064	glucuronate catabolic process	5	0	0	1	1	1		0		0	0	0	0	0
GO:0006065	UDP-glucuronate biosynthetic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0006066	alcohol metabolic process	352	0	0	1	1	1		0		0	0	0	0	0
GO:0006067	ethanol metabolic process	21	7.423904974016332e-4	21/16075	0.8410248224330664	0.9999990727778187	0.9999990727778187	SULT1A1	1		9	1	1.0761926422926025	-0.07342948130255494	0.8304153800189954
GO:0006068	ethanol catabolic process	12	7.423904974016332e-4	12/16075	0.6502559254742133	0.9999990727778187	0.9999990727778187	SULT1A1	1		9	1	1.0761926422926025	-0.07342948130255494	0.8304153800189954
GO:0006069	ethanol oxidation	9	0	0	1	1	1		0		0	0	0	0	0
GO:0006071	glycerol metabolic process	19	0.0014847809948032665	19/16075	0.48100291238574855	0.9999990727778187	0.9999990727778187	DGAT2/PCK1	2		5	0	0.597884801273668	-Inf	0
GO:0006072	glycerol-3-phosphate metabolic process	9	7.423904974016332e-4	9/16075	0.5451730821247531	0.9999990727778187	0.9999990727778187	GPD1	1		1	0	0.11957696025473362	-Inf	0
GO:0006073	cellular glucan metabolic process	72	0.007423904974016332	70/16075	0.06579800298055082	0.9999990727778187	0.9999990727778187	PHKA2/PHKA1/PHKG2/EPM2AIP1/PER2/PHKG1/GAA/PPP1R3E/PCDH12/GNMT	10		0	0	0	0	0
GO:0006081	cellular aldehyde metabolic process	67	0.003711952487008166	66/16075	0.6580702978403551	0.9999990727778187	0.9999990727778187	CLCN2/GATD1/ALPL/WNT4/ALDOB	5		37	0	4.424347529425144	-Inf	0
GO:0006082	organic acid metabolic process	930	0	0	1	1	1		0		0	0	0	0	0
GO:0006083	acetate metabolic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0006084	acetyl-CoA metabolic process	31	0.0014847809948032665	31/16075	0.7458616044428995	0.9999990727778187	0.9999990727778187	DIP2A/PIPOX	2		14	1	1.6740774435662704	-0.5152622335815943	0.5665460038645628
GO:0006085	acetyl-CoA biosynthetic process	17	7.423904974016332e-4	17/16075	0.7742949835392013	0.9999990727778187	0.9999990727778187	DIP2A	1		11	0	1.3153465628020697	-Inf	0
GO:0006086	acetyl-CoA biosynthetic process from pyruvate	10	0	0	1	1	1		0		0	0	0	0	0
GO:0006089	lactate metabolic process	16	0.0014847809948032665	16/16075	0.3927403283711576	0.9999990727778187	0.9999990727778187	PER2/GATD1	2		5	0	0.597884801273668	-Inf	0
GO:0006090	pyruvate metabolic process	112	0.005196733481811433	112/16075	0.8386764309593231	0.9999990727778187	0.9999990727778187	JMJD8/HDAC4/APP/GPD1/ALDOB/PCK1/GAPDHS	7		38	1	4.543924489679878	-1.5137910636927214	0.2183352563436991
GO:0006091	generation of precursor metabolites and energy	498	0	0	1	1	1		0		0	0	0	0	0
GO:0006094	gluconeogenesis	81	0.008908685968819599	81/16075	0.03679595937224491	0.9999990727778187	0.9999990727778187	DGAT2/KAT2A/SLC35B4/SLC37A4/PER2/ZNF692/GPD1/GPT/GNMT/MST1/STK11/PCK1	12		20	2	2.391539205094672	-0.17878999696038134	0.7607493420961396
GO:0006096	glycolytic process	85	0.004454342984409799	85/16075	0.7268086873996569	0.9999990727778187	0.9999990727778187	JMJD8/HDAC4/APP/GPD1/ALDOB/GAPDHS	6		23	1	2.750270085858873	-1.0116991198954852	0.3560311916067207
GO:0006097	glyoxylate cycle	2	0	0	1	1	1		0		0	0	0	0	0
GO:0006098	pentose-phosphate shunt	19	0	0	1	1	1		0		0	0	0	0	0
GO:0006099	tricarboxylic acid cycle	32	0	0	1	1	1		0		0	0	0	0	0
