ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048146	positive regulation of fibroblast proliferation	11/951	52/16218	1.7463189504448944e-4	0.0035127233584667907	0.0025987763093050812	CDK4/CDK6/CDKN1A/EGFR/ABL1/MIF/MYC/PDGFA/ZMIZ1/CCNA2/CCNB1	11
GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	9/951	36/16218	1.7641799758043292e-4	0.003537349403714668	0.0026169951032296874	FRS2/DNMT1/EDN1/FGFR2/GNAI2/JUN/MMP2/SRC/TERT	9
GO:0010976	positive regulation of neuron projection development	21/951	150/16218	1.7944087235804288e-4	0.0035751890264754363	0.002644989540920519	TWF2/EPHA3/EPHB2/EZH2/PTK2B/ABL1/FYN/GRN/APOE/IGF1R/LYN/ATF1/NCK1/NFE2L2/PAFAH1B1/RGS2/TIAM1/DDR1/FZD1/CFLAR/WASHC5	21
GO:0030856	regulation of epithelial cell differentiation	21/951	150/16218	1.7944087235804288e-4	0.0035751890264754363	0.002644989540920519	CDKN1B/SPRED2/EZH2/GATA3/SFN/HES1/IKBKB/IL1B/NOTCH1/SERPINE1/PRKCH/PRKX/BAD/CCND1/BMP4/STAT1/STAT5B/ZFP36/PAX8/NCOA3/KEAP1	21
GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	7/951	22/16218	1.825682057187995e-4	0.003610718026280545	0.0026712745379340957	PIK3R4/PIK3C2B/PIK3C3/PIK3CA/PIK3R3/BECN1/INPP4B	7
GO:0061099	negative regulation of protein tyrosine kinase activity	7/951	22/16218	1.825682057187995e-4	0.003610718026280545	0.0026712745379340957	DUSP22/PTPRC/SNX6/CHMP6/CBLB/SH3BP5/MVP	7
GO:0006284	base-excision repair	10/951	44/16218	0.00018303685651915944	0.003610718026280545	0.0026712745379340957	PARP2/PNKP/PARP1/LIG1/PCNA/POLB/RPA1/RPA2/RPA3/HMGA2	10
GO:0048565	digestive tract development	19/951	129/16218	1.8409156391932258e-4	0.003610718026280545	0.0026712745379340957	CDKN1A/CRKL/EGFR/EXT1/FGFR2/SPDEF/GLI2/HIF1A/HOXA5/HES1/ID2/KIT/SMAD3/NOTCH1/RB1/BCL2/SRC/TBX2/TGFB3	19
GO:0051147	regulation of muscle cell differentiation	19/951	129/16218	1.8409156391932258e-4	0.003610718026280545	0.0026712745379340957	PARP2/FRS2/DNMT1/EDN1/EZH2/FGFR2/GPER1/ID2/KIT/MEF2C/FOXO4/NFATC3/NOTCH1/BCL2/RGS2/BMP4/XBP1/FZD7/TOMM70	19
GO:0031334	positive regulation of protein-containing complex assembly	25/951	195/16218	1.908396701262537e-4	0.0037198964802318676	0.0027520467339373395	CDKN1B/STUB1/EIF4G1/CTTN/PTK2B/HSPA1A/RHOA/MMP1/NCK1/PAK1/EVL/CARMIL1/MAPK9/BAX/BID/SNCA/SRC/SYK/BTK/TLR4/TP53/NR1H2/NCK2/PSRC1/CDK5R1	25
GO:0043123	positive regulation of canonical NF-kappaB signal transduction	25/951	195/16218	1.908396701262537e-4	0.0037198964802318676	0.0027520467339373395	TRIM13/MALT1/CANT1/PARP1/TICAM1/NUP62/ABL1/FYN/GAPDH/ATP2C1/HMOX1/BIRC2/IKBKB/IL1B/RHOA/GOLT1B/TERF2IP/S100A4/S100A13/TLR4/TSPAN6/CASP10/CFLAR/CD40/IKBKE	25
GO:0045579	positive regulation of B cell differentiation	6/951	16/16218	1.926052857381491e-4	0.0037238650411986264	0.0027549827471584167	PPP2R3C/BAD/STAT5B/SYK/BTK/XBP1	6
GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	8/951	29/16218	1.928176625525337e-4	0.0037238650411986264	0.0027549827471584167	CDK4/APP/RAD51C/CCND1/CCNB1/CDK1/CDC25A/CDC25B	8
GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	8/951	29/16218	1.928176625525337e-4	0.0037238650411986264	0.0027549827471584167	HMOX1/ICAM1/NOS3/SERPINE1/FAIM/BRCA1/CFLAR/ARHGEF2	8
