GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:1903020	positive regulation of glycoprotein metabolic process	25	0.0014509576320371445	25/16075	0.6471418694728217	0.9999999999999434	0.9999999999999434	POMT1/RAB1B/PLCB1/ABCA2/MUSTN1	5	11	0.8414884942842191	1.5781517705087795
GO:1903025	regulation of RNA polymerase II regulatory region sequence-specific DNA binding	14	5.803830528148578e-4	14/16075	0.8356420406431136	0.9999999999999434	0.9999999999999434	DDRGK1/ZNF593	2	2	1.629945854648489	2.3325558627812444
GO:1903026	negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding	6	2.901915264074289e-4	6/16075	0.7649299592037846	0.9999999999999434	0.9999999999999434	ZNF593	1	1	1.629945854648489	2.3325558627812444
GO:1903027	regulation of opsonization	11	8.705745792222867e-4	11/16075	0.43024936286177284	0.9999999999999434	0.9999999999999434	MYO18A/FCN1/PLA2G5	3	9	0.5313335659803794	1.3014284169990302
GO:1903028	positive regulation of opsonization	9	8.705745792222867e-4	9/16075	0.3003631047871115	0.9999999999999434	0.9999999999999434	MYO18A/FCN1/PLA2G5	3	7	0.7826479942612856	1.524374480971015
GO:1903031	regulation of microtubule plus-end binding	2	0	0	1	1	1		0	0	0	0
GO:1903033	positive regulation of microtubule plus-end binding	2	0	0	1	1	1		0	0	0	0
GO:1903034	regulation of response to wounding	157	0.006674405107370864	155/16075	0.985619046388955	0.9999999999999434	0.9999999999999434	VKORC1/GIT1/GRN/TNFRSF12A/MYLK/SMAD3/USF1/FKBP1B/DUOX2/KLKB1/CLEC7A/WFDC1/DMTN/PROS1/KLF4/DUOX1/CD36/NOS3/ABAT/SIGLEC10/ALOX5/CLDN4/PROC	23	98	0.180472591907067	1.0145532584391836
GO:1903035	negative regulation of response to wounding	87	0.003192106790481718	87/16075	0.9877874807581781	0.9999999999999434	0.9999999999999434	GIT1/SMAD3/USF1/KLKB1/WFDC1/PROS1/NOS3/ABAT/SIGLEC10/ALOX5/PROC	11	53	0.057549213894738056	0.9226466818352116
GO:1903036	positive regulation of response to wounding	69	0.002901915264074289	67/16075	0.9318874169635565	0.9999999999999434	0.9999999999999434	GRN/MYLK/USF1/FKBP1B/DUOX2/CLEC7A/DMTN/DUOX1/CD36/CLDN4	10	43	0.17133083194897258	1.0075488949880473
GO:1903037	regulation of leukocyte cell-cell adhesion	361	0	0	1	1	1		0	0	0	0
GO:1903038	negative regulation of leukocyte cell-cell adhesion	137	0.006384213580963436	133/16075	0.9352394191010895	0.9999999999999434	0.9999999999999434	MIA3/ERBB2/GLMN/CD74/NCKAP1L/ZBTB7B/BCL6/HMGB1/MAD1L1/CTSG/LAPTM5/LOXL3/PTPN6/VSIR/KLF4/SPN/DTX1/TNFAIP8L2/PLA2G5/FGL2/CLEC4G/TSPAN32	22	66	0.5313335659803794	1.3014284169990302
GO:1903039	positive regulation of leukocyte cell-cell adhesion	267	0	0	1	1	1		0	0	0	0
GO:1903041	regulation of chondrocyte hypertrophy	1	0	0	1	1	1		0	0	0	0
GO:1903043	positive regulation of chondrocyte hypertrophy	1	0	0	1	1	1		0	0	0	0
GO:1903044	protein localization to membrane raft	9	5.803830528148578e-4	9/16075	0.6060532213486249	0.9999999999999434	0.9999999999999434	REEP2/CD24	2	5	0.7136551227743341	1.4620155950789904
GO:1903046	meiotic cell cycle process	209	0	0	1	1	1		0	0	0	0
GO:1903047	mitotic cell cycle process	744	0	0	1	1	1		0	0	0	0
GO:1903050	regulation of proteolysis involved in protein catabolic process	227	0	0	1	1	1		0	0	0	0
GO:1903051	negative regulation of proteolysis involved in protein catabolic process	65	0.004062681369704005	65/16075	0.5409261987429923	0.9999999999999434	0.9999999999999434	EIF3H/PARK7/PSMF1/RPL23/UCHL5/GIPC1/RPL11/DDRGK1/MTM1/OPHN1/ALAD/MAP1A/FHIT/SUFU	14	54	0.2800191376994737	1.0924904164765412
GO:1903052	positive regulation of proteolysis involved in protein catabolic process	135	0.00812536273940801	133/16075	0.5774166665251572	0.9999999999999434	0.9999999999999434	ATXN3/USP13/GABARAP/COP1/PABIR1/RCHY1/STUB1/HSPBP1/GCLC/CCDC22/DDRGK1/FBXW8/BCAP31/SIRT2/TRIB3/ELOB/LRRK2/TRIB2/ATP5IF1/SH3RF1/DISC1/DAB2/OSBPL7/LAPTM5/CEBPA/CTSC/TREM2/NKD2	28	88	0.48481355034548673	1.2615680895465455
GO:1903053	regulation of extracellular matrix organization	57	0.002901915264074289	57/16075	0.8084880258267932	0.9999999999999434	0.9999999999999434	ABL1/TNFRSF1A/AGT/SMAD3/COLGALT1/LAMB2/LAMA2/TGFB1/CHADL/CST3	10	35	0.37718288615312134	1.171334416115973
GO:1903054	negative regulation of extracellular matrix organization	11	0.0011607661056297156	11/16075	0.19427454090471782	0.9999999999999434	0.9999999999999434	TNFRSF1A/TGFB1/CHADL/CST3	4	8	0.9367986740885438	1.666298933052294
GO:1903055	positive regulation of extracellular matrix organization	28	0.0014509576320371445	28/16075	0.747732114469948	0.9999999999999434	0.9999999999999434	ABL1/AGT/SMAD3/COLGALT1/TGFB1	5	17	0.4061704230263736	1.195350138436181
GO:1903056	regulation of melanosome organization	2	0	0	1	1	1		0	0	0	0
GO:1903059	regulation of protein lipidation	10	0	0	1	1	1		0	0	0	0
GO:1903060	negative regulation of protein lipidation	1	0	0	1	1	1		0	0	0	0
GO:1903061	positive regulation of protein lipidation	4	0	0	1	1	1		0	0	0	0
GO:1903062	regulation of reverse cholesterol transport	1	0	0	1	1	1		0	0	0	0
GO:1903063	negative regulation of reverse cholesterol transport	0	0	0	1	1	1		0	0	0	0
GO:1903064	positive regulation of reverse cholesterol transport	1	0	0	1	1	1		0	0	0	0
GO:1903069	regulation of ER-associated ubiquitin-dependent protein catabolic process	9	2.901915264074289e-4	9/16075	0.8860547199871889	0.9999999999999434	0.9999999999999434	BCAP31	1	0	0	0
GO:1903070	negative regulation of ER-associated ubiquitin-dependent protein catabolic process	3	0	0	1	1	1		0	0	0	0
GO:1903071	positive regulation of ER-associated ubiquitin-dependent protein catabolic process	7	2.901915264074289e-4	7/16075	0.815340772607466	0.9999999999999434	0.9999999999999434	BCAP31	1	0	0	0
GO:1903072	regulation of death-inducing signaling complex assembly	1	0	0	1	1	1		0	0	0	0
