title	organism_ch1	series_id	geo_accession	CLASSIFICATION_STANDARDIZED	SAMPLE_TYPE	source_name_ch1	CELL_SOURCE_CLEAN	cell type:ch1	CL:CODE	tissue:ch1	TISSUE_SOURCE_CLEAN	UBERON:CODE	CONTEXT	time point:ch1	time:ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	molecule_ch1	platform_id	library_source	library_strategy
PBMCs, Tuberculosis patient_1	Homo sapiens	GSE148171	GSM4455458	Disease without treatment	blood_sample	PBMCs isolated from naïve active tuberculosis patients	PBMC	PBMC	CL:2000001		Blood	UBERON:0000178				cell type: PBMC	disease state: tuberculosis			total RNA	GPL16791	transcriptomic	RNA-Seq
PBMCs, Tuberculosis patient_2	Homo sapiens	GSE148171	GSM4455459	Disease without treatment	blood_sample	PBMCs isolated from naïve active tuberculosis patients	PBMC	PBMC	CL:2000001		Blood	UBERON:0000178				cell type: PBMC	disease state: tuberculosis			total RNA	GPL16791	transcriptomic	RNA-Seq
PBMCs, Tuberculosis patient_3	Homo sapiens	GSE148171	GSM4455460	Disease without treatment	blood_sample	PBMCs isolated from naïve active tuberculosis patients	PBMC	PBMC	CL:2000001		Blood	UBERON:0000178				cell type: PBMC	disease state: tuberculosis			total RNA	GPL16791	transcriptomic	RNA-Seq
PBMCs, Tuberculosis patient_4	Homo sapiens	GSE148171	GSM4455461	Disease without treatment	blood_sample	PBMCs isolated from naïve active tuberculosis patients	PBMC	PBMC	CL:2000001		Blood	UBERON:0000178				cell type: PBMC	disease state: tuberculosis			total RNA	GPL16791	transcriptomic	RNA-Seq
PBMCs, Tuberculosis patient_5	Homo sapiens	GSE148171	GSM4455462	Disease without treatment	blood_sample	PBMCs isolated from naïve active tuberculosis patients	PBMC	PBMC	CL:2000001		Blood	UBERON:0000178				cell type: PBMC	disease state: tuberculosis			total RNA	GPL16791	transcriptomic	RNA-Seq
PBMCs, Healthy indivudual_1	Homo sapiens	GSE148171	GSM4455463	Healthy Control without treatment	blood_sample	PBMCs isolated from Healthy individuals	PBMC	PBMC	CL:2000001		Blood	UBERON:0000178				cell type: PBMC	disease state: control			total RNA	GPL16791	transcriptomic	RNA-Seq
PBMCs, Healthy indivudual_2	Homo sapiens	GSE148171	GSM4455464	Healthy Control without treatment	blood_sample	PBMCs isolated from Healthy individuals	PBMC	PBMC	CL:2000001		Blood	UBERON:0000178				cell type: PBMC	disease state: control			total RNA	GPL16791	transcriptomic	RNA-Seq
PBMCs, Healthy indivudual_3	Homo sapiens	GSE148171	GSM4455465	Healthy Control without treatment	blood_sample	PBMCs isolated from Healthy individuals	PBMC	PBMC	CL:2000001		Blood	UBERON:0000178				cell type: PBMC	disease state: control			total RNA	GPL16791	transcriptomic	RNA-Seq
PBMCs, Healthy indivudual_4	Homo sapiens	GSE148171	GSM4455466	Healthy Control without treatment	blood_sample	PBMCs isolated from Healthy individuals	PBMC	PBMC	CL:2000001		Blood	UBERON:0000178				cell type: PBMC	disease state: control			total RNA	GPL16791	transcriptomic	RNA-Seq
Tuberculosis patient_1	Homo sapiens	GSE198557	GSM5952180	Disease without treatment	blood_sample	PBMCs isolated from naïve active tuberculosis patients	PBMC	PBMCs	CL:2000001		Blood	UBERON:0000178				subject status: Tuberculosis patient	cell type: PBMCs	molecule type: rRNA-depleted RNA		total RNA	GPL16791	transcriptomic	RNA-Seq
Tuberculosis patient_2	Homo sapiens	GSE198557	GSM5952181	Disease without treatment	blood_sample	PBMCs isolated from naïve active tuberculosis patients	PBMC	PBMCs	CL:2000001		Blood	UBERON:0000178				subject status: Tuberculosis patient	cell type: PBMCs	molecule type: rRNA-depleted RNA		total RNA	GPL16791	transcriptomic	RNA-Seq
Tuberculosis patient_3	Homo sapiens	GSE198557	GSM5952182	Disease without treatment	blood_sample	PBMCs isolated from naïve active tuberculosis patients	PBMC	PBMCs	CL:2000001		Blood	UBERON:0000178				subject status: Tuberculosis patient	cell type: PBMCs	molecule type: rRNA-depleted RNA		total RNA	GPL16791	transcriptomic	RNA-Seq
Tuberculosis patient_4	Homo sapiens	GSE198557	GSM5952183	Disease without treatment	blood_sample	PBMCs isolated from naïve active tuberculosis patients	PBMC	PBMCs	CL:2000001		Blood	UBERON:0000178				subject status: Tuberculosis patient	cell type: PBMCs	molecule type: rRNA-depleted RNA		total RNA	GPL16791	transcriptomic	RNA-Seq
Tuberculosis patient_5	Homo sapiens	GSE198557	GSM5952184	Disease without treatment	blood_sample	PBMCs isolated from naïve active tuberculosis patients	PBMC	PBMCs	CL:2000001		Blood	UBERON:0000178				subject status: Tuberculosis patient	cell type: PBMCs	molecule type: rRNA-depleted RNA		total RNA	GPL16791	transcriptomic	RNA-Seq
Tuberculosis patient_6	Homo sapiens	GSE198557	GSM5952185	Disease without treatment	blood_sample	PBMCs isolated from naïve active tuberculosis patients	PBMC	PBMCs	CL:2000001		Blood	UBERON:0000178				subject status: Tuberculosis patient	cell type: PBMCs	molecule type: rRNA-depleted RNA		total RNA	GPL16791	transcriptomic	RNA-Seq
Healthy indivudual_1	Homo sapiens	GSE198557	GSM5952186	Healthy Control without treatment	blood_sample	PBMCs isolated from Healthy individuals	PBMC	PBMCs	CL:2000001		Blood	UBERON:0000178				subject status: Healthy individual	cell type: PBMCs	molecule type: rRNA-depleted RNA		total RNA	GPL16791	transcriptomic	RNA-Seq
Healthy indivudual_2	Homo sapiens	GSE198557	GSM5952187	Healthy Control without treatment	blood_sample	PBMCs isolated from Healthy individuals	PBMC	PBMCs	CL:2000001		Blood	UBERON:0000178				subject status: Healthy individual	cell type: PBMCs	molecule type: rRNA-depleted RNA		total RNA	GPL16791	transcriptomic	RNA-Seq
Healthy indivudual_3	Homo sapiens	GSE198557	GSM5952188	Healthy Control without treatment	blood_sample	PBMCs isolated from Healthy individuals	PBMC	PBMCs	CL:2000001		Blood	UBERON:0000178				subject status: Healthy individual	cell type: PBMCs	molecule type: rRNA-depleted RNA		total RNA	GPL16791	transcriptomic	RNA-Seq
Healthy indivudual_4	Homo sapiens	GSE198557	GSM5952189	Healthy Control without treatment	blood_sample	PBMCs isolated from Healthy individuals	PBMC	PBMCs	CL:2000001		Blood	UBERON:0000178				subject status: Healthy individual	cell type: PBMCs	molecule type: rRNA-depleted RNA		total RNA	GPL16791	transcriptomic	RNA-Seq
Healthy indivudual_5	Homo sapiens	GSE198557	GSM5952190	Healthy Control without treatment	blood_sample	PBMCs isolated from Healthy individuals	PBMC	PBMCs	CL:2000001		Blood	UBERON:0000178				subject status: Healthy individual	cell type: PBMCs	molecule type: rRNA-depleted RNA		total RNA	GPL16791	transcriptomic	RNA-Seq
Healthy indivudual_6	Homo sapiens	GSE198557	GSM5952191	Healthy Control without treatment	blood_sample	PBMCs isolated from Healthy individuals	PBMC	PBMCs	CL:2000001		Blood	UBERON:0000178				subject status: Healthy individual	cell type: PBMCs	molecule type: rRNA-depleted RNA		total RNA	GPL16791	transcriptomic	RNA-Seq
Sample_857_ILC1_Mtb	Homo sapiens	GSE112482	GSM3070964	Disease without treatment	primary_sample	Lung	ILC1	ILC1	ILC1		Lung	UBERON:0002048				donor_id: 857	cell type: ILC1	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_857_ILC1_uninf	Homo sapiens	GSE112482	GSM3070965	Healthy Control without treatment	primary_sample	Lung	ILC1	ILC1	ILC1		Lung	UBERON:0002048				donor_id: 857	cell type: ILC1	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_857_ILC2_Mtb	Homo sapiens	GSE112482	GSM3070966	Disease without treatment	primary_sample	Lung	ILC2	ILC2	ILC2		Lung	UBERON:0002048				donor_id: 857	cell type: ILC2	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_857_ILC2_uninf	Homo sapiens	GSE112482	GSM3070967	Healthy Control without treatment	primary_sample	Lung	ILC2	ILC2	ILC2		Lung	UBERON:0002048				donor_id: 857	cell type: ILC2	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_857_ILC3neg_Mtb	Homo sapiens	GSE112482	GSM3070968	Disease without treatment	primary_sample	Lung	ILC3neg	ILC3neg	ILC3neg		Lung	UBERON:0002048				donor_id: 857	cell type: ILC3neg	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_857_ILC3neg_uninf	Homo sapiens	GSE112482	GSM3070969	Healthy Control without treatment	primary_sample	Lung	ILC3neg	ILC3neg	ILC3neg		Lung	UBERON:0002048				donor_id: 857	cell type: ILC3neg	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_857_ILC3pos_Mtb	Homo sapiens	GSE112482	GSM3070970	Disease without treatment	primary_sample	Lung	ILC3pos	ILC3pos	ILC3pos		Lung	UBERON:0002048				donor_id: 857	cell type: ILC3pos	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_857_ILC3pos_uninf	Homo sapiens	GSE112482	GSM3070971	Healthy Control without treatment	primary_sample	Lung	ILC3pos	ILC3pos	ILC3pos		Lung	UBERON:0002048				donor_id: 857	cell type: ILC3pos	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_857_NK_Mtb	Homo sapiens	GSE112482	GSM3070972	Disease without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 857	cell type: NK	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_857_NK_uninf	Homo sapiens	GSE112482	GSM3070973	Healthy Control without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 857	cell type: NK	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_857_susp_Mtb	Homo sapiens	GSE112482	GSM3070974	Disease without treatment	primary_sample	Lung	susp	susp	susp		Lung	UBERON:0002048				donor_id: 857	cell type: susp	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_857_susp_uninf	Homo sapiens	GSE112482	GSM3070975	Healthy Control without treatment	primary_sample	Lung	susp	susp	susp		Lung	UBERON:0002048				donor_id: 857	cell type: susp	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_860_ILC1_Mtb	Homo sapiens	GSE112482	GSM3070976	Disease without treatment	primary_sample	Lung	ILC1	ILC1	ILC1		Lung	UBERON:0002048				donor_id: 860	cell type: ILC1	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_860_ILC1_uninf	Homo sapiens	GSE112482	GSM3070977	Healthy Control without treatment	primary_sample	Lung	ILC1	ILC1	ILC1		Lung	UBERON:0002048				donor_id: 860	cell type: ILC1	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_860_ILC2_Mtb	Homo sapiens	GSE112482	GSM3070978	Disease without treatment	primary_sample	Lung	ILC2	ILC2	ILC2		Lung	UBERON:0002048				donor_id: 860	cell type: ILC2	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_860_ILC2_uninf	Homo sapiens	GSE112482	GSM3070979	Healthy Control without treatment	primary_sample	Lung	ILC2	ILC2	ILC2		Lung	UBERON:0002048				donor_id: 860	cell type: ILC2	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_860_ILC3neg_Mtb	Homo sapiens	GSE112482	GSM3070980	Disease without treatment	primary_sample	Lung	ILC3neg	ILC3neg	ILC3neg		Lung	UBERON:0002048				donor_id: 860	cell type: ILC3neg	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_860_ILC3neg_uninf	Homo sapiens	GSE112482	GSM3070981	Healthy Control without treatment	primary_sample	Lung	ILC3neg	ILC3neg	ILC3neg		Lung	UBERON:0002048				donor_id: 860	cell type: ILC3neg	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_860_ILC3pos_Mtb	Homo sapiens	GSE112482	GSM3070982	Disease without treatment	primary_sample	Lung	ILC3pos	ILC3pos	ILC3pos		Lung	UBERON:0002048				donor_id: 860	cell type: ILC3pos	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_860_ILC3pos_uninf	Homo sapiens	GSE112482	GSM3070983	Healthy Control without treatment	primary_sample	Lung	ILC3pos	ILC3pos	ILC3pos		Lung	UBERON:0002048				donor_id: 860	cell type: ILC3pos	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_860_NK_Mtb	Homo sapiens	GSE112482	GSM3070984	Disease without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 860	cell type: NK	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_860_NK_uninf	Homo sapiens	GSE112482	GSM3070985	Healthy Control without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 860	cell type: NK	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_860_susp_Mtb	Homo sapiens	GSE112482	GSM3070986	Disease without treatment	primary_sample	Lung	susp	susp	susp		Lung	UBERON:0002048				donor_id: 860	cell type: susp	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_860_susp_uninf	Homo sapiens	GSE112482	GSM3070987	Healthy Control without treatment	primary_sample	Lung	susp	susp	susp		Lung	UBERON:0002048				donor_id: 860	cell type: susp	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_869_ILC1_Mtb	Homo sapiens	GSE112482	GSM3070988	Disease without treatment	primary_sample	Lung	ILC1	ILC1	ILC1		Lung	UBERON:0002048				donor_id: 869	cell type: ILC1	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_869_ILC1_uninf	Homo sapiens	GSE112482	GSM3070989	Healthy Control without treatment	primary_sample	Lung	ILC1	ILC1	ILC1		Lung	UBERON:0002048				donor_id: 869	cell type: ILC1	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_869_ILC2_Mtb	Homo sapiens	GSE112482	GSM3070990	Disease without treatment	primary_sample	Lung	ILC2	ILC2	ILC2		Lung	UBERON:0002048				donor_id: 869	cell type: ILC2	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_869_ILC2_uninf	Homo sapiens	GSE112482	GSM3070991	Healthy Control without treatment	primary_sample	Lung	ILC2	ILC2	ILC2		Lung	UBERON:0002048				donor_id: 869	cell type: ILC2	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_869_ILC3neg_Mtb	Homo sapiens	GSE112482	GSM3070992	Disease without treatment	primary_sample	Lung	ILC3neg	ILC3neg	ILC3neg		Lung	UBERON:0002048				donor_id: 869	cell type: ILC3neg	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_869_ILC3neg_uninf	Homo sapiens	GSE112482	GSM3070993	Healthy Control without treatment	primary_sample	Lung	ILC3neg	ILC3neg	ILC3neg		Lung	UBERON:0002048				donor_id: 869	cell type: ILC3neg	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_869_ILC3pos_Mtb	Homo sapiens	GSE112482	GSM3070994	Disease without treatment	primary_sample	Lung	ILC3pos	ILC3pos	ILC3pos		Lung	UBERON:0002048				donor_id: 869	cell type: ILC3pos	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_869_ILC3pos_uninf	Homo sapiens	GSE112482	GSM3070995	Healthy Control without treatment	primary_sample	Lung	ILC3pos	ILC3pos	ILC3pos		Lung	UBERON:0002048				donor_id: 869	cell type: ILC3pos	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_869_NK_Mtb	Homo sapiens	GSE112482	GSM3070996	Disease without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 869	cell type: NK	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_869_NK_uninf	Homo sapiens	GSE112482	GSM3070997	Healthy Control without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 869	cell type: NK	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_869_susp_Mtb	Homo sapiens	GSE112482	GSM3070998	Disease without treatment	primary_sample	Lung	susp	susp	susp		Lung	UBERON:0002048				donor_id: 869	cell type: susp	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_869_susp_uninf	Homo sapiens	GSE112482	GSM3070999	Healthy Control without treatment	primary_sample	Lung	susp	susp	susp		Lung	UBERON:0002048				donor_id: 869	cell type: susp	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_875_ILC1_Mtb	Homo sapiens	GSE112482	GSM3071000	Disease without treatment	primary_sample	Lung	ILC1	ILC1	ILC1		Lung	UBERON:0002048				donor_id: 875	cell type: ILC1	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_875_ILC1_uninf	Homo sapiens	GSE112482	GSM3071001	Healthy Control without treatment	primary_sample	Lung	ILC1	ILC1	ILC1		Lung	UBERON:0002048				donor_id: 875	cell type: ILC1	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_875_ILC2_Mtb	Homo sapiens	GSE112482	GSM3071002	Disease without treatment	primary_sample	Lung	ILC2	ILC2	ILC2		Lung	UBERON:0002048				donor_id: 875	cell type: ILC2	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_875_ILC2_uninf	Homo sapiens	GSE112482	GSM3071003	Healthy Control without treatment	primary_sample	Lung	ILC2	ILC2	ILC2		Lung	UBERON:0002048				donor_id: 875	cell type: ILC2	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_875_ILC3neg_Mtb	Homo sapiens	GSE112482	GSM3071004	Disease without treatment	primary_sample	Lung	ILC3neg	ILC3neg	ILC3neg		Lung	UBERON:0002048				donor_id: 875	cell type: ILC3neg	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_875_ILC3neg_uninf	Homo sapiens	GSE112482	GSM3071005	Healthy Control without treatment	primary_sample	Lung	ILC3neg	ILC3neg	ILC3neg		Lung	UBERON:0002048				donor_id: 875	cell type: ILC3neg	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_875_ILC3pos_Mtb	Homo sapiens	GSE112482	GSM3071006	Healthy Control without treatment	primary_sample	Lung	ILC3pos	ILC3pos	ILC3pos		Lung	UBERON:0002048				donor_id: 875	cell type: ILC3pos	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_875_ILC3pos_uninf	Homo sapiens	GSE112482	GSM3071007	Healthy Control without treatment	primary_sample	Lung	ILC3pos	ILC3pos	ILC3pos		Lung	UBERON:0002048				donor_id: 875	cell type: ILC3pos	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_875_NK_Mtb	Homo sapiens	GSE112482	GSM3071008	Disease without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 875	cell type: NK	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_875_NK_uninf	Homo sapiens	GSE112482	GSM3071009	Healthy Control without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 875	cell type: NK	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_875_susp_Mtb	Homo sapiens	GSE112482	GSM3071010	Disease without treatment	primary_sample	Lung	susp	susp	susp		Lung	UBERON:0002048				donor_id: 875	cell type: susp	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_875_susp_uninf	Homo sapiens	GSE112482	GSM3071011	Healthy Control without treatment	primary_sample	Lung	susp	susp	susp		Lung	UBERON:0002048				donor_id: 875	cell type: susp	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_903_ILC1_Mtb	Homo sapiens	GSE112482	GSM3071012	Disease without treatment	primary_sample	Lung	ILC1	ILC1	ILC1		Lung	UBERON:0002048				donor_id: 903	cell type: ILC1	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_903_ILC1_uninf	Homo sapiens	GSE112482	GSM3071013	Healthy Control without treatment	primary_sample	Lung	ILC1	ILC1	ILC1		Lung	UBERON:0002048				donor_id: 903	cell type: ILC1	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_903_ILC2_Mtb	Homo sapiens	GSE112482	GSM3071014	Disease without treatment	primary_sample	Lung	ILC2	ILC2	ILC2		Lung	UBERON:0002048				donor_id: 903	cell type: ILC2	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_903_ILC2_uninf	Homo sapiens	GSE112482	GSM3071015	Healthy Control without treatment	primary_sample	Lung	ILC2	ILC2	ILC2		Lung	UBERON:0002048				donor_id: 903	cell type: ILC2	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_903_ILC3neg_Mtb	Homo sapiens	GSE112482	GSM3071016	Disease without treatment	primary_sample	Lung	ILC3neg	ILC3neg	ILC3neg		Lung	UBERON:0002048				donor_id: 903	cell type: ILC3neg	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_903_ILC3neg_uninf	Homo sapiens	GSE112482	GSM3071017	Healthy Control without treatment	primary_sample	Lung	ILC3neg	ILC3neg	ILC3neg		Lung	UBERON:0002048				donor_id: 903	cell type: ILC3neg	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_903_ILC3pos_Mtb	Homo sapiens	GSE112482	GSM3071018	Disease without treatment	primary_sample	Lung	ILC3pos	ILC3pos	ILC3pos		Lung	UBERON:0002048				donor_id: 903	cell type: ILC3pos	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_903_ILC3pos_uninf	Homo sapiens	GSE112482	GSM3071019	Healthy Control without treatment	primary_sample	Lung	ILC3pos	ILC3pos	ILC3pos		Lung	UBERON:0002048				donor_id: 903	cell type: ILC3pos	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_903_NK_Mtb	Homo sapiens	GSE112482	GSM3071020	Disease without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 903	cell type: NK	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_903_NK_uninf	Homo sapiens	GSE112482	GSM3071021	Healthy Control without treatment	primary_sample	Lung	NK	NK	NK		Lung	UBERON:0002048				donor_id: 903	cell type: NK	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_903_susp_Mtb	Homo sapiens	GSE112482	GSM3071022	Disease without treatment	primary_sample	Lung	susp	susp	susp		Lung	UBERON:0002048				donor_id: 903	cell type: susp	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_903_susp_uninf	Homo sapiens	GSE112482	GSM3071023	Healthy Control without treatment	primary_sample	Lung	susp	susp	susp		Lung	UBERON:0002048				donor_id: 903	cell type: susp	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_905_ILC1_Mtb	Homo sapiens	GSE112482	GSM3071024	Disease without treatment	primary_sample	Lung	ILC1	ILC1	ILC1		Lung	UBERON:0002048				donor_id: 905	cell type: ILC1	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_905_ILC1_uninf	Homo sapiens	GSE112482	GSM3071025	Healthy Control without treatment	primary_sample	Lung	ILC1	ILC1	ILC1		Lung	UBERON:0002048				donor_id: 905	cell type: ILC1	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_905_ILC2_Mtb	Homo sapiens	GSE112482	GSM3071026	Disease without treatment	primary_sample	Lung	ILC2	ILC2	ILC2		Lung	UBERON:0002048				donor_id: 905	cell type: ILC2	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_905_ILC2_uninf	Homo sapiens	GSE112482	GSM3071027	Healthy Control without treatment	primary_sample	Lung	ILC2	ILC2	ILC2		Lung	UBERON:0002048				donor_id: 905	cell type: ILC2	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_905_ILC3neg_Mtb	Homo sapiens	GSE112482	GSM3071028	Disease without treatment	primary_sample	Lung	ILC3neg	ILC3neg	ILC3neg		Lung	UBERON:0002048				donor_id: 905	cell type: ILC3neg	infection: Mtb		total RNA	GPL18460	transcriptomic	RNA-Seq
Sample_905_ILC3neg_uninf	Homo sapiens	GSE112482	GSM3071029	Healthy Control without treatment	primary_sample	Lung	ILC3neg	ILC3neg	ILC3neg		Lung	UBERON:0002048				donor_id: 905	cell type: ILC3neg	infection: uninf		total RNA	GPL18460	transcriptomic	RNA-Seq
